layer,variable,variable_data
ao_access,radical_include,yes
ao_access,short_name,Artisanal fishing access
ao_access,source_citation,"Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., & Worm, B. (2009). Management Effectiveness of the World's Marine Fisheries. PLoS Biol, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](https://doi.org/10.1371/journal.pbio.1000131)"
ao_need,radical_include,yes
ao_need,short_name,Economic need
ao_need,source_citation,The World Bank GDP per capita PPP (current international $) [http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.KD].
cc_acid,radical_include,yes
cc_acid,short_name,Ocean acidification
cc_acid,source_citation,"Feely, R., Doney, S. & Cooley, S. (2009). Ocean acidification: present conditions and future changes in a high-CO2 world. Oceanography 22:36-47. [http://www.tos.org/oceanography/archive/22-4_feely.html]."
cc_slr,radical_include,yes
cc_slr,short_name,Sea level rise
cc_slr,source_citation,AVISO data [http://www.aviso.altimetry.fr/en/data/products/sea-surface-height-products/global/msla-mean-climatology.html#c10358].
cc_sst,radical_include,yes
cc_sst,short_name,Sea surface temperature
cc_sst,source_citation,AVHRR Pathfinder Version 5.0 SST data [http://pathfinder.nodc.noaa.gov].
cc_sst,source_citation,"Casey, K. S., Brandon, T. B., Cornillon, P., & Evans, R. (2010). The past, present and future of the AVHRR Pathfinder SST Program, Oceanography from Space: Revisited, eds. V. Barale, J. F. R. Gower, and L. Alberotanza, Springer. [https://doi.org/10.1007/978-90-481-8681-5_16]."
cc_uv,radical_include,yes
cc_uv,short_name,UV radiation pressure
cc_uv,source_citation,Goddard Earth Sciences Data and Information Services Center (GES DISC) [http://disc.sci.gsfc.nasa.gov/data-holdings/PIP/erythemal_uv_irradiance.shtml].
cntry_rgn,radical_include,no
cntry_rgn,short_name,ISO country codes
cntry_rgn,source_citation,
cp_hab_contributions,description,Relative contribution of habitat to coastal protection score based on area and degree of protection it provides
cp_hab_contributions,radical_include,yes
cp_hab_contributions,short_name,Habitat contribution
cp_hab_contributions,source_citation,
cs_hab_contributions,description,Relative contribution of habitat to carbon storage score based on area and degree of protection it provides
cs_hab_contributions,radical_include,yes
cs_hab_contributions,short_name,Habitat contribution
cs_hab_contributions,source_citation,
cw_chemical_trend,radical_include,yes
