"","region_id","score","dimension","goal"
"1",1,36.9,"status","FIS"
"2",2,54.1,"status","FIS"
"3",3,22.3,"status","FIS"
"4",4,32.5,"status","FIS"
"5",5,51.3,"status","FIS"
"6",6,42.7,"status","FIS"
"7",7,47.1,"status","FIS"
"8",8,45.5,"status","FIS"
"9",9,39.8,"status","FIS"
"10",10,45,"status","FIS"
"11",11,36.3,"status","FIS"
"12",12,3.4,"status","FIS"
"13",13,10.3,"status","FIS"
"14",14,18,"status","FIS"
"15",15,19.9,"status","FIS"
"16",16,34.2,"status","FIS"
"17",17,46.3,"status","FIS"
"18",18,30.4,"status","FIS"
"19",19,45.5,"status","FIS"
"20",20,23.6,"status","FIS"
"21",21,32.8,"status","FIS"
"22",24,44.5,"status","FIS"
"23",25,45.9,"status","FIS"
"24",26,12.7,"status","FIS"
"25",28,50.7,"status","FIS"
"26",29,67.9,"status","FIS"
"27",30,43.3,"status","FIS"
"28",31,67.6,"status","FIS"
"29",32,46.1,"status","FIS"
"30",33,59,"status","FIS"
"31",34,37.4,"status","FIS"
"32",35,22.9,"status","FIS"
"33",36,47.6,"status","FIS"
"34",37,32.6,"status","FIS"
"35",38,25.1,"status","FIS"
"36",39,59.5,"status","FIS"
"37",40,29,"status","FIS"
"38",41,26.8,"status","FIS"
"39",42,28.4,"status","FIS"
"40",43,17.8,"status","FIS"
"41",44,35.3,"status","FIS"
"42",45,23.5,"status","FIS"
"43",46,24.7,"status","FIS"
"44",47,27.1,"status","FIS"
"45",48,44.3,"status","FIS"
"46",49,20,"status","FIS"
"47",50,31.5,"status","FIS"
"48",51,7.1,"status","FIS"
"49",52,8.3,"status","FIS"
"50",53,57.6,"status","FIS"
"51",54,32.7,"status","FIS"
"52",55,34.9,"status","FIS"
"53",56,10.8,"status","FIS"
"54",57,25.3,"status","FIS"
"55",58,15.8,"status","FIS"
"56",59,54.7,"status","FIS"
"57",60,29.7,"status","FIS"
"58",61,15.8,"status","FIS"
"59",62,7.2,"status","FIS"
"60",63,3.6,"status","FIS"
"61",64,3.1,"status","FIS"
"62",65,12.8,"status","FIS"
"63",66,14.2,"status","FIS"
"64",67,25.7,"status","FIS"
"65",68,27.5,"status","FIS"
"66",69,73,"status","FIS"
"67",70,78.5,"status","FIS"
"68",71,15.9,"status","FIS"
"69",72,42.4,"status","FIS"
"70",73,43.9,"status","FIS"
"71",74,65,"status","FIS"
"72",75,59.6,"status","FIS"
"73",76,59.4,"status","FIS"
"74",77,42,"status","FIS"
"75",78,54.3,"status","FIS"
"76",79,18.7,"status","FIS"
"77",80,39.3,"status","FIS"
"78",81,25.9,"status","FIS"
"79",82,12.4,"status","FIS"
"80",84,58.3,"status","FIS"
"81",85,63.9,"status","FIS"
"82",86,33,"status","FIS"
"83",88,39.2,"status","FIS"
"84",89,60.1,"status","FIS"
"85",90,40.5,"status","FIS"
"86",91,41.9,"status","FIS"
