"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,70.73,77.43,91.88,91.29,90.67,87.29,79.27,73.5,87.8,82.34,76.88,53.67,53.52,31.92,66.52,62.44,58.37,48.15,49.17
"Howland Island and Baker Island",158,90.92,86.41,93.31,96.56,99.81,100,,96.71,,,,87.17,87.17,,57.35,78.67,100,,
"Jarvis Island",149,90.09,93.55,93.78,96.89,100,,,97.85,,,,83.34,83.34,,57.63,78.82,100,,
"South Georgia and the South Sandwich Islands",89,87.92,90.47,95.21,97.18,99.14,,,98.89,,,,69.53,69.53,,67.03,83.52,100,,
"Palmyra Atoll",150,85.47,93.55,93.42,93.5,93.58,77.95,,90.49,,,,78.67,78.67,,57.33,78.67,100,,
"Germany",176,85.33,97.41,94.69,92.92,91.14,93.59,100,50.75,100,91.83,83.66,44.84,43.26,3.46,90.48,95.24,100,95.78,92.47
"Christmas Island",2,85.3,96.85,97.28,96.95,96.62,93.12,92.76,81.34,100,96.35,92.69,78.95,78.95,,58.72,58.14,57.56,,73.27
"Seychelles",31,85.19,77.53,90.7,94.15,97.6,86.29,100,74.28,68.74,84.37,100,88.15,88.15,0,64.22,61.91,59.59,,100
"Northern Saint-Martin",221,83.79,88.73,97.97,97.31,96.65,95.26,100,52.98,86.2,91.3,96.41,41.01,41.01,,74.97,87.48,100,,100
"Cocos Islands",1,83.43,96.85,97.42,97.5,97.59,97.62,92.76,88.59,100,96.35,92.69,69.97,69.97,,74.36,37.18,0,,74.09
"New Caledonia",5,82.11,65.3,92.65,90.1,87.56,76.11,78.12,79,92.33,96.16,100,72.55,66.96,16.95,67.73,78.05,88.38,99.98,91.34
"Heard and McDonald Islands",94,82.01,90.64,95.78,97.89,100,,,99.71,,,,49.43,49.43,,44.73,72.37,100,,
"Crozet Islands",91,81.94,90.08,92.79,92.79,,,,96.58,,,,54.59,54.59,,51.31,75.65,100,,
"Phoenix Islands (Kiribati)",157,81.66,59.57,90.71,83.63,76.56,100,,96.83,68.17,73.85,79.52,89.58,89.58,,61.11,80.56,100,,69.25
"Kerguelen Islands",93,81.64,89.99,94.99,97.5,100,,,98.78,,,,46.28,46.28,,51.37,75.68,100,,
"Macquarie Island",4,81.47,96.85,95.23,97.62,100,,,97.51,,,,28.18,28.18,,74.41,87.2,100,,
"American Samoa",151,81.14,84.93,89.1,93.46,97.82,95.49,93.89,58.72,72.16,85.68,99.2,73.49,73.49,,62.85,64.69,66.53,,79.93
"Aruba",250,80.97,92.97,97.93,97.94,97.95,99.99,99.95,57.31,100,100,100,38.51,38.51,0,84.08,42.04,0,,100
"Antigua and Barbuda",120,80.85,82.31,97.27,93.25,89.22,81.56,99.94,66.04,88.11,94.05,100,33.38,33.38,,75.48,77.15,78.82,,100
"Norfolk Island",3,80.73,96.85,96.68,98.34,100,,,77.77,100,96.35,92.69,28.96,28.96,,88.32,94.16,100,,72.71
"Glorioso Islands",30,80.45,53.54,92.13,94.13,96.12,92.79,,87.7,96.71,95.05,93.39,83.3,83.3,,66.36,83.18,100,,53.9
"Australia",16,80.1,98.16,95.22,94.85,94.48,89.4,92.92,81.48,100,95.62,91.23,57.37,45.3,11.35,84.36,92.18,100,54.17,56.91
"Curacao",244,79.37,79.28,97.98,97.45,96.93,99.96,91.86,61.65,80.44,73.19,65.94,43.48,43.48,0,76.03,67.48,58.94,,100
"Malta",68,78.98,90.1,89.93,92.77,95.61,88.43,88.36,46.07,100,88.65,77.29,47.31,41.76,36.68,54.67,74.64,94.6,,100
"French Polynesia",147,78.42,65.56,93.64,95.61,97.59,99.57,91.51,91.83,46.15,73.08,100,42.94,43.58,49.84,67.53,39.84,12.15,96.84,86.8
"Italy",184,78.06,91.54,89.9,91.52,93.14,85.65,85.04,51.35,100,86.87,73.73,52.76,45.26,22.68,71.38,85.69,100,96.26,61.43
"Netherlands",177,78.02,98.44,94.45,89.85,85.26,100,100,45.42,80.36,66.97,53.58,57.31,49.92,35.62,73.62,86.81,100,75.56,67.21
"Tuvalu",19,77.64,47.59,87.21,93.02,98.83,100,,71.32,100,100,100,96.05,96.05,0.76,61.63,34.59,7.56,,78.55
"Wallis and Futuna",161,77.62,63.59,91.99,95.99,100,100,,82.16,71.99,80.63,89.27,79.06,79.06,,74.59,37.3,0,,82.2
