"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,71,77,91,91,91,88,79,74,88,82,77,53,53,33,67,62,59,53,48
"Jarvis Island",149,91,94,93,93,93,,,98,,,,93,93,,57,79,100,,
"Howland Island and Baker Island",158,90,86,93,95,97,100,,96,,,,87,87,,57,79,100,,
"South Georgia and the South Sandwich Islands",89,87,90,95,96,97,,,99,,,,64,64,,68,84,100,,
"Palmyra Atoll",150,87,94,93,93,94,77,,90,,,,87,87,,57,79,100,,
"Macquarie Island",4,85,97,95,98,100,,,97,,,,34,34,,,100,100,,
"Phoenix Islands (Kiribati)",157,85,59,91,94,96,100,,97,68,74,80,94,94,,,100,100,,66
"Christmas Island",2,84,97,97,97,98,93,93,81,100,96,93,67,67,,59,58,57,,71
"Northern Saint-Martin",221,84,88,98,97,96,95,100,53,86,91,96,42,42,,78,89,100,,99
"New Caledonia",5,83,65,92,90,87,76,78,86,92,96,100,69,63,17,69,79,88,100,99
"Seychelles",31,83,78,90,94,98,87,100,74,69,84,100,67,67,0,64,62,60,,100
"Germany",176,83,97,93,92,92,94,100,50,100,92,84,42,41,4,54,77,100,96,93
"Cocos Islands",1,82,97,97,98,98,98,93,89,100,96,93,58,58,,75,37,0,,72
"Prince Edward Islands",90,82,83,91,95,99,,,84,,,,46,46,,,100,100,,
"Crozet Islands",91,82,90,93,93,,,,97,,,,52,52,,52,76,100,,
"Heard and McDonald Islands",94,82,91,96,98,100,,,100,,,,50,50,,45,72,100,,
"Antigua and Barbuda",120,82,82,97,93,90,82,100,69,89,94,100,35,35,,78,79,79,,100
"Norfolk Island",3,81,97,97,98,100,,,78,100,96,93,33,33,,88,94,100,,71
"Kerguelen Islands",93,81,90,95,97,100,,,99,,,,43,43,,52,76,100,,
"American Samoa",151,81,85,89,93,98,95,94,59,72,86,99,80,80,,65,66,66,,76
"Aruba",250,81,93,98,98,98,100,100,57,100,100,100,38,38,0,87,44,0,,100
"Australia",16,80,98,94,94,94,89,93,83,100,96,91,52,43,12,85,93,100,56,56
"Netherlands",177,80,98,93,88,82,100,100,45,80,67,53,55,47,33,74,87,100,96,67
"United Arab Emirates",54,79,100,86,92,98,93,92,68,100,100,100,55,55,1,61,67,74,62,61
"Malta",68,79,89,89,91,92,88,88,47,100,89,77,43,41,38,54,75,95,,100
"French Polynesia",147,79,65,93,95,98,100,92,93,46,73,100,53,53,57,69,41,12,98,84
"Curacao",244,79,79,98,97,97,100,92,62,80,73,66,43,43,0,79,69,59,,100
"Cayman Islands",113,78,100,98,92,87,64,93,65,100,100,100,48,48,,76,53,29,,89
"Pitcairn",146,78,72,87,94,100,100,,88,73,81,89,74,74,,78,39,0,,80
"Tuvalu",19,77,47,87,93,100,100,,71,100,100,100,93,93,1,64,36,8,,74
"Glorioso Islands",30,77,53,92,94,96,93,,88,97,95,93,38,38,,,100,100,,58
"Ile Europa",35,77,54,94,93,93,93,,90,,,,35,35,,,100,100,,
"Azores",55,77,83,97,96,95,,,68,100,86,72,52,52,,,74,74,,80
"Ascension",85,77,96,98,99,99,,,87,90,88,86,79,79,,64,48,32,,40
"Wallis and Futuna",161,77,64,92,96,100,100,,82,72,81,89,77,77,,78,39,0,,78
"Finland",174,77,95,95,97,98,76,,70,100,85,69,89,83,19,,72,72,91,24
"United Kingdom",180,77,96,94,92,90,62,55,63,96,90,84,55,50,14,69,84,100,97,75
"Italy",184,77,91,89,91,93,86,85,52,100,87,74,47,42,24,71,86,100,96,61
"Croatia",187,77,69,88,93,99,,,65,100,80,60,35,33,15,62,81,99,97,98
"British Indian Ocean Territory",38,76,57,96,98,100,100,,89,97,77,57,49,49,,63,81,100,,52
"Madeira",57,76,83,97,96,95,,,71,95,83,72,42,42,,,79,79,,80
"Estonia",70,76,91,94,96,99,91,100,66,100,75,51,85,85,0,,100,100,14,39
