"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,71,77,91,91,90,88,79,74,81,78,76,53,53,30,65,60,56,59,50
"Howland Island and Baker Island",158,90,86,93,95,97,100,,96,,,,85,85,,57,78,100,,
"Jarvis Island",149,89,93,93,93,93,,,98,,,,82,82,,57,78,100,,
"Macquarie Island",4,86,96,95,98,100,,,98,,,,39,39,,,100,100,,
"Palmyra Atoll",150,85,93,93,93,94,77,,90,,,,80,80,,57,78,100,,
"Christmas Island",2,84,96,97,97,98,93,93,81,100,100,,64,64,,58,58,57,,72
"Australia",16,83,98,93,94,94,89,93,85,100,93,87,51,46,18,84,92,100,77,66
"Estonia",70,83,87,94,97,100,100,100,69,78,63,49,76,76,0,,100,100,96,47
"Crozet Islands",91,83,90,93,93,,,,97,,,,62,62,,48,74,100,,
"Germany",176,83,97,93,93,93,95,100,52,100,89,77,36,35,9,53,76,100,96,100
"Saba",248,83,78,98,99,100,100,100,66,78,72,66,48,48,,76,70,63,97,96
"Cocos Islands",1,82,96,97,98,98,98,93,89,100,100,,55,55,,75,38,0,,73
"Heard and McDonald Islands",94,82,90,96,98,100,,,100,,,,51,51,,45,72,100,,
"Northern Saint-Martin",221,82,87,98,97,96,95,100,53,82,82,,40,40,,76,84,93,,100
"Aruba",250,82,93,98,98,98,100,100,63,100,100,100,41,41,0,83,42,0,,100
"Norfolk Island",3,81,96,97,98,100,,,78,100,100,,49,49,,88,57,27,,92
"New Caledonia",5,81,64,91,89,87,76,78,92,90,95,100,66,62,17,67,66,66,96,91
"Seychelles",31,81,72,90,94,98,87,100,74,63,81,100,57,57,0,62,61,60,,100
"British Indian Ocean Territory",38,81,57,96,98,100,100,,89,95,95,,44,44,,63,81,100,,84
"Azores",55,81,83,97,96,95,,,71,100,100,,56,56,,,81,81,,80
"Antigua and Barbuda",120,81,78,97,93,90,82,100,60,97,98,100,35,35,,77,78,79,,100
"Phoenix Islands (Kiribati)",157,81,59,91,94,96,100,,97,59,59,,89,89,,,100,100,,53
"Sint Maarten",220,81,93,97,99,100,100,100,44,81,81,,47,47,,75,55,35,97,96
"United Arab Emirates",54,80,100,85,92,98,93,91,64,100,100,100,52,51,0,59,66,74,67,77
"Finland",174,80,96,95,98,100,100,,73,100,77,55,83,78,16,,71,71,96,28
"Netherlands",177,80,98,93,83,72,100,100,46,77,65,53,50,42,31,74,87,100,96,85
"Bonaire",245,80,78,98,98,98,100,97,71,78,72,66,42,42,0,76,50,23,97,96
"Malta",68,79,88,89,91,92,89,89,56,97,88,79,45,34,21,52,73,95,,100
"Kerguelen Islands",93,79,89,95,97,100,,,99,,,,35,35,,48,74,100,,
"Bahamas",110,79,87,98,92,87,57,100,67,94,76,57,64,64,0,73,64,55,86,100
"New Zealand",162,79,95,96,92,87,69,65,86,97,99,100,52,57,100,61,60,60,62,100
"Norway",223,78,100,93,93,92,88,,79,73,69,65,40,58,100,63,75,87,62,79
"Mayotte",29,77,52,91,94,96,93,93,52,100,100,100,45,45,1,50,75,100,100,67
"Ile Europa",35,77,53,94,93,93,93,,90,,,,31,31,,,100,100,,
"Saudi Arabia",50,77,99,85,91,97,95,90,78,100,100,100,49,44,15,58,36,15,63,71
"South Georgia and the South Sandwich Islands",89,77,88,95,91,87,,,99,,,,74,74,,68,34,0,,
"Cayman Islands",113,77,100,98,93,87,64,93,65,100,100,100,49,49,,75,52,29,,77
"American Samoa",151,77,85,89,93,98,95,93,59,52,76,99,74,74,,63,69,76,,51
"Sint Eustatius",249,77,77,97,99,100,100,100,53,78,72,66,38,38,,76,38,0,97,96
"Madeira",57,76,83,97,96,95,,,74,95,95,,45,45,,,80,80,,58
"United States",163,76,100,93,85,77,91,62,83,100,79,58,59,57,11,70,72,74,80,47
"Italy",184,76,93,89,91,93,86,85,53,100,85,70,48,43,22,68,84,100,78,57
"Canada",218,76,97,95,94,92,96,55,96,100,93,86,31,37,84,69,48,27,91,59
"Curacao",244,76,78,98,97,97,100,92,62,77,72,66,42,42,0,75,49,22,,96
"Belgium",59,75,96,93,96,99,100,100,33,100,69,38,56,56,,70,85,100,78,34
"Bermuda",108,75,100,97,94,90,56,98,46,72,86,100,43,43,,68,54,39,,100
"Pitcairn",146,75,72,87,94,100,100,,88,52,52,,76,76,,78,39,0,,
"French Polynesia",147,75,65,93,95,98,100,92,92,11,56,100,56,56,57,66,39,12,99,55
"Gilbert Islands (Kiribati)",212,75,54,86,90,93,99,87,64,100,84,67,81,81,0,65,33,0,57,100
"Marshall Islands",11,74,55,87,92,97,98,87,69,39,39,,67,67,,65,50,36,96,91
"Northern Mariana Islands and Guam",13,74,85,91,94,96,98,93,61,24,55,85,31,30,1,59,61,64,,91
"Amsterdam Island and Saint Paul Island",92,74,90,96,98,100,,,91,,,,15,15,,48,74,100,,
"South Africa",102,74,78,92,93,95,100,100,59,75,87,100,78,78,1,71,80,90,23,42
"Puerto Rico and Virgin Islands of the United States",116,74,94,95,95,95,84,100,56,89,77,65,35,35,0,73,76,80,,48
"Suriname",168,74,74,92,96,100,100,100,67,57,78,99,33,33,0,72,86,100,100,8
"France",179,74,95,94,90,86,57,68,52,100,82,64,50,53,60,70,85,100,93,62
"Portugal",183,74,86,96,95,95,,,54,100,93,86,37,36,5,64,81,97,60,91
