"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,-0.14,0.17,0.03,0.04,0.04,-0.12,0.01,-0.15,1.3,0.71,0.13,-0.03,-0.08,0.36,0.1,0.32,0.53,-2.68,-0.2
"Mozambique",41,2.46,0.08,-0.1,-0.1,-0.1,-0.01,0,0.35,0,0,0,1.19,1.24,-0.02,0.01,5.87,11.72,18.25,-1.03
"Samoa",152,2.32,0.02,0.08,0.04,0,0,0.13,0.96,2.45,1.25,0.06,-1.44,-1.44,0,0.05,0.03,0,14.08,8.1
"Prince Edward Islands",90,2.29,0.53,0.36,0.18,0,,,-2.89,,,,-1.52,-1.52,,0.32,15.16,30,,
"South Georgia and the South Sandwich Islands",89,2.22,0.37,0,1.36,2.72,,,0,,,,-0.45,-0.45,,-0.33,9.83,20,,
"Tokelau",156,2.19,0.04,0.08,0.08,0.08,0.11,0,0.73,4.04,2.05,0.06,0.62,0.62,,-0.05,-0.02,0,,16.11
"Solomon Islands",7,2.05,0.01,0,0.03,0.05,0.14,0.07,2.99,0,0,0,0.84,0.84,0,0.32,0.16,0.01,13.74,2.48
"Glorioso Islands",30,2.04,0.4,0.23,0.12,0,0,,0,0.01,-0.2,-0.41,9.49,9.49,,0.39,10.19,20,,-3.64
"Tuvalu",19,2.04,0.05,-0.04,-0.02,0,0,,1.25,14.07,7.03,0,0.4,0.4,-0.08,0.06,0.03,0,,7.56
"Tonga",155,1.82,-0.03,-0.01,-0.01,0,0.09,0.07,1.52,4.9,2.45,0,0.16,0.16,0,0.42,0.21,0,5.97,7.75
"Maldives",39,1.8,0.33,0.06,0.03,0,0,-0.02,-0.57,1,0.5,0,7.95,7.95,,-0.48,-0.38,-0.28,10.19,-0.08
"Myanmar",205,1.69,0.49,0.21,0.21,0.22,0.24,0.25,-1.66,3.46,1.73,0,0.94,0.89,-0.83,0.95,0.48,0.02,13.81,0.44
"Qatar",190,1.66,0,-0.06,-0.03,0,0,-0.13,-0.55,8.23,4.12,0.01,1.05,1.05,0,-0.23,-0.12,0,,10.6
"Vanuatu",6,1.61,0,-0.1,-0.05,0,-0.04,-0.01,-0.35,0,0,0,1.95,1.93,0.05,-0.48,-0.24,0,14.83,0
"Latvia",69,1.47,1.4,0.05,-1.1,-2.25,-7.67,0.02,-0.46,0,2.4,4.8,4.59,4.59,,-0.18,-0.09,0,19.68,-4.04
"Ascension",85,1.44,0.14,0,0,0,,,0.02,1.28,0.26,-0.76,0.86,0.86,,-0.15,4.65,9.46,,4.14
"Wallis and Futuna",161,1.42,-0.02,0,0,0,0,,0.21,4.04,2.05,0.06,1.44,1.44,,-0.73,-0.36,0,,8
"Philippines",15,1.39,0.41,0.13,0.14,0.13,0.2,0.15,0.07,1.11,-0.27,-1.64,1.31,1.05,-0.16,0.23,0.11,-0.02,12.33,-0.31
"Poland",178,1.39,0.41,0.06,-2.3,-4.65,0.01,0.02,-0.09,0,0.27,0.53,5.12,5.12,,-0.18,-0.09,0,11.4,-0.9
"Oecussi Ambeno",237,1.26,0.38,0.09,0.05,0.01,-0.02,0.04,1.32,2.93,1.25,-0.43,8.25,8.25,,-0.09,-0.03,0.03,,0.1
"United Kingdom",180,1.25,0.2,0.21,1.97,3.73,8.69,0.01,0.57,1.1,-0.21,-1.51,-0.7,-0.79,-0.59,0.5,0.25,0,-1.15,2.93
"Bosnia and Herzegovina",232,1.19,0.29,0.06,0.05,0.03,,,0.13,0,0.05,0.11,0.29,0.7,-0.07,1.41,4.69,7.96,,2.44
"Bulgaria",71,1.18,0.4,-0.02,-0.01,0,,,-0.15,0,-0.01,-0.03,-0.14,-0.51,2.9,-0.03,-0.02,0,12.02,-2.26
"Croatia",187,1.16,0.43,0.11,0.05,0,,,-1.29,0,-0.04,-0.08,0.4,0.48,0.99,1.1,14.4,27.7,-4.65,-0.12
"Georgia",74,1.14,0.51,0.1,0.05,0,,,-0.38,6.99,3.5,0,1.78,1.78,,0.09,0.06,0.04,,2.41
"Line Islands (Kiribati)",148,1.14,0.14,0.03,0.02,0,0,,3.54,1.82,1.12,0.42,-1.19,-1.19,,0.12,0.06,0,,5.42
"American Samoa",151,1.07,0.03,0.05,0.02,0,0.13,0.09,-0.03,4.08,2.04,0,0.33,0.33,,0.08,-1.22,-2.52,,8.22
"Canary Islands",58,1,0.2,-0.02,-0.03,-0.04,0.02,0.03,-2.67,-0.03,0.08,0.18,0.33,0.33,,0.86,4.16,7.47,,6.84
"Yemen",47,0.91,0.03,0.04,-0.02,-0.08,0,-0.12,2.02,2.95,1.47,0,0.76,0.77,-0.02,-0.16,-0.08,0,5.01,0
