"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,71,77,91,91,90,88,79,74,88,82,77,54,54,34,67,63,58,57,45
"Jarvis Island",149,91,93,94,93,93,,,98,,,,91,91,,58,79,100,,
"Howland Island and Baker Island",158,90,86,93,95,97,100,,97,,,,86,86,,57,79,100,,
"South Georgia and the South Sandwich Islands",89,86,90,95,95,95,,,99,,,,61,61,,68,84,100,,
"Palmyra Atoll",150,86,93,93,93,94,77,,90,,,,85,85,,57,79,100,,
"Seychelles",31,85,78,90,94,98,87,100,78,69,84,100,85,85,0,65,62,60,,100
"Germany",176,85,97,93,92,91,93,100,51,100,92,84,42,40,10,92,96,100,96,94
"Northern Saint-Martin",221,84,88,98,97,96,95,100,53,86,91,96,41,41,,78,89,100,,99
"Christmas Island",2,83,97,97,97,98,93,93,81,100,96,93,71,71,,59,58,58,,58
"Macquarie Island",4,83,97,95,98,100,,,99,,,,33,33,,75,87,100,,
"Norfolk Island",3,82,97,97,98,100,,,78,100,96,93,38,38,,88,94,100,,75
"Crozet Islands",91,82,90,93,93,,,,97,,,,55,55,,52,76,100,,
"Heard and McDonald Islands",94,82,91,96,98,100,,,100,,,,50,50,,45,72,100,,
"Finland",174,82,95,95,98,100,97,,71,100,85,69,89,83,19,97,85,73,96,25
"Aruba",250,82,93,98,98,98,100,100,63,100,100,100,38,38,0,86,43,0,,100
"Cocos Islands",1,81,97,97,98,98,98,93,89,100,96,93,61,61,,75,38,0,,59
"Australia",16,81,98,94,94,94,89,93,83,100,96,91,53,44,12,85,93,100,62,57
"Antigua and Barbuda",120,81,80,97,93,90,82,100,60,89,94,100,37,37,,79,79,79,,100
"Glorioso Islands",30,80,53,93,94,96,93,,88,97,95,93,66,66,,67,83,100,,65
"Estonia",70,80,91,94,97,100,100,100,67,100,75,51,84,84,0,96,98,100,51,39
"Kerguelen Islands",93,80,90,95,97,100,,,99,,,,39,39,,52,76,100,,
"American Samoa",151,80,85,89,93,98,95,94,59,72,86,99,80,80,,65,66,66,,61
"Netherlands",177,80,98,94,85,77,100,100,46,80,67,54,55,46,32,74,87,100,96,73
"United Arab Emirates",54,79,100,86,92,98,93,92,67,100,100,100,54,54,1,59,67,74,68,62
"Malta",68,79,89,89,91,92,88,88,54,100,89,77,42,36,32,52,73,95,,100
"Pitcairn",146,79,72,87,94,100,100,,87,73,81,89,78,78,,78,39,0,,
"Phoenix Islands (Kiribati)",157,79,59,92,94,96,100,,97,68,74,80,92,92,,62,81,100,,35
"Curacao",244,79,78,98,97,97,100,93,62,80,73,66,42,42,0,78,68,59,,100
"New Caledonia",5,78,65,91,89,87,76,78,89,92,96,100,66,61,18,68,59,50,97,72
"Prince Edward Islands",90,78,83,91,95,99,,,88,,,,50,50,,50,75,100,,
"Clipperton Island",107,78,87,93,97,100,,,81,,,,88,88,,73,36,0,,
"Bahamas",110,78,88,98,92,86,56,100,65,96,83,71,66,66,0,75,65,54,60,100
"Cayman Islands",113,78,100,98,92,87,64,93,65,100,100,100,49,49,,75,52,29,,85
"French Polynesia",147,78,65,93,95,98,100,92,92,46,73,100,54,56,67,68,40,12,99,65
"Maldives",39,77,57,88,92,96,99,86,64,41,70,100,74,74,,66,35,4,89,99
"Belgium",59,77,96,93,96,99,100,100,33,100,82,63,62,62,,70,85,100,85,31
"Italy",184,77,92,89,91,93,86,85,52,100,87,74,46,41,25,70,85,100,93,55
"Azores",55,76,82,96,96,95,,,67,100,86,72,52,52,,63,70,78,,77
"Latvia",69,76,82,93,89,85,97,54,53,100,91,81,64,64,,96,98,100,96,39
"South Africa",102,76,78,92,93,95,100,100,57,100,100,100,81,80,1,72,81,90,28,42
"New Zealand",162,76,95,96,92,87,69,65,81,100,100,100,47,54,100,62,61,60,46,95
"Croatia",187,76,69,88,93,99,,,65,100,80,60,36,34,14,61,80,99,98,92
"Canada",218,76,97,95,94,93,96,55,96,100,90,81,36,43,88,70,48,26,91,52
"Tuvalu",19,75,47,87,93,100,100,,67,100,100,100,92,92,1,64,36,8,,62
"British Indian Ocean Territory",38,75,57,96,98,100,100,,89,97,77,57,54,54,,63,81,100,,46
"Wallis and Futuna",161,75,64,92,96,100,100,,81,72,81,89,75,75,,78,39,0,,64
