"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,71.57,77.11,91.79,91.19,90.56,87.72,79.22,73.68,87.78,82.33,76.87,53.83,53.92,32.84,67.43,62.57,57.72,58.14,48.66
"Jarvis Island",149,92.05,93.5,93.57,96.62,99.68,,,97.85,,,,93.5,93.5,,57.52,78.76,100,,
"Howland Island and Baker Island",158,90.75,86.17,93.2,96.6,100,100,,96.51,,,,86.58,86.58,,57.24,78.62,100,,
"Palmyra Atoll",150,86.78,93.5,93.19,93.32,93.45,77.47,,90.3,,,,87.49,87.49,,57.21,78.6,100,,
"South Georgia and the South Sandwich Islands",89,85.72,90.47,95.21,94.54,93.88,,,98.89,,,,60.33,60.33,,68.75,84.37,100,,
"Norfolk Island",3,85.71,96.49,96.68,98.34,100,,,77.78,100,96.35,92.7,50.46,50.46,,88.35,94.18,100,,86.37
"Estonia",70,85.45,89.78,94.57,97.28,100,100,100,67.34,100,75.36,50.73,82.22,82.22,0,96,98,100,95.78,48.67
"Germany",176,85.29,96.96,94.41,93.67,92.92,94.57,100,51.09,100,91.76,83.52,40.46,36.55,10.26,91.75,95.87,100,95.78,96.68
"Northern Saint-Martin",221,83.86,88.08,97.97,97.31,96.65,95.26,100,53.06,86.22,91.29,96.37,40.61,40.61,,78.3,89.15,100,,100
"Seychelles",31,83.49,75.76,90.68,94.14,97.6,86.87,100,79.11,68.95,84.47,100,68.96,68.96,0,64.52,62.09,59.65,,100
"Macquarie Island",4,83.4,96.49,95.23,97.62,100,,,98.55,,,,36.84,36.84,,74.98,87.49,100,,
"Christmas Island",2,83.16,96.49,97.28,96.96,96.64,93.12,92.76,81.35,100,96.35,92.7,66.28,66.28,,58.74,58.13,57.53,,67.03
"Crozet Islands",91,82.68,89.69,92.84,92.84,,,,96.57,,,,58.39,58.39,,51.85,75.93,100,,
"Heard and McDonald Islands",94,82.29,90.52,95.78,97.89,100,,,99.71,,,,50.94,50.94,,44.78,72.39,100,,
"Finland",174,82.15,95.39,95.38,97.69,100,100,,72.42,100,84.54,69.08,87.04,82.29,16.83,96.67,84.73,72.8,95.78,26.55
"Australia",16,82.14,97.83,95.23,94.85,94.48,89.4,92.92,83.53,100,95.62,91.23,52.78,44.16,14.42,85.13,92.57,100,67.68,62.88
"Aruba",250,81.71,92.97,97.93,97.94,97.95,99.99,99.95,62.56,100,100,100,38.94,38.94,0,86.02,43.01,0,,100
"Saba",248,81.34,78.61,98.01,99.01,100,100,100,65.95,80.48,73.24,66,48.34,48.34,,79.1,70.82,62.55,77.91,99.55
"Cocos Islands",1,81.31,96.49,97.42,97.5,97.59,97.62,92.76,88.6,100,96.35,92.7,56.79,56.79,,75.52,37.76,0,,67.92
"Antigua and Barbuda",120,80.99,79.56,97.82,93.8,89.77,82.02,99.94,60.42,88.72,94.36,100,39.8,39.8,,78.73,79.03,79.32,,100
