"region_id","region_name","2012","2013","2014","2015","2016","2017","2018","average"
0,"Global average",70.43,71.13,71.23,70.98,70.62,70.33,70.26,70.7114285714286
1,"Cocos Islands",82.27,83.14,83.62,81.95,81.49,80.76,80.12,81.9071428571429
2,"Christmas Island",84.64,85.16,85.66,84.39,84.43,83.69,82.94,84.4157142857143
3,"Norfolk Island",84.84,84.51,84.28,84.39,85.21,84.97,84.52,84.6742857142857
4,"Macquarie Island",80.52,81.16,81.92,82.93,83.98,84.7,84.37,82.7971428571429
5,"New Caledonia",82.76,82.09,83.52,83.11,82.4,82.5,82.35,82.6757142857143
6,"Vanuatu",65.73,65.58,65.53,66.09,67.99,69.19,70.1,67.1728571428571
7,"Solomon Islands",59.47,59.44,61.59,63.72,65.41,66.07,65.58,63.04
8,"Palau",69.35,69.63,68.87,67.4,66.19,65.15,64.21,67.2571428571429
9,"Micronesia",64.89,65.46,64.92,65.32,64.26,63.78,62.95,64.5114285714286
10,"Nauru",68.98,70.32,70.23,70.01,67.58,67.6,66.93,68.8071428571429
11,"Marshall Islands",75.39,76,75.12,74.66,71.06,66.08,63.69,71.7142857142857
12,"Wake Island",79.4,80,80.02,79.62,79.41,78.93,79.11,79.4985714285714
13,"Northern Mariana Islands and Guam",79.55,80.35,79.94,79.68,77.94,77.55,77.04,78.8642857142857
14,"Taiwan",68.07,68.04,67.67,67.3,66.49,65.97,65.54,67.0114285714286
15,"Philippines",60.44,60.79,62.7,64.96,66.22,66.35,66.4,63.98
16,"Australia",80.34,80,79.96,80.6,80.97,80.51,79.9,80.3257142857143
17,"Papua New Guinea",62.65,61.6,60.64,59.76,59.91,59.48,59.26,60.4714285714286
18,"Fiji",68.72,69.72,68.78,69.16,69.49,69.56,69.58,69.2871428571429
19,"Tuvalu",65.4,72.13,73.31,73.72,73.79,72.79,72.82,71.9942857142857
20,"South Korea",76.57,76.46,77.08,77.29,77.16,77.33,77.24,77.0185714285714
21,"North Korea",56.68,52.7,51.79,50.94,52.71,56.96,58.61,54.3414285714286
24,"Cambodia",59.91,60.61,60.84,60.95,61.55,60.73,60.44,60.7185714285714
25,"Thailand",67.03,70.05,71.87,69.2,68.96,68.14,67.73,68.9971428571429
26,"Andaman and Nicobar",66.05,67.66,68.12,68,68.13,67.8,67.92,67.6685714285714
28,"Comoro Islands",60.11,59.78,59.76,58.61,58.09,58.08,57.89,58.9028571428571
29,"Mayotte",76.17,74.17,70.09,65.82,64.93,64.42,64.39,68.57
30,"Glorioso Islands",78.51,79.67,79.98,78.69,78,76.3,77.37,78.36
31,"Seychelles",81.89,85.21,85.91,81.63,79.7,78.47,77.27,81.44
32,"R_union",63.33,65.09,66,63.91,62.98,62.08,61.47,63.5514285714286
33,"Juan de Nova Island",72,73.2,73.67,71.9,71.11,70.57,70.28,71.8185714285714
