"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.82,77.28,83.48,87.26,91.07,87.68,79.12,70.53,87.83,82.39,76.95,56.12,55.38,19.6,67.6,62.93,58.26,51.2,51.27
"Howland Island and Baker Island",158,91,86.36,79.18,89.59,100,100,,97.87,,,,93.95,93.95,,56.46,78.23,100,,
"Heard and McDonald Islands",94,88.52,90.48,90.27,95.14,100,,,99.71,,,,85.07,85.07,,44.43,72.21,100,,
"Amsterdam Island and Saint Paul Island",92,86.87,89.05,76.99,88.5,100,,,90.69,,,,90.45,90.45,,51.29,75.65,100,,
"Kerguelen Islands",93,86.33,89.21,85.65,92.83,100,,,98.78,,,,75.05,75.05,,51.53,75.76,100,,
"Seychelles",31,85.91,75.1,86.22,91.91,97.6,86.56,100,83.72,69.73,84.87,100,87.6,87.6,0,63.71,61.78,59.85,87.6,100
"Christmas Island",2,84.92,96.42,83.8,90.17,96.54,93.12,92.76,81.59,100,96.35,92.7,77.6,77.6,0,57.83,56.68,55.52,,79.62
"South Georgia and the South Sandwich Islands",89,84.52,90.14,88.88,91.87,94.86,,,98.89,,,,55.14,55.14,,73.17,86.59,100,,
"Phoenix Islands (Kiribati)",157,84.16,60.94,78.66,83.67,88.68,100,,97.88,68.64,74.42,80.21,86.97,86.97,0,61.16,80.58,100,,88.81
"Germany",176,84.12,96.55,85.47,88.08,90.68,93.26,100,50.47,100,91.86,83.72,57.74,56.83,7.15,89.75,94.88,100,72.54,96.75
"Jarvis Island",149,83.68,93.6,77.95,83.58,89.2,,,98.38,,,,64.54,64.54,,56.63,78.32,100,,
"New Caledonia",5,83.46,65.59,89.1,88.56,88.01,76.89,78.69,89.69,92.61,96.3,100,78.21,63.45,8.59,67.85,78.17,88.49,97.25,100
"Aruba",250,83.38,92.5,89.47,93.71,97.95,99.99,99.95,62.92,100,100,100,52.93,52.93,0,84.94,48.39,11.83,,100
"Norfolk Island",3,83.33,96.42,84.48,92.24,100,,,78.02,100,96.35,92.7,46.27,46.27,0,88.41,94.2,100,,79.79
"Jan Mayen",144,83.08,95.03,77.45,66.57,55.69,,,92.58,90.64,88.19,85.75,69.87,69.87,,72.54,86.27,100,,
"Cocos Islands",1,82.88,96.42,83.18,90.38,97.59,97.62,92.76,88.86,100,96.35,92.7,65.79,65.79,0,73.68,36.84,0,,80.89
"Ile Europa",35,82.74,53.19,84.3,88.54,92.79,92.79,,93.78,,,,84.9,84.9,,66.42,83.21,100,,
"Macquarie Island",4,81.92,96.42,89.36,94.68,100,,,98.92,,,,32.17,32.17,,74.81,87.4,100,,
"Palmyra Atoll",150,81.58,93.6,77.64,85.39,93.14,77.65,,92.84,,,,61.84,61.84,,56.34,78.17,100,,
"New Zealand",162,80.42,95.07,85.3,87.68,90.06,68.62,64.59,80.93,100,100,100,76.01,79.14,100,62.51,63.96,65.42,66.76,97.42
"Northern Saint-Martin",221,80.16,86.66,94.77,95.71,96.65,95.26,100,45.62,85.16,90.76,96.36,19.07,19.07,0,76.73,88.37,100,,100
