"region_id","region_name","2012","2013","2014","2015","2016","2017","2018","average"
0,"Global average",71.11,71.46,71.44,70.83,70.39,70.1,70.08,70.7728571428571
1,"Cocos Islands",83.18,83.82,84.38,81.44,80.86,80.24,80.36,82.04
2,"Christmas Island",85.87,85.76,86.09,84.22,84.22,83.68,83.8,84.8057142857143
3,"Norfolk Island",85.5,84.46,84.03,83.66,83.85,84.55,83.89,84.2771428571428
4,"Macquarie Island",81.16,81.76,82.44,83.4,84.4,85.07,84.65,83.2685714285714
5,"New Caledonia",83.06,82.69,84.54,83,82.02,81.71,82.7,82.8171428571429
6,"Vanuatu",65.75,65.61,65.61,66.15,68.1,69.29,70.3,67.2585714285714
7,"Solomon Islands",59.61,59.29,61.42,63.43,65.05,65.62,65.53,62.85
8,"Palau",69.98,70,68.81,66.74,65.7,64.89,64.73,67.2642857142857
9,"Micronesia",65.56,65.65,64.87,64.7,63.88,63.52,63.47,64.5214285714286
10,"Nauru",69.69,70.67,69.94,68.87,66.77,67.03,67.27,68.6057142857143
11,"Marshall Islands",75.88,76.01,74.91,73.81,70.5,65.7,64.04,71.55
12,"Wake Island",80.65,81.23,81.32,81.02,80.8,80.36,80.6,80.8542857142857
13,"Northern Mariana Islands and Guam",80.14,80.74,79.66,78.55,77.17,76.95,77.23,78.6342857142857
14,"Taiwan",67.83,67.37,67.06,66.41,65.6,65.14,65.17,66.3685714285714
15,"Philippines",60.64,60.77,62.49,64.44,65.79,65.89,64.86,63.5542857142857
16,"Australia",80.78,79.81,79.77,79.82,79.96,79.52,79.43,79.87
17,"Papua New Guinea",62.66,61.58,60.63,59.72,59.93,59.53,59.22,60.4671428571429
18,"Fiji",68.81,69.87,69.05,69.41,69.85,69.94,70.1,69.5757142857143
19,"Tuvalu",66.1,72.11,72.92,72.82,72.96,71.85,72.9,71.6657142857143
20,"South Korea",75.33,75.09,75.38,74.97,74.65,74.78,74.67,74.9814285714286
21,"North Korea",61.14,57.12,56.2,55.77,57.33,61.63,63.29,58.9257142857143
24,"Cambodia",59.83,60.28,60.5,60.36,60.4,59.41,60.31,60.1557142857143
25,"Thailand",65.08,67.69,68.82,66.72,67.02,66.6,66.89,66.9742857142857
26,"Andaman and Nicobar",66.63,67.83,68.16,67.67,67.75,67.46,68.09,67.6557142857143
28,"Comoro Islands",60.41,59.96,60.01,58.79,58.43,58.43,58.43,59.2085714285714
29,"Mayotte",76.4,73.86,69.61,65.05,64.3,63.96,64.31,68.2128571428571
30,"Glorioso Islands",78.81,80.17,80.66,79.35,78.83,77.22,78.41,79.0642857142857
31,"Seychelles",82.18,85.65,86.24,82.29,80.4,79.09,77.86,81.9585714285714
32,"R_union",64.11,65.58,66.56,64.08,63.11,62.31,62.14,63.9842857142857
33,"Juan de Nova Island",72.58,74.01,74.7,72.81,72.14,71.52,71,72.68
34,"Bassas da India",70.21,72.53,73.71,70.52,69.24,68.32,67.64,70.31
35,"Ile Europa",80.04,82.91,83.72,80.36,78.4,77.16,76.23,79.8314285714286
36,"Ile Tromelin",72.17,75.82,75.83,71.52,68.21,66.54,65.4,70.7842857142857
37,"Mauritius",65.54,69.13,71.45,68.54,68.85,68.42,67.45,68.4828571428571
38,"British Indian Ocean Territory",77.72,79.49,79.93,77.34,74.67,73.78,73.41,76.62
39,"Maldives",72.07,74.31,75.96,70.19,68,67,66.84,70.6242857142857
40,"Sri Lanka",60.38,60.95,62.11,62.93,62.15,61.05,59.92,61.3557142857143
41,"Mozambique",59.44,59.02,59.71,60.53,61.8,62.07,61.37,60.5628571428571
42,"Madagascar",59.73,59.46,59.34,59.18,56.03,54.26,53.87,57.41
43,"Kenya",64.96,65.3,64.63,63.79,62.09,60.92,60.49,63.1685714285714
44,"Somalia",54.15,54.57,53.08,47.36,46.94,47.25,48.45,50.2571428571429
45,"Eritrea",67.67,59.68,59.37,52.43,49.19,49.14,49.6,55.2971428571429
46,"Djibouti",67.44,67.69,67.56,65.56,67.08,67.44,68.57,67.3342857142857
47,"Yemen",56.94,58.87,59.8,60.98,62.84,62.21,63.82,60.78
48,"Oman",67.38,69.08,69.25,68.46,67.86,68.36,75.65,69.4342857142857
49,"Sudan",54.55,52.87,51.32,51.28,51.2,51.77,55.81,52.6857142857143
50,"Saudi Arabia",75.58,69.1,67.7,65.46,65.18,65.32,65.92,67.7514285714286
51,"Kuwait",72.03,71.01,70.15,71.36,71.24,71.19,71.18,71.1657142857143
52,"Bahrain",57.38,57.54,58.08,58.27,58.82,59.06,58.9,58.2928571428571
53,"Pakistan",51.32,51.15,48.23,48.34,48.54,50.85,52.48,50.13
54,"United Arab Emirates",77.3,76.53,78.24,77.64,77.12,76.24,75.86,76.99
55,"Azores",76.43,75.8,75.75,76.66,76.56,75.64,76.77,76.23
56,"Cape Verde",69.54,70.14,69.97,69.62,70,70.13,70.1,69.9285714285714
57,"Madeira",80.2,78.71,79.78,79.37,79.04,79.87,81.76,79.8185714285714
58,"Canary Islands",70.19,69.16,70.08,68.72,67.8,67.42,68.16,68.79
59,"Belgium",73.27,74.43,74.88,74.66,73.8,72.38,70.27,73.3842857142857
60,"Gibraltar",71.34,69.98,70.91,70,69.32,70.35,69.64,70.22
61,"Tunisia",61.78,62.69,61.38,61.78,60.62,60.12,57.79,60.88
62,"Morocco",75.61,74.93,73.79,73.29,72.21,72.06,72.23,73.4457142857143
63,"Western Sahara",68.65,66.13,65.9,65.01,65.69,64.52,64.36,65.7514285714286
64,"Mauritania",57.62,58.43,59.18,59.82,62.7,65.41,63.39,60.9357142857143
65,"Gambia",69.54,70.96,68.75,69.94,69.22,68.45,69.55,69.4871428571429
66,"Senegal",54.08,54.68,54.92,51.12,51.47,53.76,59.56,54.2271428571429
67,"Libya",41.45,44.86,44.59,43.86,43.83,42.28,42.89,43.3942857142857
68,"Malta",70.85,70.23,70.06,69.76,70.7,70.96,71.01,70.51
69,"Latvia",69.27,70.74,72.27,72.34,72.52,72.18,71.72,71.5771428571429
70,"Estonia",83.79,84.39,80.25,76.42,72.97,70.08,70.04,76.8485714285714
71,"Bulgaria",60.79,62.54,65.95,65.42,63.63,62.14,60.08,62.9357142857143
72,"Romania",62.66,58.57,59.51,60.28,61.34,62.48,61.49,60.9042857142857
73,"Russia",69.22,70.16,70.96,71.37,70.73,70.25,74.05,70.9628571428571
74,"Georgia",58.22,64.42,65.35,63.26,68.19,69.06,71.31,65.6871428571429
75,"Ukraine",67.66,67.6,64.9,60.81,59.66,59.95,59.98,62.9371428571429
76,"Turkey",59.01,62.73,62.18,59.92,56.39,56.32,55.63,58.8828571428571
77,"Syria",59.06,60.25,59.56,58.14,54.15,49.19,48.46,55.5442857142857
78,"Lebanon",48.49,51.8,54.65,53.09,48.33,44.21,46.35,49.56
79,"Israel",64.98,64.58,64.31,64.82,64.72,62.63,60.38,63.7742857142857
80,"Greece",73.06,73.01,72.39,71.1,69.29,66.76,66.78,70.3414285714286
81,"Cyprus",56.63,57.86,59.37,58.26,55.79,56.3,56.79,57.2857142857143
82,"Albania",60.98,61.22,61.65,60.9,61.24,61.9,61.71,61.3714285714286
84,"Algeria",53.82,53.45,52.9,52.3,52.1,51.72,50.95,52.4628571428571
85,"Ascension",70.02,71.11,73.48,72.03,72.75,71.66,72.03,71.8685714285714
86,"Saint Helena",66.94,62.77,63.62,62.13,63.69,61.88,62.76,63.3985714285714
88,"Tristan da Cunha",66.76,66.52,67.35,66.81,67.02,67.6,67.25,67.0442857142857
89,"South Georgia and the South Sandwich Islands",82.3,83.88,84.64,84.98,85,84.71,84.24,84.25
90,"Prince Edward Islands",71.65,75.82,74.76,74.08,74.37,74.96,76.74,74.6257142857143
91,"Crozet Islands",77.93,77.47,77.31,77.25,78.15,78.9,79.61,78.0885714285714
92,"Amsterdam Island and Saint Paul Island",84.59,89.3,89.11,83.77,80.52,78.92,77.51,83.3885714285714
93,"Kerguelen Islands",88.96,83.76,83.82,84.3,85.79,87.82,90.61,86.4371428571429
94,"Heard and McDonald Islands",89.71,85.92,85.99,86.5,87.49,89.18,90.69,87.9257142857143
95,"Falkland Islands",73.22,72.62,72.42,71.67,71.48,71.39,72.06,72.1228571428571
96,"Sierra Leone",46.47,46.57,46.65,46.6,47.52,47.94,48.13,47.1257142857143
97,"Liberia",50.39,50.76,50.85,50.42,53.32,53.22,53.39,51.7642857142857
98,"Togo",61.43,61.08,60.05,59.24,59,59.15,58.6,59.7928571428571
99,"Benin",55.31,55.22,55.26,54.47,54.23,54.36,54.58,54.7757142857143
100,"Republique du Congo",51.24,51,50.8,50.34,50.67,51.38,50.93,50.9085714285714
