"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,-0.25,0.17,0.03,0.07,0.12,-0.35,0.01,0.09,0.7,0.38,0.07,-1.4,-1.27,0.58,-0.09,0.25,0.59,-1.25,-0.74
"Georgia",74,1.84,0.42,0.15,0.07,0,,,-0.58,3.72,1.86,0,-3,-3,0,0.09,0.06,0.03,10.18,5.66
"Pitcairn",146,1.35,0.27,0.22,0.11,0,0,,-0.01,2.16,1.09,0.03,-0.61,-0.61,0,-0.54,7.37,15.28,,2.54
"Mauritania",64,1.24,0.01,-0.06,-0.81,-1.56,,,-0.98,0.02,-0.06,-0.15,-0.3,-0.3,0,-0.35,-0.17,0,13.44,-1.19
"Bangladesh",204,1.22,0.17,0.05,0.04,0.04,0,0.04,0.65,0.1,0.05,0,0.06,0.03,0.31,-0.11,-0.14,-0.18,12.23,-0.91
"Solomon Islands",7,1.22,0.03,0.05,-0.02,-0.1,0.09,0.07,2.63,0,0,0,-0.24,-0.24,0,0.05,0.03,0.01,8.78,0.81
"Samoa",152,1.21,0.14,0.08,0.04,0,0,0.03,0.07,1.35,0.69,0.03,-0.31,-0.31,0,-0.25,0.06,0.37,8.85,2.53
"Myanmar",205,1.18,0.48,0.24,0.27,0.31,0.26,0.29,-1.06,2.16,1.08,0,0.23,0.19,-1.05,0.27,0.53,0.79,7.83,1.94
"Tonga",155,1.16,0.05,0.09,0.02,-0.05,0.01,0.03,1.65,2.58,1.29,0,-0.58,-0.5,-2.09,0.09,0.04,0,6.61,2.35
"Yemen",47,1.08,-0.51,-0.11,-0.17,-0.22,0,-0.22,-0.71,1.44,0.72,0,0.42,0.42,-0.01,-0.28,-0.14,0,11.45,0
"Philippines",15,0.94,0.38,0.06,0.37,0.67,0.09,0.09,0.16,0.6,-0.13,-0.86,0.51,0.3,-0.03,-0.13,0.07,0.26,8.81,-0.76
"Portugal",183,0.92,0.48,0.14,0.26,0.38,,,-0.41,0,0.04,0.09,-0.71,-0.72,0.36,0.27,0.14,0,5.05,2.49
"Poland",178,0.88,0.59,-0.01,-2.1,-4.18,-0.06,-0.04,0.26,0,0.13,0.27,-1.35,-1.35,0,0,0,0,11.07,0.27
"Turks and Caicos Islands",111,0.86,0.14,-0.04,0.14,0.33,-0.27,-0.18,0.08,0.27,0.2,0.13,-1.1,-1.1,0,-0.24,-0.14,-0.03,11.47,-1.7
"Vanuatu",6,0.84,-0.03,-0.05,0.14,0.33,-0.04,-0.02,-0.24,0,0,0,0.26,0.26,-0.04,-0.46,-0.23,0,8.55,0
"Oman",48,0.79,-1.04,-0.02,-0.05,-0.07,0,-0.01,0.22,0,0,0,0.53,0.54,0.02,-0.25,-0.12,0,5.36,2.94
"Angola",200,0.78,-0.02,0.08,0.16,0.23,-0.07,-0.06,0.17,1.94,1.04,0.15,-3.25,-3.25,0,0.06,0.03,0,10.35,-0.6
"Tuvalu",19,0.71,0.17,0.02,0.01,0,0,,0.24,7.51,3.75,0,-0.7,-0.7,0.01,-0.21,-0.11,0,,2.32
"Macquarie Island",4,0.68,0.15,0,0,0,,,-0.14,,,,3.41,3.41,,-0.03,-0.01,0,,
"Liberia",97,0.59,-0.01,0,0,0,-0.01,0,0.1,0,0,0,-0.22,-0.22,0,-0.46,-0.23,0,,5.64
"North Korea",21,0.59,0.85,-0.05,-0.12,-0.19,-1.27,,-0.15,-0.61,-0.09,0.43,-0.08,0.48,0,-0.03,-0.01,0,5.64,0
"Vietnam",207,0.56,0.33,0.07,-0.02,-0.1,0,0.05,0.49,1.53,0.81,0.1,0.12,0.86,1.64,-0.37,-0.15,0.08,3.84,-0.6
"Kerguelen Islands",93,0.54,0.17,0.31,0.15,0,,,0,,,,2.15,2.15,,0.41,0.21,0,,
"Russia",73,0.52,-0.18,-0.01,-0.01,0,-1.04,0,0.44,0,0.53,1.07,-0.88,-0.85,9.01,0.05,0.03,0.01,7.48,-1.24
"Mozambique",41,0.5,-0.04,-0.15,-0.24,-0.34,-0.2,0,0.09,0,0,0,-0.13,-0.12,-0.02,-0.17,-0.73,-1.3,5.09,1.16
"Gabon",198,0.49,0.21,0.23,0.11,-0.01,0.21,0.22,-0.07,2.57,1.33,0.09,0.53,0.53,0,-0.31,1.88,4.06,,-0.01
"Prince Edward Islands",90,0.47,0.29,0.1,0.05,0,,,-1.82,,,,1.36,1.36,,0.2,2.47,4.74,,
"Guernsey",228,0.46,0.24,0.13,0.44,0.76,-0.01,0,1.05,0.68,0.14,-0.41,-0.16,-0.16,0,-0.07,1.84,3.75,,0.6
"Wallis and Futuna",161,0.45,0.09,-0.01,-0.03,-0.05,0,,1.41,2.19,1.11,0.03,-1.32,-1.32,0,-0.62,-0.31,0,,2.62
"Qatar",190,0.44,0,-0.06,-0.03,0,0,-0.14,-1.6,4.37,2.18,-0.01,1.18,1.18,0,-0.5,-0.28,-0.05,,2.65
"Indonesia",216,0.43,0.55,0.06,0.23,0.4,0.16,0.15,0.19,3.36,0.85,-1.65,0.36,0.24,1.26,-0.15,1.13,2.4,-0.27,1.01
"Senegal",66,0.4,0.12,0.09,0.04,-0.01,0,0.01,0.65,1.6,0.8,0,0.32,0.29,0.05,0.01,0.77,1.52,2.14,-0.84
"Heard and McDonald Islands",94,0.39,0.06,0,0,0,,,0,,,,1.83,1.83,,0.13,0.07,0,,
"Latvia",69,0.37,1.16,0.04,-1.23,-2.5,-11.23,0.01,-0.23,0,1.3,2.59,-0.46,-0.46,0,0,0,0,14.57,-0.15
"Cuba",112,0.36,0.18,0.05,-0.01,-0.06,-0.12,0,-1.79,1.01,0.5,-0.01,-0.73,-0.93,0.02,-0.15,-0.08,0,8.12,-2.31
"Oecussi Ambeno",237,0.36,0.24,0.03,-0.12,-0.26,0,0.03,1.53,1.57,0.69,-0.2,0.63,0.63,0,-0.1,-0.04,0.02,,0.24
"Saint Vincent and the Grenadines",127,0.36,0.19,-0.08,-0.06,-0.04,-0.09,-0.08,1.12,0.67,0.32,-0.04,-0.72,-0.72,0,-0.19,-0.11,-0.02,3.58,-0.58
"Egypt",214,0.33,0.05,-0.06,-0.03,0,0,-0.13,-0.28,0,-0.23,-0.46,0.12,-0.43,-1.01,-0.03,-0.16,-0.3,7.75,-3.23
