"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.33,77.57,83.18,87.11,91.07,86.64,79.18,71.2,87.86,82.41,76.96,50.63,50.41,24.65,66.48,63.62,60.76,45.84,55.77
"Heard and McDonald Islands",94,89.72,90.65,90.52,95.26,100,,,99.71,,,,90.65,90.65,,44.7,72.35,100,,
"Kerguelen Islands",93,88.89,89.68,87.45,93.72,100,,,98.78,,,,86.62,86.62,,51.32,75.66,100,,
"Howland Island and Baker Island",158,88.26,86.71,78.02,83.23,88.44,100,,97.93,,,,83.07,83.07,,57.23,78.61,100,,
"Germany",176,85.5,97.21,84.87,88.46,92.06,100,100,49.96,100,91.89,83.77,60.8,58.87,6.29,89.83,94.91,100,74.15,99.53
"Norfolk Island",3,84.97,96.9,84.31,92.15,100,,,77.94,100,96.35,92.7,45.35,45.35,0,88.29,94.15,100,,91.94
"Macquarie Island",4,84.7,96.9,89.69,94.85,100,,,98.17,,,,46.37,46.37,,74.42,87.21,100,,
"Pitcairn",146,84.54,73.57,81.38,90.69,100,100,,85.59,73.08,81.18,89.28,84.2,84.2,0,75.35,73.34,71.33,,87.74
"South Georgia and the South Sandwich Islands",89,84.51,90.24,89.1,94.55,100,,,98.89,,,,52.93,52.93,,71.91,85.95,100,,
"Christmas Island",2,83.69,96.9,83.51,90.11,96.71,93.12,92.76,81.52,100,96.35,92.7,53.57,53.57,0,58.49,56.97,55.46,,91.94
"Aruba",250,82.93,92.58,89.25,93.6,97.95,99.99,99.95,57.66,100,100,100,55.3,55.3,0,82.81,47.32,11.82,,100
"New Caledonia",5,82.5,65.93,88.51,88.26,88.02,76.84,78.77,79.28,92.61,96.3,100,73.88,64.67,11.69,67.18,77.84,88.49,99.98,97.17
"Jan Mayen",144,80.96,95.9,76.58,57.52,38.46,,,92.58,90.64,88.19,85.75,65.53,65.53,,72.08,86.04,100,,
"Phoenix Islands (Kiribati)",157,80.79,62.1,78.01,88.23,98.45,100,,97.95,68.74,74.55,80.37,63.35,63.35,0,60.86,80.43,100,,79.74
"Cocos Islands",1,80.76,96.9,83,90.29,97.59,97.62,92.76,88.78,100,96.35,92.7,35.59,35.59,0,73.22,36.61,0,,91.94
"Australia",16,80.51,98.16,92.34,93.41,94.48,89.4,92.92,81.33,100,95.62,91.23,50.19,41.77,12.09,84.79,92.39,100,56.29,63.83
"Madeira",57,80.11,85.15,79.17,86.34,93.52,,,71,94.88,83.37,71.86,60.99,60.99,0,64.23,82.11,100,,91.85
"Northern Saint-Martin",221,80.11,87.16,94.72,95.69,96.65,95.26,100,45.51,85.21,90.79,96.36,19.96,19.96,0,73.18,86.59,100,,100
"Italy",184,79.57,92.66,70.47,81.99,93.5,85.65,85.04,50.13,100,87.04,74.09,48.83,41.28,19.62,70.08,85.04,100,95.38,91.44
"New Zealand",162,79.12,95.64,85.63,87.88,90.13,68.59,64.61,79.12,100,100,100,67.98,71.51,100,61.74,63.57,65.4,60.27,100
"Antigua and Barbuda",120,79.07,80.68,86.55,87.74,88.93,81.34,99.94,62.21,87.98,93.99,100,29.47,29.47,0,73.85,76.29,78.73,,100
"Norway",223,79,100,80.37,87.06,93.75,57.4,,76.9,78.67,82.03,85.39,75.06,81.15,100,64.02,76.3,88.59,60.85,89.29
"Wake Island",12,78.93,93.73,76.73,77.55,78.37,76.4,,71.2,69.25,73.28,77.3,81.94,81.94,,56.79,78.39,100,,
"Bahamas",110,78.85,90.13,90.37,87.85,85.33,55.38,99.71,61.76,96.38,83.09,69.8,62.91,62.91,0,73.95,83.01,92.06,64.7,100
"Palmyra Atoll",150,78.59,93.73,76.78,84.81,92.84,76.49,,92.99,,,,44.99,44.99,,57.1,78.55,100,,
"Seychelles",31,78.47,77.36,86.25,91.92,97.6,86.45,100,91.5,69.95,84.97,100,40.74,40.74,0,63.77,61.87,59.98,49.89,100
"Jarvis Island",149,78.02,93.73,76.9,74.8,72.69,,,98.38,,,,44.51,44.51,,57.41,78.7,100,,
"French Polynesia",147,77.62,65.76,81.76,89.67,97.59,99.57,91.57,87.04,46.39,73.19,100,49.74,48.73,35.4,67,33.5,0,97.93,89.17
"Northern Mariana Islands and Guam",13,77.55,86.02,78.14,88.35,98.55,98.35,93.12,61.89,48.54,63.74,78.93,74.73,74.36,0.74,62.08,52.11,42.14,,79.99
"American Samoa",151,77.43,85.77,78.35,88.09,97.82,96.13,94.44,56.57,72.78,85.99,99.2,39.71,39.71,0,62.39,65.62,68.85,,84.55
"Wallis and Futuna",161,77.41,64.74,81.4,90.02,98.63,100,,92.53,72.79,81.04,89.28,66.32,66.32,0,74.9,37.45,0,,87.18
"Crozet Islands",91,77.36,89.74,85.94,85.94,,,,96.61,,,,38.88,38.88,,51.29,75.64,100,,
"South Korea",20,77.33,95.43,90.97,95.49,100,,,64.16,100,94.78,89.56,28.78,73.77,96.01,68.17,75.59,83.02,90.79,28.66
"Clipperton Island",107,77.1,87.3,75.53,87.77,100,,,86.09,,,,89.1,89.1,,70.5,35.25,0,,
"Turks and Caicos Islands",111,76.99,85.31,87.37,87.25,87.13,68.94,73.46,63.4,95.47,94.97,94.48,63.32,63.32,0.01,81.37,70.97,60.58,62.27,100
"Amsterdam Island and Saint Paul Island",92,76.85,89.51,78.61,89.31,100,,,90.77,,,,39.14,39.14,,51.03,75.52,100,,
"United Arab Emirates",54,76.5,100,88.67,93.33,98,93.45,91.99,72.27,100,100,100,49.13,48.96,0.37,56.72,68.55,80.37,34.73,61.7
"Glorioso Islands",30,76.3,53.55,88.59,82.8,77.01,92.79,,92.17,96.7,95.05,93.4,34.52,34.52,,66.5,83.25,100,,
"Estonia",70,76.3,91.77,84.56,89.78,95,100,100,72.07,100,75.67,51.35,86.55,86.55,0,95,97.5,100,1.75,47.93
"Netherlands",177,76.19,98.45,84.27,84.34,84.41,100,100,45.01,80.24,66.87,53.5,61.38,56.16,33.15,72.7,86.35,100,55.09,69.65
"Qatar",190,76.19,100,88.22,93.11,97.99,95.26,90.31,65.02,81.25,68.15,55.04,42.3,42.3,0,58.67,67.2,75.74,,64.36
"Denmark",175,76.02,98.59,84.43,90.68,96.93,100,100,53.81,71.85,71.16,70.47,62.28,60.86,12.11,90.32,95.16,100,62.11,27.81
"Curacao",244,75.96,78.4,87.64,92.28,96.93,99.96,89.88,69.19,79.93,72.67,65.4,50.47,50.47,0,74.21,55.92,37.62,50.87,100
"Finland",174,75.92,95.14,84.52,85.45,86.37,,,69.49,100,84.57,69.14,85.54,78.98,17.26,95.83,80.89,65.94,88.67,24.15
"Azores",55,75.87,84.5,74.88,83.02,91.16,,,68.22,100,85.9,71.79,52.06,52.06,0,64.16,65.57,66.98,,91.85
"Johnston Atoll",159,75.82,93.73,76.63,85.1,93.58,76.35,,75.34,,,,46.02,46.02,,56.8,78.4,100,,
"Ile Europa",35,75.73,53.83,84.35,88.57,92.79,92.79,,93.78,,,,42.4,42.4,,65.98,82.99,100,,
"Bouvet Island",105,75.06,84.58,88.77,94.39,100,,,98.91,,,,75.31,,,44.71,22.35,0,,
"Portugal",183,74.93,87.07,77.18,86.72,96.26,,,51.12,100,93.38,86.77,52.46,50.73,7.7,66.83,83.41,100,49.12,97.88
"Puerto Rico and Virgin Islands of the United States",116,74.25,94.3,86.35,90.52,94.7,83.29,100,54.17,92.09,73.25,54.4,49.45,49.45,0,72.04,71.96,71.88,,51.29
