"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.15,77.78,83.08,87.14,91.22,86.32,79.19,71.28,87.87,82.43,76.98,50.96,50.77,25.17,66.55,63.67,60.8,45.44,53.64
"Heard and McDonald Islands",94,90.27,90.73,90.6,95.3,100,,,99.71,,,,93.25,93.25,,44.69,72.35,100,,
"Kerguelen Islands",93,89.93,89.95,87.69,93.84,100,,,98.78,,,,91.4,91.4,,51.38,75.69,100,,
"Howland Island and Baker Island",158,89.6,86.65,78.11,89.05,100,100,,97.91,,,,85.38,85.38,,57.17,78.58,100,,
"Pitcairn",146,84.92,73.65,81.17,90.58,100,100,,85.43,73.04,81.16,89.28,89.1,89.1,0,75.21,73.26,71.3,,86.18
"Germany",176,84.86,97.56,84.64,87.95,91.26,100,100,49.95,100,91.86,83.72,58.62,55.15,10.5,89.84,94.92,100,73.29,97.97
"Macquarie Island",4,84.37,96.97,89.78,94.89,100,,,98.16,,,,44.59,44.59,,74.44,87.22,100,,
"Norfolk Island",3,84.25,96.97,84.25,92.12,100,,,77.94,100,96.35,92.7,42.71,42.71,0,88.26,94.13,100,,89.51
"South Georgia and the South Sandwich Islands",89,83.86,90.29,89.1,94.55,100,,,98.89,,,,49.69,49.69,,71.79,85.9,100,,
"Aruba",250,83.04,92.57,89.15,93.55,97.95,99.99,99.95,57.66,100,100,100,56.39,56.39,0,82.76,47.29,11.82,,100
"Christmas Island",2,82.76,96.97,83.23,88.96,94.68,93.12,92.76,81.51,100,96.35,92.7,48.39,48.39,0,58.48,56.98,55.47,,89.84
"New Caledonia",5,82.22,66.01,88.32,88.15,87.99,76.63,78.73,79.31,92.61,96.3,100,75.74,65.74,11.6,67.15,74.34,81.52,99.98,97.02
"Jan Mayen",144,81.14,96.18,76.26,56.94,37.62,,,92.58,90.64,88.19,85.75,65.43,65.43,,75,87.5,100,,
"Jarvis Island",149,80.69,93.71,76.7,83.97,91.24,,,98.38,,,,48.7,48.7,,57.35,78.67,100,,
"Phoenix Islands (Kiribati)",157,80.67,61.78,77.68,87.16,96.64,100,,97.97,68.84,74.66,80.47,69.08,69.08,0,60.92,80.46,100,,74.23
"Madeira",57,80.48,86.22,78.93,87,95.07,,,71.09,94.88,83.38,71.87,61.65,61.65,0,64.22,82.11,100,,91.9
"Northern Saint-Martin",221,80.12,87.14,94.7,95.68,96.65,95.26,100,45.39,85.28,90.82,96.36,20.23,20.23,0,73.09,86.55,100,,100
"Cocos Islands",1,80,96.97,82.97,90.28,97.59,97.62,92.76,88.77,100,96.35,92.7,30.28,30.28,0,73.23,36.61,0,,90.33
"Italy",184,79.75,93.21,70.22,81.86,93.5,85.65,85.04,50.16,100,87.09,74.17,49.77,43.06,21.03,70.09,85.05,100,95.63,90.76
"Australia",16,79.74,98.21,92.29,93.39,94.48,89.4,92.92,81.33,100,95.62,91.23,48.89,40.2,12.41,84.95,92.48,100,53.63,60.19
"Palmyra Atoll",150,79.17,93.71,76.39,84.54,92.7,76.42,,92.88,,,,48.96,48.96,,57.02,78.51,100,,
"Antigua and Barbuda",120,79.16,81.33,86.46,87.7,88.94,81.46,99.94,62.06,88,94,100,29.75,29.75,0,73.75,76.25,78.74,,100
"Wake Island",12,79.11,93.71,76.18,77.15,78.13,76.21,,71.11,69.14,73.19,77.23,84.02,84.02,,56.71,78.35,100,,
"New Zealand",162,78.94,95.73,85.71,87.94,90.16,68.64,64.64,79.13,100,100,100,67.97,72.29,100,61.74,63.48,65.21,57.52,100
"Bahamas",110,78.5,90.26,90.2,87.76,85.31,55.45,99.71,61.37,96.38,83.11,69.83,63.62,63.62,0,73.85,82.96,92.06,60.77,100
"Portugal",183,78.36,88.17,76.99,87.1,97.21,,,51.12,100,93.38,86.77,53.44,51.39,7.42,66.83,83.42,100,72.27,100
"Clipperton Island",107,78.16,87.47,75.4,87.7,100,,,86.16,,,,94.2,94.2,,70.5,35.25,0,,
"French Polynesia",147,78.14,65.95,81.48,89.53,97.59,99.57,91.63,87.02,46.41,73.2,100,55.48,54.18,27.11,66.96,33.48,0,98.03,88.85
"Crozet Islands",91,77.58,90.01,86.15,86.15,,,,96.69,,,,39.38,39.38,,51.34,75.67,100,,
"Norway",223,77.45,100,80.14,86.51,92.89,53.22,,76.89,78.64,82,85.37,69.88,76.29,100,65.03,76.8,88.57,61.29,84.07
"Wallis and Futuna",161,77.4,64.92,81.15,89.81,98.48,100,,92.54,72.79,81.04,89.28,68.84,68.84,0,74.84,37.42,0,,84.65
"Glorioso Islands",30,77.37,53.95,89.07,91.49,93.9,92.79,,92.24,96.7,95.05,93.4,32.84,32.84,,66.51,83.25,100,,
"American Samoa",151,77.3,85.86,78.1,87.96,97.82,95.63,94.17,56.59,72.76,85.98,99.2,42.16,42.16,0,62.32,65.56,68.81,,81.81
"Seychelles",31,77.27,78.17,86.1,91.85,97.6,86.67,100,91.42,69.93,84.97,100,34.99,34.99,0,63.71,61.83,59.95,42.81,100
"South Korea",20,77.16,95.69,90.95,95.48,100,,,64.28,100,94.78,89.56,27.73,76.74,97.06,68.29,75.68,83.06,90.19,24.42
"Turks and Caicos Islands",111,77.08,85.2,87.23,87.2,87.17,69.29,73.62,63.31,95.47,95.01,94.55,64.06,64.06,0.01,81.25,70.91,60.57,62.23,100
