"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.9,77.01,83.59,87.07,90.57,88.04,79.09,70.62,87.82,82.38,76.94,56.14,55.71,21.68,67.52,62.56,57.61,51.47,52.2
"Howland Island and Baker Island",158,90.95,86.08,79.42,89.71,100,100,,97.84,,,,93.85,93.85,,56.44,78.22,100,,
"Heard and McDonald Islands",94,88.28,90.45,90.19,95.09,100,,,99.71,,,,84.04,84.04,,44.16,72.08,100,,
"Amsterdam Island and Saint Paul Island",92,87.02,88.84,76.84,88.42,100,,,90.7,,,,91.6,91.6,,51.07,75.53,100,,
"Kerguelen Islands",93,86.04,89.01,85.53,92.76,100,,,98.78,,,,73.99,73.99,,51.3,75.65,100,,
"Phoenix Islands (Kiribati)",157,85.75,60.5,79.33,89.57,99.8,100,,97.85,68.72,74.53,80.33,87.43,87.43,0,61.17,80.58,100,,95.5
"Seychelles",31,85.21,73.51,86.28,91.94,97.6,86.41,100,80.64,69.61,84.8,100,85,85,1.04,63.6,61.72,59.83,88.05,100
"Christmas Island",2,84.63,96.3,83.62,88.73,93.85,93.12,92.76,81.61,100,96.35,92.7,72.77,72.77,0,57.85,56.69,55.54,,83.31
"Germany",176,84.58,96.51,85.73,89.43,93.14,100,100,50.38,100,91.82,83.64,55.98,53.32,8.5,89.68,94.84,100,72.08,97.39
"Estonia",70,83.9,89.78,85.71,92.86,100,100,100,67.54,100,75.51,51.02,85.52,85.52,0,95,97.5,100,91.02,39.26
"Norfolk Island",3,83.82,96.3,84.51,92.26,100,,,78.03,100,96.35,92.7,46.31,46.31,0,88.43,94.21,100,,83.27
"South Georgia and the South Sandwich Islands",89,83.76,89.96,88.75,89.28,89.81,,,98.89,,,,54.2,54.2,,72.97,86.49,100,,
"Jan Mayen",144,83.75,94.85,77.6,69.13,60.65,,,92.58,90.64,88.19,85.75,71.58,71.58,,72.32,86.16,100,,
"Aruba",250,83.35,92.48,89.55,93.75,97.95,99.99,99.95,62.93,100,100,100,52.69,52.69,0,84.84,48.33,11.83,,100
"Jarvis Island",149,82.97,93.55,78.29,81.3,84.32,,,98.38,,,,63.32,63.32,,56.62,78.31,100,,
"Cocos Islands",1,82.6,96.3,83.22,90.4,97.59,97.62,92.76,88.88,100,96.35,92.7,59.84,59.84,0,73.64,36.82,0,,84.45
"New Caledonia",5,81.82,65.13,88.05,87.63,87.21,76.11,78,92.03,92.61,96.3,100,77.31,65.53,12.72,67.27,63.73,60.18,96.69,97.03
"Palmyra Atoll",150,81.6,93.55,77.93,85.56,93.18,77.87,,92.8,,,,61.66,61.66,,56.32,78.16,100,,
"Ile Europa",35,81.48,52.92,84.3,88.55,92.79,92.79,,93.78,,,,77.7,77.7,,66.33,83.17,100,,
"New Zealand",162,81.29,94.95,85.26,87.69,90.11,68.71,64.65,83.42,100,100,100,79.34,82.44,100,62.49,63.59,64.68,69.44,97.99
