"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.46,76.67,83.75,87.13,90.54,88.16,79.16,70.75,81.4,78.86,76.33,54.52,54,18.67,66.4,62.04,57.68,51.55,53.64
"Howland Island and Baker Island",158,90.89,85.88,79.62,89.81,100,100,,97.77,,,,93.7,93.7,,56.41,78.2,100,,
"Heard and McDonald Islands",94,89.19,90.38,90.11,95.05,100,,,99.71,,,,88.85,88.85,,43.91,71.96,100,,
"Kerguelen Islands",93,87.51,88.82,85.46,92.73,100,,,98.78,,,,83.51,83.51,,47.47,73.73,100,,
"Phoenix Islands (Kiribati)",157,85.48,60.12,79.58,89.79,100,100,,97.82,59.31,68.63,77.95,92.6,92.6,0,60.28,80.14,100,,94.74
"Norfolk Island",3,85.01,96.09,84.5,92.25,100,,,78,99.72,94.32,88.93,45.91,45.91,0,88.42,94.21,100,,94.26
"Christmas Island",2,84.8,96.09,83.93,90.06,96.19,93.12,92.76,81.57,99.72,94.32,88.93,64.35,64.35,0,57.87,56.69,55.5,,94.26
"Germany",176,84.12,96.46,85.99,89.45,92.92,94.57,100,51.71,100,88.81,77.62,54.17,53.59,3.73,89.69,94.85,100,71.74,100
"Jan Mayen",144,83.82,94.76,77.92,70.4,62.89,,,92.58,84.15,86.85,89.55,72.21,72.21,,72.19,86.1,100,,
"Estonia",70,83.21,87.61,86.12,93.06,100,100,100,68.84,78.02,63.72,49.41,85.71,85.71,0,95,97.5,100,89.72,45.91
"Aruba",250,83.19,92.45,89.7,93.83,97.95,99.99,99.95,62.94,100,100,100,52.61,52.61,0,82.12,46.97,11.83,,100
"New Caledonia",5,82.79,64.93,88.26,87.86,87.46,77.07,78.16,92.07,90.6,95.3,100,77.9,70.48,10.48,66.01,66.32,66.63,95.84,99.91
"South Georgia and the South Sandwich Islands",89,82.39,89.7,88.63,86.07,83.51,,,98.89,,,,50.9,50.9,,72.77,86.38,100,,
"Cocos Islands",1,82.34,96.09,83.27,90.43,97.59,97.62,92.76,88.84,99.72,94.32,88.93,49.99,49.99,0,73.58,36.79,0,,94.26
"Amsterdam Island and Saint Paul Island",92,82.24,88.65,76.73,88.36,100,,,90.73,,,,69.85,69.85,,47.23,73.62,100,,
"Jarvis Island",149,82.12,93.52,78.45,77.76,77.07,,,98.38,,,,62.64,62.64,,56.58,78.29,100,,
"Seychelles",31,81.89,72.49,86.37,91.98,97.6,87.31,100,76.45,63.59,81.8,100,67.02,67.02,1.77,61.77,60.79,59.81,81.07,100
"Palmyra Atoll",150,81.51,93.52,78.19,85.65,93.12,77.71,,92.74,,,,61.33,61.33,,56.29,78.14,100,,
"New Zealand",162,81.18,94.76,85.12,87.59,90.06,68.71,64.63,85.95,97.25,98.62,100,77.5,80.72,100,61.11,62.88,64.65,67.9,100
