"r0_label","r1_label","r2_label","v_label","yr","r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_n","z_n_pct","z_g_score","z"
"World","Africa","Eastern Africa","Bassas da India",1976,1,2,14,34,,,,0.532016001733029,0.363530562891509,17,46,220,,2,46,"r1",46,0.0434782608695652,0.81304347826087,0.532016001733029
"World","Africa","Eastern Africa","Bassas da India",1977,1,2,14,34,,,,0.149629401860598,0.280818299991901,17,46,220,,2,55,"r1",46,0.0434782608695652,0.81304347826087,0.149629401860598
"World","Africa","Eastern Africa","Bassas da India",1978,1,2,14,34,,,,0.494327836333161,0.313883904791442,17,46,220,,2,57,"r1",46,0.0434782608695652,0.81304347826087,0.494327836333161
"World","Africa","Eastern Africa","Bassas da India",1979,1,2,14,34,,,,0.557642476541866,0.316786827931081,17,46,220,,3,60,"r1",46,0.0652173913043478,0.819565217391304,0.557642476541866
"World","Africa","Eastern Africa","Bassas da India",1980,1,2,14,34,,,,0.0770390215479319,0.311081358632182,17,46,220,,3,64,"r1",46,0.0652173913043478,0.819565217391304,0.0770390215479319
"World","Africa","Eastern Africa","Bassas da India",1981,1,2,14,34,,,0.016366612111293,0.363093285749719,0.316528189535475,17,46,220,1,4,65,"r2",17,0.0588235294117647,0.470588235294118,0.016366612111293
"World","Africa","Eastern Africa","Bassas da India",1982,1,2,14,34,,,0,0.187010310662306,0.25023538659781,17,46,220,1,5,66,"r2",17,0.0588235294117647,0.470588235294118,0
"World","Africa","Eastern Africa","Bassas da India",1983,1,2,14,34,,,0,0.173044642535351,0.243767858724039,17,46,220,1,5,67,"r2",17,0.0588235294117647,0.470588235294118,0
"World","Africa","Eastern Africa","Bassas da India",1984,1,2,14,34,,,0,0.267457284645328,0.297840961469966,17,46,220,1,5,72,"r2",17,0.0588235294117647,0.470588235294118,0
"World","Africa","Eastern Africa","Bassas da India",1985,1,2,14,34,,,0.0654664484451719,0.0454299349725571,0.314416459107416,17,46,220,1,5,73,"r2",17,0.0588235294117647,0.470588235294118,0.0654664484451719
"World","Africa","Eastern Africa","Bassas da India",1986,1,2,14,34,,,0,0.0460373842261494,0.301981248133156,17,46,220,1,6,74,"r2",17,0.0588235294117647,0.470588235294118,0
"World","Africa","Eastern Africa","Bassas da India",1987,1,2,14,34,,,0.357120759839441,0.299156685438967,0.322799137417832,17,46,220,3,8,79,"r2",17,0.176470588235294,0.411764705882353,0.357120759839441
"World","Africa","Eastern Africa","Bassas da India",1988,1,2,14,34,,,0.0363033805692756,0.0900452328207108,0.292123606309747,17,46,220,3,8,80,"r2",17,0.176470588235294,0.411764705882353,0.0363033805692756
"World","Africa","Eastern Africa","Bassas da India",1989,1,2,14,34,,,0.0147150547575027,0.0405635922054183,0.308764066434287,17,46,220,3,8,80,"r2",17,0.176470588235294,0.411764705882353,0.0147150547575027
"World","Africa","Eastern Africa","Bassas da India",1990,1,2,14,34,,,0.0524063189143452,0.150123685213784,0.27239170607438,17,46,220,3,9,82,"r2",17,0.176470588235294,0.411764705882353,0.0524063189143452
