"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,-0.14,0.16,0.03,0.08,0.11,-0.12,0.01,-0.15,1.29,0.71,0.13,-0.04,-0.08,0.36,0.1,0.32,0.53,-2.68,-0.2
"Mozambique",41,2.46,0.08,-0.1,0,0.11,-0.01,0,0.35,0,0,0,1.2,1.25,-0.02,0.01,5.86,11.72,18.13,-1.03
"Prince Edward Islands",90,2.34,0.54,0.38,0.39,0.39,,,-2.89,,,,-1.51,-1.51,,0.32,15.16,30,,
"Samoa",152,2.32,0.02,0.08,0.04,0,0,0.13,0.96,2.45,1.25,0.06,-1.43,-1.43,0,0.05,0.03,0,14.08,8.1
"South Georgia and the South Sandwich Islands",89,2.29,0.33,0,1.77,3.55,,,0,,,,-0.47,-0.47,,-0.33,9.84,20,,
"Tokelau",156,2.19,0.04,0.08,0.08,0.08,0.11,0,0.73,4.04,2.05,0.06,0.62,0.62,,-0.05,-0.02,0,,16.11
"Glorioso Islands",30,2.05,0.4,0.23,0.09,-0.05,0,,0,0.01,-0.2,-0.41,9.53,9.53,,0.39,10.19,20,,-3.64
"Solomon Islands",7,2.03,0.01,-0.01,-0.18,-0.35,0.14,0.07,2.99,0,0,0,0.84,0.84,0,0.32,0.16,0.01,13.74,2.48
"Tuvalu",19,2.02,0.05,-0.06,-0.15,-0.24,0,,1.25,14.07,7.03,0,0.39,0.39,-0.08,0.07,0.03,0,,7.56
"Tonga",155,1.82,-0.02,0.04,0.02,0,0.09,0.07,1.52,4.9,2.45,0,0.17,0.17,0,0.42,0.21,0,5.97,7.75
"Maldives",39,1.79,0.32,0.04,0,-0.03,0,-0.02,-0.57,1,0.5,0,7.9,7.9,,-0.48,-0.38,-0.28,10.19,-0.08
"Myanmar",205,1.7,0.5,0.22,0.38,0.53,0.24,0.25,-1.66,3.47,1.73,0,0.95,0.9,-0.83,0.95,0.48,0.02,13.73,0.44
"Qatar",190,1.67,0,-0.06,-0.03,0,0,-0.13,-0.55,8.27,4.14,0.01,1.06,1.06,0,-0.23,-0.12,0,,10.6
"Vanuatu",6,1.61,0,-0.1,-0.05,0,-0.04,-0.01,-0.35,0,0,0,1.96,1.94,0.05,-0.48,-0.24,0,14.82,0
"Latvia",69,1.47,1.41,0.05,-1.16,-2.38,-7.67,0.02,-0.46,0,2.4,4.8,4.6,4.6,,-0.18,-0.09,0,19.65,-4.04
"Ascension",85,1.44,0.14,0,0,0,,,0.02,1.28,0.26,-0.76,0.86,0.86,,-0.15,4.65,9.46,,4.14
"Wallis and Futuna",161,1.42,-0.02,0,0,0,0,,0.21,4.04,2.05,0.06,1.44,1.44,,-0.73,-0.36,0,,8
"Philippines",15,1.4,0.41,0.12,0.3,0.47,0.2,0.15,0.07,1.11,-0.27,-1.65,1.31,1.05,-0.16,0.23,0.11,-0.02,12.32,-0.31
"Poland",178,1.35,0.42,0.05,-2.66,-5.38,0.01,0.02,-0.09,0,0.26,0.53,5.13,5.13,,-0.18,-0.09,0,11.36,-0.9
"Oecussi Ambeno",237,1.32,0.39,0.11,0.65,1.19,-0.02,0.04,1.32,2.95,1.26,-0.43,8.22,8.22,,-0.09,-0.03,0.03,,0.1
"United Kingdom",180,1.22,0.2,0.21,1.58,2.94,8.69,0.01,0.57,1.07,-0.22,-1.51,-0.7,-0.79,-0.59,0.5,0.25,0,-1.04,2.93
"Croatia",187,1.19,0.44,0.11,0.06,0,,,-1.29,0,-0.04,-0.08,0.41,0.48,0.99,1.1,14.4,27.7,-4.42,-0.12
"Bulgaria",71,1.18,0.38,-0.04,-0.02,0,,,-0.15,0,-0.02,-0.03,-0.15,-0.52,2.9,-0.03,-0.02,0,12,-2.26
"Line Islands (Kiribati)",148,1.14,0.14,0.03,0.04,0.06,0,,3.54,1.82,1.12,0.42,-1.19,-1.19,,0.12,0.06,0,,5.42
"Bosnia and Herzegovina",232,1.13,0.28,0.04,-0.36,-0.76,,,0.13,0,0.05,0.1,0.28,0.68,-0.07,1.4,4.68,7.96,,2.44
"American Samoa",151,1.07,0.03,0.05,0.03,0,0.13,0.09,-0.03,4.07,2.04,0,0.33,0.33,,0.08,-1.22,-2.52,,8.22
"Canary Islands",58,1,0.21,-0.02,-0.04,-0.06,0.02,0.03,-2.67,-0.02,0.08,0.19,0.34,0.34,,0.86,4.16,7.47,,6.84
"Georgia",74,0.92,0.5,0.08,-1.38,-2.85,,,-0.38,6.96,3.48,0,1.77,1.77,,0.09,0.06,0.04,,2.41
"Turks and Caicos Islands",111,0.92,0.21,0,0.22,0.44,-0.13,-0.12,-0.12,0.45,0.34,0.23,-0.03,-0.03,0,0.19,0.07,-0.05,8.77,0
"Yemen",47,0.92,0.03,0.06,0.1,0.15,0,-0.12,2.02,2.96,1.48,0,0.77,0.78,-0.02,-0.16,-0.08,0,4.99,0
"French Polynesia",147,0.88,-0.01,0,0,0,0,-0.05,-0.1,6.99,3.5,0,-3.47,-3.4,-2.51,0.34,0.17,0,-0.58,9.28
"Madeira",57,0.87,0.16,0,0.11,0.23,,,-0.27,-0.02,0.12,0.26,-1.39,-1.39,,0.9,0.4,-0.09,,6.92
"Tristan da Cunha",88,0.85,0.14,0,0,0,,,-0.01,1.29,0.26,-0.76,1.42,1.42,,-0.14,-0.07,0,,4.18
"South Korea",20,0.84,0.23,0.01,0.49,0.97,,,-0.86,0,0.22,0.44,-0.48,-0.76,-2.61,0.55,0.3,0.05,8.82,-1.72
"Curacao",244,0.83,0.44,0,0,0,0,-0.04,0,0.6,0.32,0.04,0.36,0.36,0,0.23,5.62,11.01,,0.76
"Seychelles",31,0.82,1.19,0.02,0.01,0,-0.19,0,-0.49,1.2,0.6,0,6.04,6.04,0,0.35,0.17,-0.01,,0
"Vietnam",207,0.81,0.29,0.03,-0.09,-0.21,0.03,0.05,0.64,2.74,1.4,0.06,2.06,1.62,0.8,-0.21,0.08,0.36,1.55,2.55
"Bassas da India",34,0.73,0.25,0,0,0,0,,-0.01,,,,4,4,,0.3,0.15,0,,
"Juan de Nova Island",33,0.71,0.18,-0.12,-0.06,0,0,,-0.01,0.01,-0.2,-0.41,9.29,9.29,,0.27,0.13,0,,-3.65
"Nauru",10,0.7,0.06,-0.22,-0.35,-0.48,0.07,,-0.12,2.76,1.54,0.32,-0.11,-0.11,0,-0.61,-0.31,0,,4.86
"Kerguelen Islands",93,0.67,0.14,-0.03,-0.01,0,,,0,,,,2.92,2.92,,0.56,0.28,0,,
"Niue",154,0.67,-0.05,-0.11,-0.96,-1.82,-0.02,0.03,-1.16,0.01,0.08,0.14,0.09,0.09,,-0.17,-0.08,0,,8.11
"Saint Helena",86,0.66,0.14,0,0,0,,,0.06,-0.56,-2.43,-4.3,2.73,2.73,,-0.14,-0.07,0,,4.15
"Phoenix Islands (Kiribati)",157,0.65,0.09,-0.1,-1.74,-3.37,0,,-0.06,1.81,1.11,0.4,0.2,0.2,,0.11,0.05,0,,5.54
"Liberia",97,0.63,0.02,0.01,0.25,0.49,-0.02,-0.01,0.25,0,0,0,0.13,0.13,,-0.17,-0.09,0,,5.15
"Cambodia",24,0.59,0.21,0.08,0.43,0.78,0.11,0.1,0.51,0.41,0.15,-0.11,2.21,2.15,1.92,0.12,0.08,0.03,1.92,0.23
"Senegal",66,0.59,0.12,0.15,0.1,0.05,0.03,0.04,1.07,2.91,1.46,0,0.33,0.33,0.02,0.29,0.21,0.11,2.53,0.01
"Russia",73,0.57,-0.05,0.02,-0.03,-0.08,0.05,0,0.59,0,1.01,2.02,1.55,1.58,10.85,0.02,0.02,0.02,3,-0.48
"Italy",184,0.55,-0.61,-0.01,0.02,0.06,0,0,-0.54,0,0.41,0.81,1,0.52,0.16,0.77,0.39,0,4.38,0.97
"Romania",72,0.55,0.83,-0.04,-0.02,0,,,0.12,0,-0.3,-0.6,-0.34,-0.34,0,0,0,0,4.81,-0.68
"Sri Lanka",40,0.54,0.56,0.08,0.08,0.07,0,0.01,0.93,5.23,-2.5,-10.24,1.22,1.2,0.01,0.82,0.59,0.36,1.77,2.77
"New Caledonia",5,0.52,0.23,0.4,0.25,0.1,-0.06,0.1,-3.23,0.47,0.23,0,1.54,1.35,0.22,0.35,3.47,6.59,1.16,1.75
"Monaco",185,0.51,0.05,-0.01,-0.01,,,,-0.42,0.03,0.42,0.8,1.34,1.34,,-0.01,3.49,6.99,,-1.29
"Christmas Island",2,0.49,0.14,0,0,0,0,0,0,0.06,0.41,0.75,3.2,3.2,,0.1,0.06,0.01,,0.66
"Panama",129,0.49,1.19,0.01,-0.02,-0.04,-0.1,-0.02,0.39,0.08,0.04,0,-0.48,-0.61,1.01,0.02,0.01,-0.01,-6.18,10.22
"Honduras",133,0.47,0.16,0.04,-0.01,-0.06,0,0.02,-0.86,0,0.29,0.59,0.52,5.59,8.33,0.02,1.74,3.45,0,-2.28
"Cocos Islands",1,0.46,0.14,0,0,0,0,0,0,0.06,0.41,0.75,3.09,3.09,,-0.23,-0.11,0,,0.62
"Gibraltar",60,0.45,0.1,-0.04,0.23,0.5,,,0.27,-0.02,-0.01,0,0.55,0.55,,0.16,0.08,0,,1.94
"Nigeria",196,0.44,0.09,0.01,2.4,4.78,-0.14,-0.09,-0.7,2.29,1.14,0,0.8,0.8,0,-0.33,-0.17,-0.01,1.33,-0.27
"Iran",191,0.4,-0.24,0.07,0.07,0.07,-0.02,0.01,-0.24,5.27,2.64,0,1,0.83,2.92,-0.19,-0.07,0.04,1.79,-0.79
"Thailand",25,0.35,0.32,0.01,0.27,0.52,0.02,0.01,-0.14,0,2.53,5.06,1.08,-1.98,-10.1,0,-0.32,-0.64,0.86,1.94
"Belize",164,0.34,0.12,0.04,-0.11,-0.26,-0.01,0,0.19,0,0,0,-0.31,1.95,3.91,0.46,2.82,5.19,-2.1,0.55
"Andaman and Nicobar",26,0.33,0.38,0.03,0.11,0.19,0,-0.03,0.49,2.89,1.18,-0.54,0.73,0.73,,0.09,0.04,0,,0.04
"Suriname",168,0.33,0.15,0.06,0.03,0,0,0,2.89,3.57,1.48,-0.61,-0.84,-0.84,0.04,0.38,0.19,0,0.01,-0.6
"Indonesia",216,0.31,0.54,0.1,0.41,0.7,0.13,0.1,0.12,6.32,1.61,-3.09,1.21,0.7,0.86,0.15,-0.32,-0.78,-1.01,0.87
"Libya",67,0.31,0.56,-0.24,-0.12,0,,,0.01,1.47,0.63,-0.2,0.28,0.28,0,0.86,0.43,0,0.68,0
