"goal_code","trend","p_value","quant_5","quant_95"
"NP",-3.77075000000233,6.53593641868685e-14,-25.1607000000039,12.2067500000015
"TR",-0.379273167235661,0.0142195334375354,-6.64000000000024,7.7176500000011
"CP",-0.363194117647214,0.000267661342293141,-0.68000000000009,0.194700000000021
"CW",-0.143213636363637,0.00304932067351361,-2.57870000000026,1.64320000000015
"Index",-0.130904545454606,0.00231308628275463,-2.29225000000025,1.66670000000012
"LIV",-0.110387254901995,0.275425718283403,-2.5193,2.2252
"CS",-0.0187905405405519,1.26121954117004e-05,-0.13910000000002,0.0986500000000175
"HAB",0.00210138248846473,0.963330572891197,-1.04700000000012,0.978000000000191
"BD",0.00641363636361517,0.778961136071091,-0.499000000000055,0.495600000000103
"SPP",0.0109318181818147,0.0014901440164246,-0.104300000000025,0.130050000000023
"MAR",0.0562159999999632,0.570522582581904,-2.59300000000045,2.70080000000031
"ICO",0.139059090909013,5.0584434489143e-08,-0.450450000000137,0.904550000000068
"AO",0.16832727272731,1.33644804776941e-21,-0.176450000000018,0.715500000000094
"LE",0.450872549019666,4.46546751667821e-07,-0.790399999999998,2.53055000000001
"SP",0.451100000000022,2.10818013496055e-07,-0.583000000000041,3.52560000000002
"FP",0.487504545454681,9.22177170849752e-07,-2.44690000000027,4.02525000000042
"FIS",0.507695454545593,3.34912259183401e-07,-2.48365000000034,3.86295000000027
"LSP",0.762913636363797,6.93748227582989e-06,-1.1593000000002,7.01470000000005
"ECO",1.01214215686278,3.92176832561454e-16,-0.422500000000005,5.0337
