iucn_sid,am_sid,sciname,name,spp_group_text
2058,ITS-Mam-180630,Arctocephalus gazella,Antarctic Fur Seal,Marine Mammals
2059,ITS-180635,Arctocephalus philippii,Juan Fernandez Fur Seal,Marine Mammals
2062,ITS-Mam-180632,Arctocephalus tropicalis,Subantarctic Fur Seal,Marine Mammals
2467,ITS-Mam-180533,Balaena mysticetus,Bowhead Whale,Marine Mammals
5659,Rep-3445,Crocodylus acutus,American Crocodile,Reptiles
5668,Rep-3460,Crocodylus porosus,Saltwater Crocodile,Reptiles
6337,ITS-Mam-555654,Delphinus capensis,Long-Beaked Common Dolphin,Marine Mammals
6909,ITS-Mam-180679,Dugong dugon,Dugong,Marine Mammals
7750,ITS-Mam-180547,Enhydra lutris,Sea Otter,Terr. Mammals
7859,Fis-26140,Epinephelus marginatus,Dusky Grouper,Groupers
7861,Fis-163781,Hyporthodus niveatus,Snowy Grouper,Groupers
7862,Fis-22722,Epinephelus striatus,Nassau Grouper,Groupers
9660,ITS-Mam-180653,Halichoerus grypus,Grey Seal,Marine Mammals
11141,ITS-Mam-180443,Lagenorhynchus acutus,Atlantic White-Sided Dolphin,Marine Mammals
11146,ITS-Mam-180445,Lagenorhynchus obscurus,Dusky Dolphin,Marine Mammals
12419,ITS-Mam-621916,Lutra lutra,Eurasian River Otter,Terr. Mammals
13704,ITS-Mam-180485,Monodon monoceros,Narwhal,Marine Mammals
14050,Fis-23649,Mycteroperca microlepis,Gag,Groupers
15873,Fis-23707,Pagrus pagrus,Red Porgy,Seabreams/Porgies
17013,ITS-Mam-180649,Phoca vitulina,Harbour Seal,Marine Mammals
19950,Fis-30607,Scarus guacamaia,Rainbow Parrotfish,Wrasses
21994,Fis-27843,Torquigener brevipinnis,Torquigener brevipinnis,Pufferfish
44684,Fis-25341,Plectropomus leopardus,Leopard Coralgrouper,Groupers
63571,Fis-25689,Bolbometopon muricatum,Green Humphead Parrotfish,Wrasses
64412,Fis-26517,Plectropomus laevis,Blacksaddled Coralgrouper,Groupers
132736,Fis-25944,Epinephelus rivulatus,Halfmoon Grouper,Groupers
132755,Fis-26511,Epinephelus radiatus,Oblique-Banded Grouper,Groupers
132756,Fis-26508,Epinephelus miliaris,Netfin Grouper,Groupers
132810,Fis-31845,Variola albimarginata,White-Edged Lyretail,Groupers
132859,URM-Cn-5604,Oulastrea crispata,Oulastrea crispata,Corals
132866,URM-Cn-4877,Montipora angulata,Montipora angulata,Corals
132869,URM-Cn-4750,Acropora florida,Branch Coral,Corals
132875,URM-Cn-5982,Pocillopora kelleheri,Pocillopora kelleheri,Corals
132880,URM-Cn-4995,Pavona venosa,Pavona venosa,Corals
132883,URM-Cn-5572,Goniastrea australensis,Lesser Star Coral,Corals
132892,URM-Cn-4910,Montipora hodgsoni,Montipora hodgsoni,Corals
132903,URM-Cn-4970,Leptoseris solida,Leptoseris solida,Corals
132933,URM-Cn-4723,Acropora carduus,Acropora carduus,Corals
132935,URM-Cn-4807,Acropora plumosa,Acropora plumosa,Corals
132957,URM-Cn-5465,Turbinaria bifrons,Turbinaria bifrons,Corals
132967,URM-Cn-5485,Euphyllia yaeyamaensis,Euphyllia yaeyamaensis,Corals
132987,URM-Cn-5524,Echinopora gemmacea,Echinopora gemmacea,Corals
132991,URM-Cn-6123,Coscinaraea crassa,Coscinaraea crassa,Corals
133070,URM-Cn-5601,Montastrea colemani,Montastrea Coral,Corals
133076,URM-Cn-5873,Lobophyllia robusta,Lobed Cactus Coral,Corals
133082,URM-Cn-6064,Porites lutea,Porites lutea,Corals
133090,URM-Cn-5587,Leptastrea purpurea,Leptastrea purpurea,Corals
133113,URM-Cn-4880,Montipora cactus,Montipora cactus,Corals
133134,URM-Cn-5592,Montastraea annularis,Carribean Star Coral,Corals
133158,URM-Cn-5787,Podabacia crustacea,Bracket Coral,Corals
133160,URM-Cn-4715,Acropora austera,Acropora austera,Corals
133178,URM-Cn-5593,Montastrea annuligera,Montastrea annuligera,Corals
133193,W-Oct-210725,Heliopora coerulea,Blue Coral,Corals
133203,URM-Cn-4840,Acropora tenella,Acropora tenella,Corals
133248,URM-Cn-4816,Acropora robusta,Green Robusta,Corals
133258,URM-Cn-5495,Plerogyra sinuosa,Rounded Bubblegum Coral,Corals
133283,URM-Cn-4718,Acropora batunai,Acropora batunai,Corals
133289,SLB-117478,Euphyllia paraancora,Euphyllia paraancora,Corals
133307,URM-Cn-5553,Favia rotundata,Favia rotundata,Corals
133315,URM-Cn-4788,Acropora monticulosa,Acropora monticulosa,Corals
133365,URM-Cn-5574,Goniastrea edwardsi,Goniastrea edwardsi,Corals
133409,URM-Cn-4948,Montipora verruculosus,Montipora verruculosus,Corals
133415,URM-Cn-4859,Anacropora puertogalerae,Anacropora puertogalerae,Corals
133442,URM-Cn-5948,Oxypora lacera,Oxypora lacera,Corals
133516,URM-Cn-5556,Favia truncatus,Favia truncatus,Corals
133642,URM-Cn-5848,Acanthastrea hemprichii,Hemprich' Brain Coral,Corals
133645,SLB-184819,Porites somaliensis,Porites somaliensis,Corals
133674,URM-Cn-4919,Montipora mollis,Montipora mollis,Corals
154643,Fis-25990,Parenchelyurus hepburni,Hepburn's Blenny,Combtooth Blennies
154676,Fis-21841,Scarus prasiognathos,Singapore Parrotfish,Wrasses
154734,Fis-26110,Pagrus auratus,Silver Seabream,Seabreams/Porgies
154760,Fis-31484,Chromis alpha,Yellow-Speckled Chromis,Damselfish
154788,Fis-31453,Hemitaurichthys thompsoni,Thompson's Butterflyfish,Butterflyfish
154812,Fis-31865,Amphiprion sandaracinos,Yellow Clownfish,Damselfish
154829,Fis-128246,Parablennius yatabei,Parablennius yatabei,Combtooth Blennies
154915,Fis-27908,Teixeirichthys jordani,Jordan's Damsel,Damselfish
154946,Fis-29512,Scomberomorus queenslandicus,Queensland School Mackerel,Tunas/Billfish
154947,Fis-35292,Ecsenius trilineatus,Three-Lined Blenny,Combtooth Blennies
154960,Fis-31423,Scarus oviceps,Dark Capped Parrotfish,Wrasses
155006,Fis-26809,Coris caudimacula,Spottail Coris,Wrasses
155029,Fis-32512,Salarias ceramensis,Seram Blenny,Combtooth Blennies
155079,Fis-28707,Torquigener tuberculiferus,Torquigener tuberculiferus,Pufferfish
155096,Fis-22818,Sarda sarda,Atlantic Bonito,Tunas/Billfish
155108,Fis-138844,Omobranchus rotundiceps,Rotund Blenny,Combtooth Blennies
155120,Fis-25960,Naso vlamingii,Bignose Unicornfish,Surgeons/Tangs/Unicornfish
155146,Fis-31471,Anampses melanurus,White-Spotted Wrasse,Wrasses
155186,Fis-25099,Cirripectes filamentosus,Filamentous Blenny,Combtooth Blennies
155193,Fis-27747,Coradion melanopus,Twospot Coralfish,Butterflyfish
155220,Fis-22163,Chaetodon sedentarius,Reef Butterflyfish,Butterflyfish
155221,Fis-138816,Halichoeres papilionaceus,Weed Wrasse,Wrasses
155238,Fis-28627,Halichoeres binotopsis,Saowisata Wrasse,Wrasses
155276,Fis-22834,Thunnus atlanticus,Blackfin Tuna,Tunas/Billfish
155308,Fis-26704,Centropyge loricula,Centropyge loricula,Angelfish
155314,Fis-134684,Pseudocheilinus ocellatus,Whitebarred Wrasse,Wrasses
165607,Fis-32633,Chaetodon falcula,Blackwedged Butterflyfish,Butterflyfish
165619,Fis-32530,Chaetodon guttatissimus,Peppered Butterflyfish,Butterflyfish
165630,Fis-31451,Chaetodon vagabundus,Vagabond Butterflyfish,Butterflyfish
165632,Fis-31440,Chaetodon punctatofasciatus,Spotband Butterflyfish,Butterflyfish
165641,Fis-31874,Chaetodon ornatissimus,Ornate Butterflyfish,Butterflyfish
165649,Fis-58068,Chaetodon gardineri,Gardner's Butterflyfish,Butterflyfish
165656,Fis-31856,Chaetodon xanthurus,Pearlscale Butterflyfish,Butterflyfish
165659,Fis-25650,Chelmon rostratus,Copperband Butterflyfish,Butterflyfish
165661,Fis-26749,Parachaetodon ocellatus,Sixspine Butterflyfish,Butterflyfish
165664,Fis-31399,Chaetodon oxycephalus,Spot-Nape Butterflyfish,Butterflyfish
165673,Fis-31448,Chaetodon trifasciatus,Melon Butterflyfish,Butterflyfish
165680,Fis-31442,Chaetodon rafflesii,Latticed Butterflyfish,Butterflyfish
165714,Fis-31450,Chaetodon unimaculatus,Teardrop Butterflyfish,Butterflyfish
165723,Fis-32538,Chaetodon collare,Redtail Butterflyfish,Butterflyfish
165725,Fis-31444,Chaetodon semeion,Dotted Butterflyfish,Butterflyfish
165828,Fis-26703,Centropyge fisheri,Orange Angelfish,Angelfish
165829,Fis-25750,Pomacanthus xanthometopon,Yellowface Angelfish,Angelfish
165835,Fis-26169,Apolemichthys trimaculatus,Threespot Angelfish,Angelfish
165838,Fis-32986,Centropyge colini,Cocos-Keeling Angelfish,Angelfish
165840,Fis-26189,Pomacanthus sexstriatus,Sixbar Angelfish,Angelfish
165849,Fis-143219,Centropyge ferrugata,Rusty Angelfish,Angelfish
165860,Fis-59453,Centropyge vrolikii,Pearlscale Angelfish,Angelfish
165882,Fis-28063,Chaetodontoplus septentrionalis,Bluestriped Angelfish,Angelfish
165896,Fis-34264,Centropyge multicolor,Multicolor Angelfish,Angelfish
165901,Fis-26181,Centropyge tibicen,Keyhole Angelfish,Angelfish
165902,Fis-25632,Centropyge bicolor,Bicolor Angelfish,Angelfish
169951,ITS-199949,Panulirus penicillatus,Pronghorn Spiny Lobster,Lobsters
169954,ITS-199950,Scyllarides haanii,Aesop Slipper Lobster,Lobsters
169955,ITS-97315,Homarus gammarus,European Lobster,Lobsters
169967,ITS-97317,Nephrops norvegicus,Norway Lobster,Lobsters
169968,ITS-552982,Panulirus versicolor,Painted Spiny Lobster,Lobsters
169974,ITS-552922,Nephropsis stewarti,Indian Ocean Lobsterette,Lobsters
169978,Chn-b75cc929-1ac6-410b-888c-9ab8e709b6d0,Scammarctus batei,Scammarctus batei,Lobsters
169979,ITS-553055,Thenus orientalis,Flathead Lobster,Lobsters
169990,ITS-552979,Panulirus polyphagus,Mud Spiny Lobster,Lobsters
170004,Chn-b131aac2-f572-412d-992d-0a5de940cc27,Remiarctus bertholdii,Two-Spot Locust Lobster,Lobsters
170023,ITS-553013,Ibacus novemdentatus,Smooth Fan Lobster,Lobsters
170026,ITS-553010,Ibacus brevipes,Serrate Fan Lobster,Lobsters
170048,ITS-552969,Palinustus waguensis,Japanese Blunthorn Lobster,Lobsters
170066,ITS-552976,Panulirus longipes,Longlegged Spiny Lobster,Lobsters
170082,ITS-97310,Nephropsis agassizii,Prickly Lobsterette,Lobsters
170306,Fis-29507,Scomber japonicus,Chub Mackerel,Tunas/Billfish
170313,Fis-22817,Sarda orientalis,Striped Bonito,Tunas/Billfish
170329,Fis-29506,Scomber australasicus,Blue Mackerel,Tunas/Billfish
170343,Fis-22823,Scomberomorus koreanus,Korean Seerfish,Tunas/Billfish
170345,Fis-22759,Euthynnus alletteratus,Little Tunny,Tunas/Billfish
176704,Rep-383,Aipysurus laevis,Olive-Brown Seasnake,Reptiles
176708,SLB-88859,Astrotia stokesii,Stokes' Sea Snake,Reptiles
176715,Rep-6233,Hydrophis caerulescens,Dwarf Seasnake,Reptiles
176717,Rep-6276,Hydrophis spiralis,Yellow Sea Snake,Reptiles
176719,SLB-88877,Enhydrina schistosa,Beaked Sea Snake,Reptiles
176726,Rep-6239,Hydrophis cyanocinctus,Annulated Sea Snake,Reptiles
176750,Rep-6750,Laticauda colubrina,Yellow-Lipped Sea Krait,Reptiles
177950,Fis-23658,Naso lituratus,Orangespine Unicornfish,Surgeons/Tangs/Unicornfish
177951,Fis-146734,Naso tonganus,Bulbnose Unicornfish,Surgeons/Tangs/Unicornfish
177953,Fis-29261,Acanthurus coeruleus,Blue Tang Surgeonfish,Surgeons/Tangs/Unicornfish
177959,Fis-31083,Acanthurus fowleri,Fowler's Surgeonfish,Surgeons/Tangs/Unicornfish
177962,Fis-32459,Naso fageni,Horseface Unicornfish,Surgeons/Tangs/Unicornfish
177971,Fis-31087,Acanthurus blochii,Ringtail Surgeonfish,Surgeons/Tangs/Unicornfish
177972,Fis-25955,Paracanthurus hepatus,Palette Surgeonfish,Surgeons/Tangs/Unicornfish
177991,Fis-31082,Acanthurus olivaceus,Orangespot Surgeonfish,Surgeons/Tangs/Unicornfish
177997,Fis-4576,Acanthurus tennentii,Doubleband Surgeonfish,Surgeons/Tangs/Unicornfish
178000,Fis-29580,Acanthurus leucosternon,Powderblue Surgeonfish,Surgeons/Tangs/Unicornfish
178024,Fis-143889,Zebrasoma desjardinii,Indian Sail-Fin Surgeonfish,Surgeons/Tangs/Unicornfish
180246,W-Hol-732226,Holothuria difficilis,Holothuria difficilis,Sea Cucumbers
180248,W-Hol-210772,Pearsonothuria graeffei,Blackspotted Sea Cucumber,Sea Cucumbers
180257,SLB-66022,Holothuria scabra,Sand Fish,Sea Cucumbers
180326,SLB-65999,Holothuria nobilis,Black Teatfish,Sea Cucumbers
180337,SLB-88333,Actinopyga mauritiana,Surf Redfish,Sea Cucumbers
180375,SLB-88370,Holothuria leucospilota,White Threads Fish,Sea Cucumbers
180400,SLB-88369,Holothuria edulis,Pinkfish,Sea Cucumbers
180414,SLB-88397,Holothuria fuscopunctata,Elephant Trunkfish,Sea Cucumbers
180443,SLB-92934,Holothuria rigida,Rigid Sea Cucumber,Sea Cucumbers
180477,W-Hol-149789,Stichopus chloronotus,Greenfish,Sea Cucumbers
180481,W-Hol-210916,Thelenota ananas,Prickly Redfish,Sea Cucumbers
180494,SLB-159332,Holothuria fuscocinerea,Ashen Sea Cucumber,Sea Cucumbers
185061,ITS-660111,Pentacheles snyderi,Pentacheles snyderi,Lobsters
185074,Chn-f255ce49-bed7-4937-998b-cf930cedf3a6,Galearctus kitanoviriosus,Kitano Locust Lobster,Lobsters
187384,Fis-25705,Cheilinus chlorourus,Floral Wrasse,Wrasses
187395,Fis-146180,Iniistius aneitensis,Yellowblotch Razorfish,Wrasses
187397,Fis-3208,Labrus mixtus,Cuckoo Wrasse,Wrasses
