iucn_sid,am_sid,sciname,dist_align,area_ratio,method,name
132859,URM-Cn-5604,Oulastrea crispata,76.653,43.68,all depth,Oulastrea crispata
132860,SLB-62998,Psammocora stellata,52.481,53.436,all depth,Psammocora stellata
132863,SLB-93516,Acropora prostrata,71.494,64.446,all depth,Acropora prostrata
132866,URM-Cn-4877,Montipora angulata,77.061,65.399,all depth,Montipora angulata
132869,URM-Cn-4750,Acropora florida,89.616,43.673,all depth,Branch Coral
132871,URM-Cn-5952,Pectinia elongata,88.473,16.313,all depth,Pectinia elongata
132874,URM-Cn-5888,Scolymia lacera,19.524,66.822,all depth,Atlantic Mushroom Coral
132875,URM-Cn-5982,Pocillopora kelleheri,44.441,82.769,all depth,Pocillopora kelleheri
132876,URM-Cn-4973,Leptoseris tubulifera,69.612,37.703,all depth,Leptoseris tubulifera
132877,URM-Cn-5759,Fungia fralinae,90.521,29.487,all depth,Fungia fralinae
132878,URM-Cn-5549,Favia maxima,90.768,28.016,all depth,Favia maxima
132880,URM-Cn-4995,Pavona venosa,85.842,47.441,all depth,Pavona venosa
132883,URM-Cn-5572,Goniastrea australensis,85.632,24.195,all depth,Lesser Star Coral
132884,URM-Cn-5508,Colpophyllia natans,95.37,38.024,all depth,Boulder Brain Coral
132885,URM-Cn-4965,Leptoseris hawaiiensis,78.477,52.444,all depth,Porcelain Coral
132886,SLB-93397,Acropora seriata,72.876,51.365,all depth,Acropora seriata
132892,URM-Cn-4910,Montipora hodgsoni,73.974,68.303,all depth,Montipora hodgsoni
132894,URM-Cn-5557,Favia veroni,89.774,27.24,all depth,Favia veroni
132900,URM-Cn-5894,Symphyllia radians,80.671,59.714,all depth,Symphyllia radians
132902,SLB-62642,Fungia puishani,78.508,40.244,all depth,Fungia puishani
132903,URM-Cn-4970,Leptoseris solida,61.567,44.787,all depth,Leptoseris solida
132906,SLB-93376,Acropora irregularis,61.565,66.843,all depth,Acropora irregularis
132908,URM-Cn-4818,Acropora rosaria,68.137,59.595,all depth,Acropora rosaria
132909,URM-Cn-4848,Acropora turaki,72.324,65.812,all depth,Acropora turaki
132911,URM-Cn-4992,Pavona maldivensis,82.525,51.55,all depth,Pavona maldivensis
132915,SLB-158712,Siderastrea stellata,67.788,22.895,all depth,Siderastrea stellata
132916,URM-Cn-5470,Turbinaria irregularis,91,15.909,all depth,Turbinaria irregularis
132917,URM-Cn-4958,Gardineroseris planulata,80.806,53.977,all depth,Honeycomb Coral
132922,URM-Cn-5595,Montastrea curta,79.357,53.438,all depth,Montastrea curta
132923,URM-Cn-5985,Pocillopora woodjonesi,87.635,48.117,all depth,Pocillopora woodjonesi
132927,SLB-61850,Leptoseris striata,86.247,21.813,all depth,Leptoseris striata
132928,URM-Cn-5953,Pectinia lactuca,88.024,39.934,all depth,Lettuce Coral
132931,URM-Cn-4854,Acropora willisae,75.724,51.828,all depth,Acropora willisae
132933,URM-Cn-4723,Acropora carduus,52.103,82.408,all depth,Acropora carduus
132935,URM-Cn-4807,Acropora plumosa,79.233,59.11,all depth,Acropora plumosa
132936,SLB-190543,Favia pallida,87.186,56.175,all depth,Favia pallida
132940,URM-Cn-4710,Acropora acuminata,89.711,36.051,all depth,Acropora acuminata
132941,URM-Cn-5862,Indophyllia macassarensis,67.213,6.328,all depth,Indophyllia macassarensis
132942,SLB-93057,Montipora patula,100,10.838,all depth,Montipora patula
132945,URM-Cn-6043,Porites colonensis,53.536,7.244,all depth,Honeycomb Plate Coral
132946,SLB-93732,Acropora lianae,76.345,67.089,all depth,Acropora lianae
132950,SLB-158633,Acropora macrostoma,39.24,75.699,all depth,Acropora macrostoma
132957,URM-Cn-5465,Turbinaria bifrons,62.04,37.017,all depth,Turbinaria bifrons
132962,URM-Cn-5892,Symphyllia erythraea,73.222,32.362,all depth,Symphyllia erythraea
132963,URM-Cn-5591,Manicina areolata,83.956,63.423,all depth,Rose Coral
132967,URM-Cn-5485,Euphyllia yaeyamaensis,69.75,58.085,all depth,Euphyllia yaeyamaensis
132968,URM-Cn-5779,Halomitra clavator,25.94,67.177,all depth,Halomitra clavator
132969,URM-Cn-4774,Acropora listeri,82.189,44.698,all depth,Acropora listeri
132970,URM-Cn-4954,Agaricia lamarcki,95.16,42.55,all depth,Lamarck's Sheet Coral
132972,URM-Cn-4800,Acropora paniculata,76.533,48.887,all depth,Acropora paniculata
132974,SLB-62368,Plerogyra discus,77.574,51.766,all depth,Plerogyra discus
132977,URM-Cn-4937,Montipora stilosa,66.751,56.703,all depth,Montipora stilosa
132980,URM-Cn-5590,Leptoria phrygia,90.667,29.484,all depth,Leptoria phrygia
132983,URM-Cn-5584,Leptastrea bottae,57.158,51.889,all depth,Leptastrea bottae
132984,URM-Cn-4736,Acropora derawanensis,78.609,65.357,all depth,Acropora derawanensis
132987,URM-Cn-5524,Echinopora gemmacea,81.952,44.975,all depth,Echinopora gemmacea
132988,URM-Cn-4777,Acropora longicyathus,80.522,47.648,all depth,Acropora longicyathus
132990,URM-Cn-4790,Acropora multiacuta,70.353,67.645,all depth,White Acropora
132991,URM-Cn-6123,Coscinaraea crassa,71.208,44.525,all depth,Coscinaraea crassa
132992,URM-Cn-4761,Acropora humilis,83.148,44.927,all depth,Finger Coral
132996,URM-Cn-5772,Fungia seychellensis,50.964,54.257,all depth,Fungia seychellensis
133000,URM-Cn-4796,Acropora ocellata,33.092,46.851,all depth,Acropora ocellata
133002,SLB-117497,Seriatopora stellata,66.126,57.343,all depth,Seriatopora stellata
133003,URM-Cn-5583,Leptastrea bewickensis,50.538,45.089,all depth,Leptastrea bewickensis
133004,SLB-62804,Simplastrea vesicularis,87.381,39.044,all depth,Simplastrea vesicularis
133006,URM-Cn-4798,Acropora palmata,95.622,41.77,all depth,Elkhorn Coral
133007,URM-Cn-4917,Montipora malampaya,74.438,57.318,all depth,Montipora malampaya
133008,URM-Cn-5775,Fungia spinifer,90.686,24.691,all depth,Fungia spinifer
133011,SLB-117488,Pocillopora ankeli,79.09,59.322,all depth,Pocillopora ankeli
133013,URM-Cn-4755,Acropora grandis,80.832,49.089,all depth,Acropora grandis
133018,URM-Cn-4786,Acropora minuta,87.606,43.321,all depth,Acropora minuta
133020,URM-Cn-4841,Acropora tenuis,84.663,46.461,all depth,Acropora tenuis
133023,URM-Cn-6062,Porites lichen,90.164,23.288,all depth,Lichen Coral
133024,URM-Cn-5827,Merulina scabricula,92.142,23.942,all depth,Crispy Crust Coral
133025,URM-Cn-4850,Acropora vaughani,88.606,42.604,all depth,Acropora vaughani
133026,SLB-117486,Mycedium mancaoi,85.06,13.591,all depth,Mycedium mancaoi
133029,URM-Cn-5552,Favia rotumana,91.766,14.743,all depth,Favia rotumana
