region_id,country,likely_future_state_2012,likely_future_state_2013,likely_future_state_2014,likely_future_state_2015,likely_future_state_2016,score_2012,score_2013,score_2014,score_2015,score_2016,status_2012,status_2013,status_2014,status_2015,status_2016,pred_change,obs_change
26,Andaman and Nicobar,66.99,68.09,68.38,68.77,69.02,65.7,66.43,66.63,66.92,67.09,64.40888888888888,64.75777777777779,64.86777777777779,65.07222222222222,65.14666666666668,2.581111111111113,0.7377777777777936
28,Comoro Islands,63.17,62.76,64.26,60.6,65.07,62.25,62.47,63.48,60.71,64.31,61.33222222222222,62.18555555555555,62.70444444444445,60.82,63.55222222222223,1.8377777777777808,2.220000000000006
29,Mayotte,80.27,77.79,75.94,70.13,73.52,77.06,74.39,72.09,66.91,70.39,73.84599999999999,70.981,68.239,63.69199999999999,67.26599999999999,6.424000000000007,-6.579999999999998
30,Glorioso Islands,73.57,82,85.78,79.96,86.09,69.36,77.1,79.66,75.37,80.45,65.15125,72.20125,73.5375,70.78875,74.8075,8.418749999999989,9.65625
31,Seychelles,81.68,85.71,88.16,84.71,86.96,80.85,83.49,85.39,82.96,85.19,80.01666666666667,81.26333333333334,82.61444444444444,81.21777777777778,83.41222222222223,1.663333333333341,3.3955555555555605
32,R_union,68.45,69.23,69.31,69.03,69.55,65.95,66.84,67.02,66.96,67.37,63.44625,64.45375,64.7325,64.89625,65.18875,5.003750000000004,1.7424999999999997
33,Juan de Nova Island,74.25,76.16,80.25,73.87,79.35,69.97,71.4,74.19,69.49,74.49,65.6925,66.63,68.14125,65.10499999999999,69.62,8.557500000000005,3.927500000000009
34,Bassas da India,70.14,71.54,73.45,71.66,74.84,65.84,66.91,68.27,66.98,69.46,61.53,62.281666666666666,63.086666666666666,62.291666666666664,64.07333333333334,8.61,2.5433333333333366
35,Ile Europa,78.41,78.91,79.34,79.6,79.6,73.65,74.06,74.41,74.65,74.7,68.88833333333334,69.22333333333333,69.47833333333334,69.7,69.79833333333333,9.521666666666661,0.9099999999999966
36,Ile Tromelin,74.92,75.51,76.28,76.14,74.09,69.7,70.21,70.85,70.83,69.37,64.48833333333333,64.92333333333333,65.42833333333333,65.51666666666667,64.64833333333333,10.431666666666672,0.1599999999999966
37,Mauritius,71.64,72.69,73.45,73.86,72.28,68.5,69.11,69.72,70.08,68.56,65.348,65.538,65.995,66.306,64.841,6.292000000000002,-0.507000000000005
38,British Indian Ocean Territory,83.24,80,78.93,78.79,79.25,78.24,76.32,75.32,75.53,75.97,73.2325,72.63625,71.715,72.2675,72.695,10.007499999999993,-0.5375000000000085
39,Maldives,68.38,72.31,78.3,75.09,79.18,68.45,71.76,76.15,73.29,76.62,68.51599999999999,71.21000000000001,73.994,71.476,74.067,-0.13599999999999568,5.551000000000002
40,Sri Lanka,63.5,64.33,65.66,66.7,65.73,61.65,62.25,63.12,63.93,63.51,59.803999999999995,60.161,60.572,61.165,61.288,3.696000000000005,1.4840000000000018
41,Mozambique,60.53,65.77,70.96,71.27,71.35,61.37,65.33,69.65,70.8,70.94,62.202999999999996,64.885,68.33500000000001,70.328,70.537,-1.6729999999999947,8.33400000000001
42,Madagascar,61.67,60.61,60.79,60.7,59.98,62.56,62.23,62.54,62.53,62.25,63.452,63.855,64.289,64.35499999999999,64.524,-1.7819999999999965,1.0720000000000027
43,Kenya,64.12,64.83,64.74,64.02,60.89,63.3,63.77,63.63,63.22,60.59,62.480999999999995,62.709,62.528,62.428,60.286,1.63900000000001,-2.194999999999993
44,Somalia,56.58,57.6,55.96,49.3,49.45,57.7,58.38,57.34,51.59,51.81,58.81600000000001,59.165,58.729,53.887,54.18000000000001,-2.2360000000000113,-4.636000000000003
45,Eritrea,68.3,60.76,60.69,52.8,49.3,69.24,61.17,61.16,54.21,50.52,70.172,61.571000000000005,61.626999999999995,55.626999999999995,51.753,-1.8719999999999999,-18.418999999999997
46,Djibouti,69.37,69.13,69.09,66.12,67.69,69.02,68.86,68.88,67.23,68.58,68.66000000000001,68.58666666666666,68.6711111111111,68.33444444444444,69.47888888888889,0.7099999999999937,0.8188888888888783
47,Yemen,60.51,64.82,64.34,64.69,66.02,61.11,65.31,64.51,64.98,65.87,61.714999999999996,65.799,64.673,65.283,65.732,-1.2049999999999983,4.017000000000003
48,Oman,67.59,69.04,67.28,69.38,69.65,67.64,68.37,67.05,68.78,68.8,67.678,67.687,66.822,68.17999999999999,67.946,-0.08799999999999386,0.2680000000000007
49,Sudan,50.82,50.38,51.31,50.74,49.96,53.98,53.48,54.57,53.8,53.09,57.144000000000005,56.584,57.826,56.864,56.214,-6.324000000000005,-0.9300000000000068
50,Saudi Arabia,80.17,72.15,68.76,65.99,66.23,76.79,70.52,68.12,66.2,66.14,73.416,68.884,67.47200000000001,66.404,66.062,6.754000000000005,-7.353999999999999
51,Kuwait,72.89,70.62,70.18,69.94,68.34,71.34,69.91,69.77,69.73,68.89,69.79666666666667,69.19777777777777,69.35222222222222,69.52111111111111,69.43444444444444,3.0933333333333337,-0.3622222222222291
52,Bahrain,64.27,63.7,62.54,62.34,62.96,65.78,64.62,63.89,63.88,64.02,67.28444444444443,65.53222222222222,65.24,65.41777777777777,65.09333333333333,-3.014444444444436,-2.1911111111110984
53,Pakistan,59.51,58.87,51.59,51.66,50.7,57.19,56.92,51.79,52.21,51.1,54.86999999999999,54.962,51.983000000000004,52.754999999999995,51.501,4.640000000000008,-3.3689999999999927
54,United Arab Emirates,83.57,83.14,83.7,82.41,77.74,80.35,79.72,79.63,79.14,75.63,77.128,76.3,75.562,75.86800000000001,73.506,6.441999999999993,-3.622
55,Azores,82.73,81.21,79.13,79.56,77.95,77.65,76.96,75.39,76,74.9,72.57428571428571,72.70857142857143,71.64428571428572,72.43714285714286,71.84142857142857,10.155714285714296,-0.7328571428571422
56,Cape Verde,67.37,68.16,68.13,67.85,67.69,67.12,67.75,67.8,67.77,67.34,66.87,67.33714285714287,67.46142857142857,67.67857142857143,66.97857142857143,0.5,0.10857142857142321
57,Madeira,76.88,75.74,75.03,79.11,79.38,73.13,72.68,72.15,75.81,75.89,69.38714285714286,69.61571428571429,69.27285714285713,72.52285714285715,72.4,7.492857142857133,3.0128571428571433
58,Canary Islands,67.67,67.94,66.74,70.45,69.96,63.78,64.11,63.32,67.32,67.16,59.88666666666667,60.28333333333333,59.904444444444444,64.2011111111111,64.35666666666667,7.783333333333331,4.469999999999999
59,Belgium,76.13,78.13,79.34,76.69,74.87,74.88,76.15,77.1,74.72,73.18,73.632,74.185,74.853,72.75800000000001,71.489,2.4979999999999905,-2.1430000000000007
60,Gibraltar,69.21,69.21,68.3,70.3,71.26,66.08,66.13,65.42,67.1,67.85,62.95285714285715,63.04714285714285,62.537142857142854,63.901428571428575,64.42999999999999,6.257142857142846,1.4771428571428444
61,Tunisia,64.68,61.79,61.51,61.34,59.27,65.13,63.15,62.79,62.85,60.69,65.58,64.51,64.08,64.3625,62.113749999999996,-0.8999999999999915,-3.4662500000000023
62,Morocco,69.4,72.24,70.18,69.08,68.31,68.48,70.42,68.65,67.88,67.39,67.56222222222222,68.59666666666666,67.12222222222222,66.68111111111111,66.47666666666666,1.837777777777788,-1.0855555555555583
