"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,71.18,76.76,91.74,90.93,90.11,87.84,79.25,74.15,81.34,78.79,76.23,53.54,53.57,30.12,66.21,61.15,56.1,59.11,49.92
"Howland Island and Baker Island",158,90.29,85.9,93,95.74,98.48,100,,96.43,,,,85.32,85.32,,56.66,78.33,100,,
"Jarvis Island",149,89.77,93.49,93.48,96.59,99.7,,,97.85,,,,82.44,82.44,,56.94,78.47,100,,
"Palmyra Atoll",150,85.47,93.49,93.13,93.27,93.41,77.4,,90.22,,,,80.1,80.1,,56.63,78.31,100,,
"Germany",176,85.26,96.56,94.41,93.58,92.75,94.57,100,52.39,100,88.76,77.52,36.38,35.57,8.87,91.82,95.91,100,95.78,99.51
"Macquarie Island",4,83.77,96.27,95.23,97.62,100,,,98.44,,,,39.37,39.37,,74.34,87.17,100,,
"Australia",16,83.36,97.6,94.24,94.36,94.48,89.4,92.92,84.72,100,93.35,86.71,51.39,45.93,18.05,84.16,92.08,100,77.52,65.74
"Estonia",70,83.3,87.37,94.55,97.27,100,100,100,68.66,77.66,63.39,49.12,75.97,75.97,0,96,98,100,95.78,46.57
"Christmas Island",2,83.12,96.27,97.28,96.95,96.63,93.12,92.76,81.31,99.71,94.32,88.93,63.52,63.52,,58.18,57.83,57.48,,71.97
"Crozet Islands",91,83.06,89.52,92.88,92.88,,,,96.59,,,,62.1,62.1,,48.39,74.2,100,,
"Northern Saint-Martin",221,82.99,87.84,97.97,97.31,96.65,95.26,100,53,81.8,89.31,96.82,39.79,39.79,,75.74,84.38,93.02,,100
"Saba",248,82.66,78.5,98.01,99.01,100,100,100,65.98,77.64,71.82,66,48.4,48.4,,76.51,69.53,62.55,96.91,96.42
"Heard and McDonald Islands",94,82.25,90.46,95.78,97.89,100,,,99.71,,,,50.82,50.82,,44.74,72.37,100,,
"Aruba",250,81.81,92.97,97.93,97.94,97.95,99.99,99.95,62.55,100,100,100,41.39,41.39,0,83.08,41.54,0,,100
"Sint Maarten",220,81.78,93.13,97.76,97.17,96.58,100,100,43.84,80.92,88.87,96.82,46.78,46.78,,74.77,54.75,34.74,96.87,96.42
"Cocos Islands",1,81.41,96.27,97.42,97.5,97.59,97.62,92.76,88.56,99.71,94.32,88.93,55.11,55.11,,75.14,37.57,0,,73
"Finland",174,81.1,95.73,95.38,97.67,99.96,100,,73.13,100,77.45,54.91,83.45,78.24,16.1,96.67,84.08,71.49,95.78,27.85
"New Caledonia",5,80.99,64.48,91.33,89.23,87.13,76.43,77.83,92.07,89.98,94.99,100,66.69,61.72,16.62,66.55,66.49,66.43,95.84,90.78
