sciname,iucn_sid,am_sid,area_iucn,area_am,dist_align,area_ratio,spp_group_text,reviewed,occurcells,n_spp,quad,common,name
Arctocephalus australis,2055,ITS-Mam-180633,2507693.2,2534036.9,80.465,98.96,Marine Mammals,TRUE,44,105,q1,South American Fur Seal,South American Fur Seal
Arctocephalus galapagoensis,2057,ITS-Mam-180634,159989.9,119996.8,79.487,75.003,Marine Mammals,TRUE,13,105,q1,Galapagos Fur Seal,Galapagos Fur Seal
Arctocephalus gazella,2058,ITS-Mam-180630,18196138.8,48628461.9,98.725,37.419,Marine Mammals,TRUE,1565,105,q2,Antarctic Fur Seal,Antarctic Fur Seal
Arctocephalus philippii,2059,ITS-180635,4075352.8,3979835.1,75.113,97.656,Marine Mammals,TRUE,0,105,q1,Juan Fernandez Fur Seal,Juan Fernandez Fur Seal
Arctocephalus pusillus,2060,ITS-Mam-180629,1570332.4,1851246.6,72.633,84.826,Marine Mammals,TRUE,66,105,q1,South African Fur Seal,South African Fur Seal
Arctocephalus townsendi,2061,ITS-Mam-180636,1520243.7,1961328.9,63.432,77.511,Marine Mammals,TRUE,29,105,q1,Guadalupe Fur Seal,Guadalupe Fur Seal
Arctocephalus tropicalis,2062,ITS-Mam-180632,14198308.7,38856793.7,78.529,36.54,Marine Mammals,FALSE,65,105,q2,Subantarctic Fur Seal,Subantarctic Fur Seal
Balaena mysticetus,2467,ITS-Mam-180533,10830444.1,9521551.3,73.984,87.915,Marine Mammals,TRUE,79,105,q1,Bowhead Whale,Bowhead Whale
Balaenoptera acutorostrata,2474,ITS-Mam-180524,355056881.3,364700724.4,98.377,97.356,Marine Mammals,TRUE,2063,105,q1,Northern Minke Whale,Northern Minke Whale
Balaenoptera borealis,2475,ITS-Mam-180526,322615388.9,278490766.9,94.075,86.323,Marine Mammals,TRUE,1150,105,q1,Sei Whale,Sei Whale
Balaenoptera edeni,2476,ITS-Mam-180525,230064181.8,265922207.8,94.48,86.516,Marine Mammals,TRUE,74,105,q1,Eden's Whale,Eden's Whale
Balaenoptera musculus,2477,ITS-Mam-180528,350957140.3,343395161.6,98.3,97.845,Marine Mammals,TRUE,2008,105,q1,Blue Whale,Blue Whale
Balaenoptera physalus,2478,ITS-Mam-180527,210622402.5,360065829.6,98.045,58.496,Marine Mammals,TRUE,3027,105,q1,Fin Whale,Fin Whale
Balaenoptera bonaerensis,2480,ITS-Mam-612592,176497067.8,138235797.3,96.536,78.322,Marine Mammals,TRUE,375,105,q1,Antarctic Minke Whale,Antarctic Minke Whale
Berardius arnuxii,2762,ITS-Mam-180495,106760800.3,147706497.5,99,72.279,Marine Mammals,TRUE,52,105,q1,Arnoux's Beaked Whale,Arnoux's Beaked Whale
Berardius bairdii,2763,ITS-Mam-180496,24050599,25741626.8,94.057,93.431,Marine Mammals,TRUE,104,105,q1,Baird's Beaked Whale,Baird's Beaked Whale
Callorhinus ursinus,3590,ITS-Mam-180627,17931137.5,20359671,92.772,88.072,Marine Mammals,TRUE,299,105,q1,Northern Fur Seal,Northern Fur Seal
Caperea marginata,3778,ITS-Mam-180535,74307864.3,99750822.7,97.2,74.493,Marine Mammals,TRUE,59,105,q1,Pygmy Right Whale,Pygmy Right Whale
Caretta caretta,3897,Rep-2666,275114885.1,245318956.3,94.106,89.17,Reptiles,TRUE,4993,27,q1,Loggerhead Turtle,Loggerhead Turtle
Cephalorhynchus commersonii,4159,ITS-Mam-180449,1457517.4,2948149.7,69.85,49.438,Marine Mammals,TRUE,128,105,q2,Commerson's Dolphin,Commerson's Dolphin
Cephalorhynchus eutropia,4160,ITS-180450,594031.1,498881.5,95.812,83.982,Marine Mammals,TRUE,2,105,q1,Black Dolphin,Black Dolphin
Cephalorhynchus heavisidii,4161,ITS-Mam-180451,279651.3,253126.1,60.928,90.515,Marine Mammals,TRUE,29,105,q3,Heaviside's Dolphin,Heaviside's Dolphin
Cephalorhynchus hectori,4162,ITS-Mam-180452,253726.3,252685.4,66.155,99.59,Marine Mammals,TRUE,5,105,q1,Hector's Dolphin,Hector's Dolphin
Chaetodon marleyi,4362,Fis-32632,473616.9,437737.3,54.267,92.424,Butterflyfish,TRUE,27,116,q3,Doublesash Butterflyfish,Doublesash Butterflyfish
Chaetodon robustus,4364,Fis-33809,1322249.1,411815,96.392,31.145,Butterflyfish,TRUE,53,116,q2,Three-Banded Butterflyfish,Three-Banded Butterflyfish
Chelonia mydas,4615,Rep-2941,182154850.5,27826649.2,69.284,15.276,Reptiles,TRUE,1581,27,q2,Green Sea Turtle,Green Sea Turtle
Crocodylus acutus,5659,Rep-3445,3624397.2,3671317.3,43.16,98.722,Reptiles,FALSE,65,27,q3,American Crocodile,American Crocodile
Crocodylus porosus,5668,Rep-3460,9473435,13276864.3,53.396,71.353,Reptiles,FALSE,149,27,q3,Saltwater Crocodile,Saltwater Crocodile
Cystophora cristata,6204,ITS-Mam-180657,8819573.2,12720929.3,91.671,69.331,Marine Mammals,TRUE,80,105,q1,Hooded Seal,Hooded Seal
Delphinapterus leucas,6335,ITS-Mam-180483,11727397.8,24635489.2,94.605,47.604,Marine Mammals,TRUE,165,105,q2,Beluga,Beluga
Delphinus delphis,6336,ITS-Mam-180438,90011066.9,209301504.2,92.653,43.005,Marine Mammals,TRUE,1969,105,q2,Common Dolphin,Common Dolphin
Delphinus capensis,6337,ITS-Mam-555654,16789581.2,31674738.7,57.758,53.006,Marine Mammals,TRUE,129,105,q4,Long-Beaked Common Dolphin,Long-Beaked Common Dolphin
Dermochelys coriacea,6494,Rep-4381,214885688.1,317381756.2,99.261,67.706,Reptiles,TRUE,5390,27,q1,Leatherback Turtle,Leatherback Turtle
Dugong dugon,6909,ITS-Mam-180679,11737560.2,8558110.7,57.131,72.912,Marine Mammals,TRUE,245,105,q3,Dugong,Dugong
Enhydra lutris,7750,ITS-Mam-180547,2518594.4,4335594,46.353,58.091,Terr. Mammals,TRUE,156,2,q3,Sea Otter,Sea Otter
Epinephelus drummondhayi,7854,Fis-29953,803009.9,434001.7,71.238,54.047,Groupers,TRUE,41,136,q2,Speckled Hind,Speckled Hind
Epinephelus lanceolatus,7858,Fis-26139,24828288.6,14810062.1,68.597,59.65,Groupers,TRUE,160,136,q1,Giant Grouper,Giant Grouper
Epinephelus marginatus,7859,Fis-26140,6497070.4,6736295.6,62.82,96.449,Groupers,TRUE,299,136,q3,Dusky Grouper,Dusky Grouper
Hyporthodus nigritus,7860,Fis-163779,1740158.3,1875489.2,37.21,92.784,Groupers,TRUE,29,136,q3,Warsaw Grouper,Warsaw Grouper
Hyporthodus niveatus,7861,Fis-163781,4160091.6,4009309.4,67.101,96.376,Groupers,FALSE,61,136,q1,Snowy Grouper,Snowy Grouper
Epinephelus striatus,7862,Fis-22722,3691210.4,3224403.5,65.572,87.354,Groupers,TRUE,129,136,q1,Nassau Grouper,Nassau Grouper
Eretmochelys imbricata,8005,Rep-5181,283953022.2,28990547.5,98.433,10.21,Reptiles,TRUE,804,27,q2,Hawksbill Turtle,Hawksbill Turtle
Erignathus barbatus,8010,ITS-Mam-180655,16615157.2,20559941.2,76.522,80.813,Marine Mammals,FALSE,195,105,q1,Bearded Seal,Bearded Seal
Eschrichtius robustus,8097,ITS-Mam-180521,6254451.8,9531044.4,88.482,65.622,Marine Mammals,TRUE,252,105,q1,Gray Whale,Gray Whale
Eubalaena australis,8153,ITS-Mam-552771,88204858.2,135411122.3,96.552,65.139,Marine Mammals,TRUE,236,105,q1,Southern Right Whale,Southern Right Whale
Eumetopias jubatus,8239,ITS-Mam-180625,7473240.1,5872420.9,73.03,78.579,Marine Mammals,TRUE,246,105,q1,Steller's Sea Lion,Steller's Sea Lion
Feresa attenuata,8551,ITS-Mam-180461,211793111.2,201385374.8,98.253,95.086,Marine Mammals,TRUE,354,105,q1,Pygmy Killer Whale,Pygmy Killer Whale
Globicephala macrorhynchus,9249,ITS-Mam-180466,232265165.5,259459285.2,98.5,89.519,Marine Mammals,TRUE,722,105,q1,Short-Finned Pilot Whale,Short-Finned Pilot Whale
Globicephala melas,9250,ITS-Mam-552461,134405192.3,155374111,96.479,86.504,Marine Mammals,TRUE,1047,105,q1,Long-Finned Pilot Whale,Long-Finned Pilot Whale
Grampus griseus,9461,ITS-Mam-180457,244240647.2,294671923.8,96.939,82.886,Marine Mammals,TRUE,1401,105,q1,Risso's Dolphin,Risso's Dolphin
Halichoerus grypus,9660,ITS-Mam-180653,3569760.9,4543649.8,86.478,78.566,Marine Mammals,TRUE,697,105,q1,Grey Seal,Grey Seal
