iucn_sid,sciname,name
132859,Oulastrea crispata,Oulastrea crispata
132866,Montipora angulata,Montipora angulata
132869,Acropora florida,Branch Coral
132875,Pocillopora kelleheri,Pocillopora kelleheri
132880,Pavona venosa,Pavona venosa
132883,Goniastrea australensis,Lesser Star Coral
132892,Montipora hodgsoni,Montipora hodgsoni
132903,Leptoseris solida,Leptoseris solida
132933,Acropora carduus,Acropora carduus
132935,Acropora plumosa,Acropora plumosa
132957,Turbinaria bifrons,Turbinaria bifrons
132967,Euphyllia yaeyamaensis,Euphyllia yaeyamaensis
132987,Echinopora gemmacea,Echinopora gemmacea
132991,Coscinaraea crassa,Coscinaraea crassa
133070,Montastrea colemani,Montastrea Coral
133076,Lobophyllia robusta,Lobed Cactus Coral
133082,Porites lutea,Porites lutea
133090,Leptastrea purpurea,Leptastrea purpurea
133113,Montipora cactus,Montipora cactus
133134,Montastraea annularis,Carribean Star Coral
133158,Podabacia crustacea,Bracket Coral
133160,Acropora austera,Acropora austera
133178,Montastrea annuligera,Montastrea annuligera
133193,Heliopora coerulea,Blue Coral
133203,Acropora tenella,Acropora tenella
133248,Acropora robusta,Green Robusta
133258,Plerogyra sinuosa,Rounded Bubblegum Coral
133283,Acropora batunai,Acropora batunai
133289,Euphyllia paraancora,Euphyllia paraancora
133307,Favia rotundata,Favia rotundata
133315,Acropora monticulosa,Acropora monticulosa
133365,Goniastrea edwardsi,Goniastrea edwardsi
133409,Montipora verruculosus,Montipora verruculosus
133415,Anacropora puertogalerae,Anacropora puertogalerae
133442,Oxypora lacera,Oxypora lacera
133516,Favia truncatus,Favia truncatus
133642,Acanthastrea hemprichii,Hemprich' Brain Coral
133645,Porites somaliensis,Porites somaliensis
133674,Montipora mollis,Montipora mollis
