method,quad,quad_name,pct_quad
original,q2,dist-aligned,0.5913705583756346
original,q4,poorly aligned,0.0532994923857868
original,q1,well-aligned,0.22081218274111675
original,q3,area-aligned,0.13451776649746192
200 m clip,q1,well-aligned,0.7411167512690355
200 m clip,q3,area-aligned,0.0532994923857868
200 m clip,q2,dist-aligned,0.18274111675126903
200 m clip,q4,poorly aligned,0.02284263959390863
