goal,trend,p_value,goal_long,quant_5,quant_95,sig,trend_wts,p_value_wts,sig_wts
NP,-3.7707500000023346,6.535936418686851e-14,Natural products,-25.160700000003857,12.206750000001467,1,-2.679106892962972,4.3186652441117644e-15,1
TR,-0.3792731672356609,0.014219533437535377,Tourism & recreation,-6.640000000000235,7.7176500000011,1,-0.28049955861771997,0.07146187140469248,0
CP,-0.3631941176472139,2.676613422931407e-4,Coastal protection,-0.6800000000000896,0.1947000000000214,1,-0.11866566731207469,0.05600146992045541,0
CW,-0.1432136363636367,0.0030493206735136115,Clean water,-2.5787000000002607,1.6432000000001523,1,-0.14615677875871752,0.003279910349682508,1
CS,-0.018790540540551865,1.2612195411700448e-5,Carbon storage,-0.13910000000002,0.0986500000000175,1,0.006975006822939039,0.026925153844255777,1
HAB,0.0021013824884647345,0.9633305728911968,Habitat (Biodiversity),-1.047000000000121,0.9780000000001906,0,0.11300023996111533,6.132553370985234e-4,1
BD,0.006413636363615175,0.7789611360710911,Biodiversity,-0.49900000000005523,0.4956000000001028,0,0.07338188782561386,1.2486491929694684e-5,1
SPP,0.01093181818181471,0.001490144016424595,Species condition (Biodiversity),-0.1043000000000248,0.13005000000002265,1,0.03391360131132421,1.4297955033794554e-20,1
MAR,0.05621599999996316,0.5705225825819039,Mariculture (Food provision),-2.5930000000004494,2.700800000000312,0,0.3550567261753506,0.03408736194297301,1
ICO,0.13905909090901264,5.058443448914299e-8,Iconic species (Sense of place),-0.4504500000001371,0.9045500000000676,1,0.09760207316190098,1.3223161977716645e-7,1
AO,0.16832727272731046,1.3364480477694125e-21,Artisanal opportunities,-0.17645000000001804,0.7155000000000942,1,0.16082819912263552,2.0607325868555316e-26,1
SP,0.45110000000002176,2.1081801349605478e-7,Sense of place,-0.5830000000000412,3.52560000000002,1,0.3155125030753579,1.423939646444272e-5,1
FP,0.4875045454546811,9.221771708497515e-7,Food provision,-2.446900000000273,4.025250000000416,1,-0.08124104845263604,0.3535736439338436,0
FIS,0.5076954545455925,3.349122591834012e-7,Fisheries (Food provision),-2.48365000000034,3.8629500000002737,1,-0.033769695569652564,0.7159690478562444,0
LSP,0.7629136363637974,6.9374822758298935e-6,Lasting special places (Sense of place),-1.1593000000002023,7.014700000000049,1,0.5335425764956838,2.0245627086177667e-4,1
Index,-0.13090454545460564,0.00231308628275463,Index,-2.292250000000252,1.6667000000001198,1,-0.13591363514983185,3.7329496999077204e-4,1
