"colors"
"#A50026"
"#A80426"
"#AB0826"
"#AE0C26"
"#B11026"
"#B41326"
"#B71626"
"#BA1926"
"#BD1C26"
"#C01F26"
"#C42126"
"#C72427"
"#CA2627"
"#CD2927"
"#D02B27"
"#D32D27"
"#D73026"
"#D83428"
"#DA392A"
"#DC3D2C"
"#DE412D"
"#E0452F"
"#E24931"
"#E34D32"
"#E55134"
"#E75436"
"#E95838"
"#EB5B39"
"#EC5F3B"
"#EE623D"
"#F0663F"
"#F26941"
"#F36C43"
"#F47144"
"#F57546"
"#F67A48"
"#F67E4A"
"#F7824C"
"#F8864D"
"#F88A4F"
"#F98E51"
"#F99253"
"#FA9655"
"#FA9A57"
"#FB9E59"
"#FBA25B"
"#FCA65D"
"#FCAA5F"
"#FDAD60"
"#FDB163"
"#FDB466"
"#FDB769"
"#FDBA6C"
"#FEBD6F"
"#FEC072"
"#FEC475"
"#FEC778"
"#FECA7B"
"#FECD7E"
"#FED081"
"#FED384"
"#FED687"
"#FED98A"
"#FEDC8D"
"#FEDF90"
"#E0F3F8"
"#D9EFF6"
"#D3ECF4"
"#CDE9F2"
"#C7E6F0"
"#C0E3EF"
"#BAE0ED"
"#B4DDEB"
"#AEDAE9"
"#A7D6E7"
"#A1D1E4"
"#9ACCE1"
"#94C6DF"
"#8DC1DC"
"#87BCD9"
"#80B7D6"
"#7AB2D3"
"#74ADD1"
"#6EA6CD"
"#689FCA"
"#6399C6"
"#5D92C3"
"#588CBF"
"#5285BC"
"#4D7EB9"
"#4778B5"
"#4371B2"
"#4169AE"
"#3F62AA"
"#3C5BA7"
"#3A53A3"
"#384C9F"
"#35449C"
"#333D98"
"#313695"
