rgn_id,x_TR_2011,x_TR_2010,x_TR_2009,x_TR_2008,x_TR_2007,x_TR_2006
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,0.070477282,0.069304897,0.073109944,0.063555481,0.060879757,0.052908643
7,0.014481593,0.015779019,0.013348207,0.010953768,0.012428275,0.012509874
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,0.022174041,0.019853784,0.014974269,0.016098539,0.018980363,0.019152997
15,0.011685329,0.011371576,0.011821458,0.012412292,0.017061977,0.016739063
16,0.035925568,0.03642644,0.035817381,0.035425684,0.038278752,0.040256823
17,0.007030146,0.006895909,0.008840101,0.004904028,0.005294694,0.00557351
18,0.072868617,0.077698442,0.072236807,0.078093992,0.068542155,0.070760399
19,,,,,,
20,0.017943183,0.017716228,0.018654827,0.017926789,0.016763239,0.016847565
21,,,,,,
24,0.048940734,0.041918316,0.040090572,0.041507385,0.044315299,0.044520526
25,0.031533958,0.032948786,0.035698861,0.036450379,0.034849032,0.035606883
26,,,,,,
28,0.010778475,0.011720354,0.011093865,0.011880894,0.013314926,0.015821822
29,,,,,,
30,,,,,,
31,0.200353687,0.199624231,0.233015183,0.221742233,0.195572432,0.156784339
32,0.011862832,0.010931536,0.011303486,0.012044901,0.012362107,0.013123252
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,0.081709121,0.081425134,0.078049788,0.091009966,0.101348577,0.094092039
38,,,,,,
39,0.104998013,0.164624898,0.153230087,0.185626213,0.196603917,0.188902174
40,0.019070527,0.017399734,0.015744207,0.017285765,0.019275237,0.020174058
41,0.009349527,0.009437883,0.011089574,0.011008275,0.0102537,0.009632966
42,0.008456975,0.008102977,0.007465752,0.00792393,0.008267235,0.008363473
43,0.00839921,0.008623955,0.007340039,0.00812629,0.009219246,0.008996328
44,,,,,,
45,,,,,,
46,,,,,,
47,0.009036171,0.011721256,0.010824129,0.011042856,0.009303758,0.007894062
48,0.019708906,0.021063597,0.024059399,0.02243846,0.025822317,0.023919424
49,0.006388014,0.006862714,0.009777172,0.00803663,0.008116224,0.008366626
50,0.013734469,0.014299366,0.014799923,0.014038441,0.015411666,0.013661201
51,0.021938013,0.023147852,0.027962429,0.018869905,0.020998825,0.020124169
52,0.033560972,0.048598304,0.050313059,0.045112014,0.051206818,0.056211667
53,0.010949723,0.011703537,0.012059094,0.011917556,0.012345426,0.012587863
54,0.024286657,0.026527036,0.022108148,0.024932627,0.023992673,0.02362123
55,,,,,,
56,0.082879982,0.072983598,0.073302603,0.085142249,0.084094117,0.070929345
57,,,,,,
58,,,,,,
59,0.017285703,0.017870362,0.019308531,0.019422324,0.020548054,0.02070006
60,,,,,,
61,0.029410422,0.040198039,0.041060548,0.042438154,0.043063098,0.043061555
62,0.04886552,0.047795173,0.04684162,0.050903795,0.055500941,0.053604273
63,,,,,,
64,,,,,,
65,0.037223484,0.019114572,0.027679571,0.031153243,0.038748611,0.039423841
66,0.013467331,0.011763789,0.012382583,0.013375216,0.015602048,0.011429638
67,0.006790792,0.006255418,0.008539895,0.007266771,0.007763133,0.00892727
68,0.117802278,0.108814911,0.102029131,0.112752381,0.113003886,0.108174714
69,0.020189297,0.019936514,0.019468344,0.01810027,0.016831668,0.017423173
70,0.026680514,0.026742826,0.026940641,0.025171501,0.023672062,0.028842332
71,0.02296701,0.023545273,0.023266175,0.023505763,0.025281645,0.038848892
72,0.012130287,0.013038419,0.0133221,0.013882347,0.01388653,0.014170614
73,0.008192691,0.008602371,0.009274993,0.008541733,0.008618232,0.008673174
74,0.020405883,0.017477352,0.016461506,0.013732631,0.015837286,0.0202937
