"rgn_id","habitat","extent","health","trend","rank","status","trend_score"
1,"mangrove",NA,NA,NA,139,85.5116269050631,NA
1,"seagrass",199.974,0.855116269050631,NA,83,85.5116269050631,NA
2,"mangrove",NA,NA,NA,139,85.5116269050631,NA
2,"seagrass",130.988,0.855116269050631,NA,83,85.5116269050631,NA
3,"mangrove",NA,NA,NA,139,NA,NA
3,"seagrass",NA,0.855116269050631,NA,83,NA,NA
4,"mangrove",NA,NA,NA,139,NA,NA
5,"mangrove",249.7493,0.798076923076923,-0.00462,139,74.032564259674,-0.00462
5,"seagrass",1310.75,0.721897450142865,NA,83,74.032564259674,-0.00462
6,"mangrove",7.859251,0.833333333333333,0,139,85.4868495370316,0
6,"seagrass",1143.96,0.855116269050631,NA,83,85.4868495370316,0
7,"mangrove",475.049201,0.687086092715232,-0.002979,139,70.7726768806213,-0.002979
7,"seagrass",1158.8,0.721897450142865,NA,83,70.7726768806213,-0.002979
8,"mangrove",48.02875,1,-0.001771,139,86.9731182774143,-0.899305252455114
8,"seagrass",716.939,0.855116269050631,-1,83,86.9731182774143,-0.899305252455114
9,"mangrove",94.311111,1,0,139,86.8723021164101,0.906085024009874
9,"seagrass",1523.82,0.855116269050631,1,83,86.8723021164101,0.906085024009874
10,"mangrove",NA,NA,NA,139,NA,NA
11,"mangrove",NA,NA,NA,139,85.5116269050631,NA
11,"seagrass",496.88,0.855116269050631,NA,83,85.5116269050631,NA
12,"mangrove",NA,NA,NA,139,NA,NA
13,"mangrove",NA,NA,NA,139,91.2847483095417,NA
13,"seagrass",413.921,0.912847483095417,NA,83,91.2847483095417,NA
14,"mangrove",NA,NA,-0.029762,139,91.2847483095417,NA
14,"seagrass",1239.14,0.912847483095417,NA,83,91.2847483095417,NA
15,"mangrove",2629.357553,0.813559322033898,-0.00598,139,88.8387415736685,-0.755118879270394
15,"seagrass",13470.8,0.912847483095417,-1,83,88.8387415736685,-0.755118879270394
16,"mangrove",9622.347451,0.99519890260631,-0.001175,139,87.5128464269601,0.631751754228229
16,"saltmarsh",13028.95,1,0.5,210,87.5128464269601,0.631751754228229
16,"seagrass",39491,0.721897450142865,1,83,87.5128464269601,0.631751754228229
17,"mangrove",4691.1013,0.697247706422018,-0.003065,139,71.0125126189903,0.520952174610585
17,"seagrass",8593.66,0.721897450142865,1,83,71.0125126189903,0.520952174610585
18,"mangrove",766.713351,0.778723404255319,-0.001046,139,81.2846585756482,-0.447258990501753
18,"seagrass",1036.55,0.855116269050631,-1,83,81.2846585756482,-0.447258990501753
19,"mangrove",NA,NA,NA,139,NA,NA
20,"mangrove",NA,NA,NA,139,NA,NA
20,"seagrass",NA,0,-1,83,NA,NA
21,"mangrove",NA,NA,NA,139,NA,NA
24,"mangrove",485.5273,0.758771929824561,-0.032695,139,75.8771929824561,-0.032695
