code,Country/EEZ,Index,FIS,FP,MAR,AO,NP,CS,CP,LIV,LE,ECO,TR,ICO,SP,LSP,CW,HAB,BD,SPP
,Global (area-weighted average),71,59,58,26,98,58,74,69,77,82,88,45,60,60,61,72,88,85,83
1,Cocos Islands,73,34,34,,97,,93,53,93,96,100,67,66,33,0,90,98,92,86
2,Christmas Island,72,31,31,,97,,93,25,93,96,100,67,50,58,66,90,98,91,85
3,Norfolk Island,80,44,44,,97,,,,93,96,100,68,89,70,50,91,100,93,86
4,Macquarie Island,86,51,51,,97,,,,,,,,,100,100,87,100,93,87
5,New Caledonia,73,97,74,16,100,100,50,59,100,94,88,68,62,33,5,74,75,77,79
6,Vanuatu,73,92,91,0,100,61,63,31,100,100,100,99,56,29,2,71,84,82,81
7,Solomon Islands,68,98,98,0,100,62,49,58,100,100,100,28,54,36,18,71,75,78,81
8,Palau,67,96,96,2,98,0,64,54,65,83,100,71,60,30,0,82,98,91,83
9,Micronesia,69,74,74,0,99,44,93,73,75,61,48,68,48,24,0,59,98,89,80
10,Nauru,76,96,96,0,99,,,96,75,73,71,69,66,33,0,53,99,89,79
11,Marshall Islands,70,96,96,,100,22,87,80,76,59,41,69,64,32,0,64,97,89,80
12,Wake Island,69,7,7,,100,,,78,79,75,71,71,37,68,100,73,79,81,83
13,Northern Mariana Islands and Guam,66,18,18,0,100,,94,45,77,63,48,68,57,57,58,62,96,89,81
14,Taiwan,57,28,30,33,86,33,96,41,87,92,97,8,56,36,16,55,98,91,85
15,Philippines,59,88,75,13,99,55,62,54,43,45,46,28,53,46,40,49,75,77,79
16,Australia,79,58,47,14,97,70,91,58,91,96,100,64,73,87,100,91,94,91,87
17,Papua New Guinea,63,98,98,0,100,18,78,51,100,100,100,8,55,33,12,63,85,82,78
18,Fiji,74,87,87,0,99,36,56,77,52,66,79,97,51,74,96,67,79,78,77
19,Tuvalu,77,98,98,0,99,,,100,100,100,100,30,59,38,17,61,100,89,78
20,South Korea,70,2,36,57,98,81,,,90,95,100,31,73,64,55,64,96,87,78
21,North Korea,53,54,50,14,73,21,,94,92,70,48,0,68,34,0,51,100,88,75
24,Cambodia,57,7,8,10,100,16,52,60,49,75,100,70,43,53,64,60,81,80,78
25,Thailand,73,68,84,92,99,81,66,38,72,86,100,54,51,67,83,70,83,82,81
26,Andaman and Nicobar,59,16,16,,96,,73,52,64,78,92,43,,23,23,65,90,85,81
28,Comoro Islands,63,79,79,,100,,85,27,93,92,92,18,56,30,4,49,88,83,78
29,Mayotte,76,88,86,1,99,,93,36,100,100,100,54,48,74,100,51,96,91,85
30,Glorioso Islands,74,,,,99,,,93,93,95,97,55,,0,0,83,96,91,85
31,Seychelles,86,79,79,0,96,100,100,85,100,84,69,100,60,59,58,71,98,90,83
32,R_union,74,82,80,0,99,,,92,59,71,84,10,82,80,79,72,96,91,86
33,Juan de Nova Island,74,,,,99,,,93,93,95,97,55,,0,0,83,96,91,86
34,Bassas da India,71,,,,99,,,93,,,,,,0,0,74,96,91,85
35,Ile Europa,76,,,,99,,100,94,,,,,,0,0,74,96,90,85
36,Ile Tromelin,73,83,83,,99,,,92,,,,,,0,0,74,93,89,85
37,Mauritius,81,69,68,1,97,95,91,81,73,72,71,100,56,43,29,68,95,90,84
38,British Indian Ocean Territory,86,83,83,,99,,,100,57,77,97,86,47,73,100,75,100,93,87
