"code","Country/EEZ","Index","FIS","FP","MAR","AO","NP","CS","CP","LIV","LE","ECO","TR","ICO","SP","LSP","CW","HAB","BD","SPP","rgn_nam_2013","hdi","year","year","gdp_USD","year","gdp_adj","pop"
1,"Cocos Islands",73,34,34,NA,97,NA,93,53,93,96,100,67,66,33,0,90,98,92,86,"Cocos Islands",0.938,2013,2011,7.69543e+11,2012,37980.46394,NA
2,"Christmas Island",72,31,31,NA,97,NA,93,25,93,96,100,67,50,58,66,90,98,91,85,"Christmas Island",0.938,2013,2011,7.69543e+11,2012,37980.46394,2072
3,"Norfolk Island",80,44,44,NA,97,NA,NA,NA,93,96,100,68,89,70,50,91,100,93,86,"Norfolk Island",0.938,2013,2011,7.69543e+11,2012,37980.46394,2302
4,"Macquarie Island",86,51,51,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,100,100,87,100,93,87,"Macquarie Island",0.938,2013,2011,7.69543e+11,2012,37980.46394,NA
5,"New Caledonia",73,97,74,16,100,100,50,59,100,94,88,68,62,33,5,74,75,77,79,"New Caledonia",0.893,2013,NA,NA,2012,3893.27534025,254024
6,"Vanuatu",73,92,91,0,100,61,63,31,100,100,100,99,56,29,2,71,84,82,81,"Vanuatu",0.626,2013,2011,760039790.3,2012,4605.511471,241778
7,"Solomon Islands",68,98,98,0,100,62,49,58,100,100,100,28,54,36,18,71,75,78,81,"Solomon Islands",0.53,2013,2011,838022104.9,2012,3126.67223,537997
8,"Palau",67,96,96,2,98,0,64,54,65,83,100,71,60,30,0,82,98,91,83,"Palau",0.791,2013,2011,165517314.2,2012,19030.76865,20606
9,"Micronesia",69,74,74,0,99,44,93,73,75,61,48,68,48,24,0,59,98,89,80,"Micronesia Federated States of",0.645,2013,2011,310287519.3,2012,3824.075166,103424
10,"Nauru",76,96,96,0,99,NA,NA,96,75,73,71,69,66,33,0,53,99,89,79,"Nauru",NA,NA,2011,204048754.525,2012,8438.753764,9378
11,"Marshall Islands",70,96,96,NA,100,22,87,80,76,59,41,69,64,32,0,64,97,89,80,"Marshall Islands",NA,NA,2011,173700000,2012,8438.753764,52495
12,"Wake Island",69,7,7,NA,100,NA,NA,78,79,75,71,71,37,68,100,73,79,81,83,"Wake Island",0.937,2013,2011,204048754.525,2012,8438.753764,NA
13,"Northern Mariana Islands and Guam",66,18,18,0,100,NA,94,45,77,63,48,68,57,57,58,62,96,89,81,"Northern Mariana Islands and Guam",0.937,2013,2011,204048754.525,2012,8438.753764,160858
14,"Taiwan",57,28,30,33,86,33,96,41,87,92,97,8,56,36,16,55,98,91,85,"Taiwan",NA,NA,2011,2917388088783,2012,42973.8574424,23340136
15,"Philippines",59,88,75,13,99,55,62,54,43,45,46,28,53,46,40,49,75,77,79,"Philippines",0.654,2013,2011,2.24771e+11,2012,4412.503572,95053437
16,"Australia",79,58,47,14,97,70,91,58,91,96,100,64,73,87,100,91,94,91,87,"Australia",0.938,2013,2011,1.37938e+12,2012,44461.51991,22323900
17,"Papua New Guinea",63,98,98,0,100,18,78,51,100,100,100,8,55,33,12,63,85,82,78,"Papua New Guinea",0.466,2013,2011,12937183216,2012,2898.123835,7012977
18,"Fiji",74,87,87,0,99,36,56,77,52,66,79,97,51,74,96,67,79,78,77,"Fiji",0.702,2013,2011,3818121194,2012,4942.793825,867921
19,"Tuvalu",77,98,98,0,99,NA,NA,100,100,100,100,30,59,38,17,61,100,89,78,"Tuvalu",NA,NA,2011,35804372.38,2012,4771.6306925,9844
20,"South Korea",70,2,36,57,98,81,NA,NA,90,95,100,31,73,64,55,64,96,87,78,"Korea Republic of",0.909,2013,2011,1.11625e+12,2012,30721.77526,49779000
21,"North Korea",53,54,50,14,73,21,NA,94,92,70,48,0,68,34,0,51,100,88,75,"North Korea",NA,NA,2011,2917388088783,2012,42973.8574424,24631291
24,"Cambodia",57,7,8,10,100,16,52,60,49,75,100,70,43,53,64,60,81,80,78,"Cambodia",0.543,2013,2011,12829541141,2012,2494.393483,14605862
25,"Thailand",73,68,84,92,99,81,66,38,72,86,100,54,51,67,83,70,83,82,81,"Thailand",0.69,2013,2011,3.45672e+11,2012,9814.684188,66576332
26,"Andaman and Nicobar",59,16,16,NA,96,NA,73,52,64,78,92,43,NA,23,23,65,90,85,81,"Andaman and Nicobar",0.554,2013,2011,233195037425.222,2012,17701.6880761111,380500
28,"Comoro Islands",63,79,79,NA,100,NA,85,27,93,92,92,18,56,30,4,49,88,83,78,"Comoros",0.429,2013,2011,610372697.4,2012,1229.741261,700216
29,"Mayotte",76,88,86,1,99,NA,93,36,100,100,100,54,48,74,100,51,96,91,85,"Mayotte",0.893,2013,2011,10758587163.9159,2012,5844.43926387778,NA
30,"Glorioso Islands",74,NA,NA,NA,99,NA,NA,93,93,95,97,55,NA,0,0,83,96,91,85,"Glorioso Islands",0.893,2013,2011,10758587163.9159,2012,5844.43926387778,NA
31,"Seychelles",86,79,79,0,96,100,100,85,100,84,69,100,60,59,58,71,98,90,83,"Seychelles",0.806,2013,2011,1059593501,2012,27007.80314,87441
32,"R_union",74,82,80,0,99,NA,NA,92,59,71,84,10,82,80,79,72,96,91,86,"Reunion",0.893,2013,2011,10758587163.9159,2012,5844.43926387778,839500
33,"Juan de Nova Island",74,NA,NA,NA,99,NA,NA,93,93,95,97,55,NA,0,0,83,96,91,86,"Juan de Nova Island",0.893,2013,2011,10758587163.9159,2012,5844.43926387778,NA
34,"Bassas da India",71,NA,NA,NA,99,NA,NA,93,NA,NA,NA,NA,NA,0,0,74,96,91,85,"Bassas da India",0.893,2013,2011,10758587163.9159,2012,5844.43926387778,NA
35,"Ile Europa",76,NA,NA,NA,99,NA,100,94,NA,NA,NA,NA,NA,0,0,74,96,90,85,"Ile Europa",0.893,2013,2011,10758587163.9159,2012,5844.43926387778,NA
36,"Ile Tromelin",73,83,83,NA,99,NA,NA,92,NA,NA,NA,NA,NA,0,0,74,93,89,85,"Ile Tromelin",0.893,2013,2011,10758587163.9159,2012,5844.43926387778,NA
37,"Mauritius",81,69,68,1,97,95,91,81,73,72,71,100,56,43,29,68,95,90,84,"Mauritius",0.737,2013,2011,11259856301,2012,15648.84324,1286051
38,"British Indian Ocean Territory",86,83,83,NA,99,NA,NA,100,57,77,97,86,47,73,100,75,100,93,87,"British Indian Ocean Territory",0.875,2013,2011,442699404440.424,2012,6252.31983706548,3000
39,"Maldives",66,80,80,NA,98,7,69,63,100,70,41,95,56,28,0,61,91,85,80,"Maldives",0.688,2013,2011,2050135788,2012,9071.789467,331964
40,"Sri Lanka",56,35,32,0,99,43,76,29,49,68,87,30,52,37,23,59,97,89,81,"Sri Lanka",0.715,2013,2011,59172135299,2012,6247.213906,20869000
41,"Mozambique",71,76,75,0,100,56,96,69,100,100,100,25,55,47,38,57,93,87,81,"Mozambique",0.327,2013,2011,12762040281,2012,1023.859045,24581367
42,"Madagascar",63,55,53,1,100,92,65,40,63,81,100,12,53,45,37,61,83,80,78,"Madagascar",0.483,2013,2011,9911781297,2012,978.3418347,21678934
43,"Kenya",67,63,63,0,100,66,81,58,98,99,100,14,56,56,57,56,82,82,81,"Kenya",0.519,2013,2011,33620684016,2012,1760.513417,42027891
44,"Somalia",54,75,75,NA,95,36,46,35,93,94,95,5,53,27,0,57,63,69,75,"Somalia",NA,NA,NA,NA,2012,5844.43926387778,9907903
45,"Eritrea",58,68,68,NA,100,63,85,87,0,3,7,5,47,23,0,61,92,84,76,"Eritrea",0.351,2013,2011,2608715447,2012,566.2541912,5932852
46,"Djibouti",70,79,79,NA,100,NA,NA,98,93,97,100,5,67,35,4,61,100,90,80,"Djibouti",0.445,2013,2011,1120075886.84332,2012,2783.849266,846646
47,"Yemen",63,69,69,NA,99,89,68,31,100,98,96,14,54,27,0,53,90,84,77,"Yemen",0.458,2013,2011,33757503322,2012,2488.858604,23304206
48,"Oman",76,84,83,0,91,76,NA,99,100,100,100,29,54,49,44,62,98,90,82,"Oman",0.731,2013,2011,71781535039,2012,29527.6565960003,3024774
49,"Sudan",58,68,68,NA,98,30,82,30,48,74,99,12,50,25,0,72,95,86,76,"Sudan",0.414,2013,2011,64053368930,2012,2195.285191,36430923
50,"Saudi Arabia",58,72,65,19,87,11,81,29,100,100,100,19,50,38,27,62,94,87,81,"Saudi Arabia",0.782,2013,2011,5.76824e+11,2012,24826.4600633334,27761728
51,"Kuwait",64,39,39,0,88,NA,87,24,100,100,100,20,41,60,80,64,97,89,82,"Kuwait",0.79,2013,2011,1.7659e+11,2012,52410.348416667,3124705
52,"Bahrain",58,75,75,0,93,0,86,39,88,83,77,48,37,19,0,55,90,85,80,"Bahrain",0.796,2013,2011,24796735525.8003,2012,25340.630094,1292764
53,"Pakistan",59,62,62,0,99,100,30,30,69,85,100,17,65,51,37,52,58,68,78,"Pakistan",0.515,2013,2011,2.10216e+11,2012,2890.558391,176166353
54,"United Arab Emirates",78,77,77,0,92,82,93,33,100,100,100,59,59,71,82,79,98,91,85,"United Arab Emirates",0.818,2013,2011,3.60245e+11,2012,38858.781031332,8925096
55,"Azores",71,43,43,NA,97,NA,NA,NA,71,85,100,76,0,44,87,67,95,86,78,"Azores",0.816,2013,2011,435431364175.9,2012,22384.4458109,245746
56,"Cape Verde",81,72,72,NA,99,NA,NA,NA,100,100,100,100,68,34,0,69,99,90,81,"Cape Verde",0.586,2013,2011,1901136230,2012,4430.121194,490556
57,"Madeira",74,60,60,NA,97,NA,NA,NA,70,83,95,76,0,48,95,64,95,88,81,"Madeira",0.816,2013,2011,435431364175.9,2012,22384.4458109,267785
58,"Canary Islands",68,73,73,NA,97,NA,54,54,71,60,49,76,0,48,97,65,76,79,83,"Canary Islands",0.885,2013,2011,435431364175.9,2012,22384.4458109,2117519
59,"Belgium",83,64,64,NA,95,99,100,100,64,82,100,32,51,75,100,89,99,93,87,"Belgium",0.897,2013,2011,5.13661e+11,2012,38884.46328,11047744
60,"Gibraltar",78,84,84,NA,97,NA,NA,NA,100,76,51,77,52,76,100,47,100,89,78,"Gibraltar",0.875,2013,2011,435431364175.9,2012,22384.4458109,29752
61,"Tunisia",68,58,54,2,99,55,NA,NA,67,84,100,54,64,33,1,75,97,87,78,"Tunisia",0.712,2013,2011,46434616144,2012,9794.587164,10673800
62,"Morocco",78,79,79,0,99,70,NA,NA,100,100,100,82,56,40,24,73,90,84,78,"Morocco",0.591,2013,2011,1.00221e+11,2012,5192.507986,32059424
63,"Western Sahara",76,73,73,NA,98,NA,NA,NA,94,97,100,37,58,56,54,85,99,87,75,"Western Sahara",0.591,2013,2011,120753708344.698,2012,8970.254728877,NA
64,"Mauritania",75,65,65,NA,100,100,NA,NA,96,94,91,3,61,80,100,71,97,90,83,"Mauritania",0.467,2013,2011,4212959622,2012,2603.180994,3702763
65,"Gambia",71,67,67,0,100,NA,61,61,100,100,100,56,74,58,43,60,76,77,78,"Gambia",0.439,2013,2011,898282865.9,2012,1948.12044,1734966
66,"Senegal",55,72,72,0,100,5,33,5,100,100,99,20,59,79,100,67,51,66,80,"Senegal",0.47,2013,2011,14291456855,2012,1943.963752,13330737
67,"Libya",52,61,59,0,93,5,NA,NA,36,67,98,9,47,23,0,77,100,87,75,"Libya",0.769,2013,2011,95601264994.1895,2012,21400.522177262,6103233
68,"Malta",83,78,65,17,97,NA,90,90,78,89,100,100,49,65,81,63,94,87,80,"Malta",0.847,2013,2011,8886572143,2012,29013.45675,416676
69,"Latvia",82,76,76,NA,98,91,54,100,81,91,100,36,NA,100,100,83,87,91,94,"Latvia",0.814,2013,2011,28252498853,2012,21005.37895,2058184
70,"Estonia",80,75,75,0,98,30,100,100,51,76,100,46,NA,100,100,81,100,97,95,"Estonia",0.846,2013,2011,22154722222,2012,23024.4135,1339928
71,"Bulgaria",78,89,89,5,98,83,NA,NA,43,72,100,37,53,76,100,74,100,92,85,"Bulgaria",0.782,2013,2011,53514380731,2012,15932.62832,7348328
72,"Romania",66,61,61,NA,98,15,NA,NA,80,90,100,20,53,77,100,71,100,94,87,"Romania",0.786,2013,2011,1.89776e+11,2012,16517.64609,21384832
73,"Russia",68,31,31,3,98,3,100,94,86,93,100,13,72,83,95,71,100,93,86,"Russian Federation",0.788,2013,2011,1.85777e+12,2012,23549.08698,142960000
74,"Georgia",78,95,95,NA,99,100,NA,NA,99,100,100,30,52,47,41,62,100,93,86,"Georgia",0.745,2013,2011,14366527680,2012,5901.532266,4483400
75,"Ukraine",73,91,91,0,99,56,84,84,60,80,100,17,52,59,66,73,94,89,84,"Ukraine",0.74,2013,2011,1.65245e+11,2012,7418.463811,45706100
76,"Turkey",66,65,56,10,98,69,NA,NA,100,100,100,24,48,32,17,59,89,87,85,"Turkey",0.722,2013,2011,7.74983e+11,2012,17651.43069,73058638
77,"Syria",71,50,50,NA,94,82,NA,NA,100,100,100,68,46,23,0,59,96,91,86,"Syrian Arab Republic",0.648,2013,2011,61555337151,2012,5435.559252,21961676
78,"Lebanon",74,47,NA,NA,98,100,NA,NA,66,83,100,69,45,23,0,60,90,88,87,"Lebanon",0.745,2013,2011,40094328358,2012,14609.92986,4382790
79,"Israel",70,52,35,1,97,45,91,91,100,100,100,30,42,41,41,81,95,92,89,"Israel",0.9,2013,2011,2.42929e+11,2012,28354.6694413335,7765900
80,"Greece",76,64,53,32,97,54,NA,NA,62,64,66,96,60,74,88,75,96,91,85,"Greece",0.86,2013,2011,2.89627e+11,2012,24666.54262,11299976
81,"Cyprus",62,NA,NA,14,97,0,NA,NA,64,67,69,61,47,45,42,72,97,93,90,"Cyprus",0.848,2013,2011,24689602446,2012,30596.72218,1116513
82,"Albania",62,62,41,4,99,4,NA,NA,100,100,100,41,47,62,77,58,100,90,80,"Albania",0.749,2013,2011,12959563902,2012,9443.269952,3153883
84,"Algeria",69,77,77,0,99,NA,NA,NA,100,100,100,20,48,25,3,77,89,83,76,"Algeria",0.713,2013,2011,1.88681e+11,2012,8515.350649,37762962
85,"Ascension",65,45,45,NA,97,NA,NA,NA,86,87,88,48,NA,0,0,88,99,91,83,"Ascension",0.875,2013,2011,366386484908.522,2012,36813.330213,NA
86,"Saint Helena",72,67,67,NA,97,NA,NA,NA,61,43,25,48,69,71,72,87,99,92,85,"Saint Helena",0.875,2013,2011,366386484908.522,2012,36813.330213,NA
88,"Tristan da Cunha",63,34,34,NA,97,NA,NA,NA,86,87,88,48,NA,0,0,88,99,89,79,"Tristan da Cunha",0.875,2013,2011,366386484908.522,2012,36813.330213,NA
89,"South Georgia and the South Sandwich Islands",77,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,88,100,100,95,92,89,"South Georgia and the South Sandwich Islands",0.875,2013,2011,NA,2012,NA,NA
90,"Prince Edward Islands",94,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,99,89,80,"Prince Edward Islands",0.629,2013,2011,NA,2012,NA,NA
91,"Crozet Islands",86,86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,76,100,100,NA,83,83,"Crozet Islands",0.893,2013,2011,NA,2012,NA,NA
92,"Amsterdam Island and Saint Paul Island",70,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,76,100,100,100,91,81,"Amsterdam Island and Saint Paul Island",0.893,2013,2011,NA,2012,NA,NA
93,"Kerguelen Islands",87,79,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,76,100,100,100,93,85,"Kerguelen Islands",0.893,2013,2011,NA,2012,NA,NA
94,"Heard and McDonald Islands",93,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,94,87,"Heard and McDonald Islands",0.938,2013,2011,NA,2012,NA,NA
95,"Falkland Islands",63,40,40,0,97,NA,NA,NA,61,39,18,48,76,38,0,89,99,91,83,"Falkland Islands",0.875,2013,2011,366386484908.522,2012,36813.330213,2932
96,"Sierra Leone",50,76,76,NA,100,NA,23,6,54,77,99,8,54,32,10,62,51,65,79,"Sierra Leone",0.359,2013,2011,2973035097,2012,1359.055069,5865491
97,"Liberia",54,53,53,NA,100,NA,23,23,100,100,100,27,51,25,0,66,58,69,80,"Liberia",0.388,2013,2011,1545461660,2012,654.725108,4079697
98,"Togo",72,82,82,NA,100,NA,99,99,100,100,100,6,59,29,0,46,100,88,77,"Togo",0.459,2013,2011,3620169607,2012,1050.967666,6472304
99,"Benin",67,59,59,NA,100,NA,100,100,34,67,100,8,61,30,0,45,100,90,80,"Benin",0.436,2013,2011,7294900431,2012,1582.839635,9779795
100,"R_publique du Congo",60,72,72,NA,99,NA,28,NA,57,77,97,5,61,73,85,59,55,67,80,"Congo",0.534,2013,2011,14425606793,2012,4426.074943,4225359
101,"Namibia",62,35,35,16,99,22,NA,NA,100,76,52,24,58,79,100,70,97,89,80,"Namibia",0.608,2013,2011,12510721241,2012,7487.699727,2217618
102,"South Africa",67,49,49,1,99,51,81,23,100,100,100,43,60,78,95,66,90,85,80,"South Africa",0.629,2013,2011,4.08237e+11,2012,11440.38014,50586757
103,"Sao Tome and Principe",68,54,54,NA,100,NA,NA,NA,100,100,100,47,52,26,0,57,100,90,80,"Sao Tome and Principe",0.525,2013,2011,248286778.2,2012,1852.22421,183177
104,"Equatorial Guinea",61,50,50,NA,91,NA,85,84,7,13,19,13,56,68,79,63,93,84,76,"Equatorial Guinea",0.554,2013,2011,19789801404,2012,30233.01688,715996
105,"Bouvet Island",54,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,NA,88,88,"Bouvet Island",0.955,2013,2011,NA,2012,NA,NA
106,"Ghana",65,79,79,NA,99,100,69,18,89,95,100,11,59,36,12,61,76,78,80,"Ghana",0.558,2013,2011,39199656051,2012,2047.718551,24820706
107,"Clipperton Island",66,77,77,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,63,100,90,79,"Clipperton Island",0.893,2013,2011,164891599842.25,2012,9327.33654450002,NA
108,"Bermuda",69,18,18,NA,94,NA,NA,55,65,60,55,100,67,82,97,60,83,81,79,"Bermuda",0.875,2013,2011,6555894266.66663,2012,15935.888856132,64564
110,"Bahamas",68,81,81,0,98,21,68,36,70,83,96,100,58,31,3,78,77,83,88,"Bahamas",0.794,2013,2011,7787514000,2012,31629.18858,366331
111,"Turks and Caicos Islands",70,53,53,0,98,12,80,35,94,95,95,100,61,69,76,74,87,87,88,"Turks and Caicos Islands",0.875,2013,2011,18763481397.7127,2012,15935.888856132,31726
112,"Cuba",59,20,17,2,99,11,100,31,97,92,88,22,54,70,86,69,80,83,87,"Cuba",0.78,2013,2011,73977446428.5703,2012,15935.888856132,11276053
113,"Cayman Islands",71,8,8,NA,98,NA,92,56,100,100,100,51,60,70,80,78,87,88,90,"Cayman Islands",0.875,2013,NA,NA,2012,15935.888856132,56601
114,"Haiti",50,1,1,NA,100,69,61,21,100,97,94,5,52,27,3,48,66,74,82,"Haiti",0.456,2013,2011,7346156703,2012,1227.990644,10032864
115,"Dominican Republic",65,19,17,0,99,75,58,55,66,82,99,39,56,78,100,62,81,83,85,"Dominican Republic",0.702,2013,2011,55611245616,2012,10203.61241,10147598
116,"Puerto Rico and Virgin Islands of the United States",64,27,27,0,97,NA,100,37,54,73,92,23,57,62,66,68,95,90,85,"Puerto Rico and Virgin Islands of the United States",0.937,2013,2011,101245351190.066,2012,15935.888856132,3694093
117,"British Virgin Islands",67,10,10,NA,98,NA,74,48,68,75,82,100,59,39,19,76,82,84,86,"British Virgin Islands",0.875,2013,2011,18763481397.7127,2012,15935.888856132,27800
118,"Anguilla",64,3,3,NA,98,NA,74,39,38,62,86,100,76,38,0,76,82,84,86,"Anguilla",0.875,2013,2011,18763481397.7127,2012,15935.888856132,NA
119,"Saint Kitts and Nevis",59,12,12,0,98,NA,100,45,35,59,82,31,57,29,0,67,95,93,90,"Saint Kitts and Nevis",0.745,2013,2011,697278707.8,2012,18034.14597,52971
120,"Antigua and Barbuda",69,20,20,NA,98,NA,100,28,100,94,88,62,62,59,55,71,87,86,84,"Antigua and Barbuda",0.76,2013,2011,1118317379,2012,19963.92125,88152
121,"Montserrat",70,1,1,NA,98,NA,74,73,96,91,86,100,59,30,0,72,93,93,93,"Montserrat",0.875,2013,2011,18763481397.7127,2012,15935.888856132,5164
122,"Saint Lucia",54,11,11,NA,99,0,27,68,48,60,73,100,61,32,3,61,70,81,91,"Saint Lucia",0.725,2013,2011,1259078382,2012,11146.19064,179271
