code,Country/EEZ,Index,FIS,FP,MAR,AO,NP,CS,CP,LIV,LE,ECO,TR,ICO,SP,LSP,CW,HAB,BD,SPP
,Global (area-weighted average),0.9,0.3,0.6,0.2,0.1,-1.1,0,-0.1,2.1,4.3,6.5,0,0,0.4,0.7,3.9,0.1,0,-0.1
1,Cocos Islands,-0.2,0,0,,0.1,,0,0,3.8,2,0.3,-0.2,0,0,0,-3.7,0,-0.2,-0.4
2,Christmas Island,-0.2,0,0,,0.1,,0,0,3.8,2,0.3,-0.3,-0.1,-0.2,-0.2,-3.9,0,-0.2,-0.4
3,Norfolk Island,0.1,0.6,0.6,,0.1,,,,3.8,2,0.3,-0.3,0.7,0.3,-0.1,-2.6,0,0.4,0.7
4,Macquarie Island,-0.2,4.5,4.5,,0.1,,,,,,,,,0,0,-5.5,0,0,0
5,New Caledonia,0.3,1,2.6,-2.3,0.1,0.3,0,-0.1,0,1.4,2.8,-0.4,-0.1,-0.1,0,-0.3,0,-0.1,-0.2
6,Vanuatu,0.5,0,0,0.1,0,12.4,-0.1,0,0,0,0,-0.7,-0.1,0,0,-5.8,-0.1,-0.2,-0.4
7,Solomon Islands,0.4,0.5,0.5,0,0,12.2,0.1,0.1,0,0,0,-0.1,0,-2.9,-5.7,-5.7,0.1,0,0
8,Palau,-4.6,0.5,1,-1,0,-55,-0.1,0,9.5,8.7,7.9,0,0,0,0,-0.7,0,-0.2,-0.3
9,Micronesia,3.9,1,1,0,0.1,35.3,0,0,3.7,3.1,2.5,-0.1,-0.1,0,0,-0.2,0,-0.2,-0.5
10,Nauru,0.8,0.5,0.5,0,0,,,0,1.7,7.3,13,-0.1,-0.2,-0.1,0,-0.6,0,-0.2,-0.5
11,Marshall Islands,-0.6,0.5,0.5,,0,-8.9,0,0.1,3.2,2.8,2.6,0,0,0.1,0,-0.4,0,-0.1,-0.2
12,Wake Island,0.7,0,0,,0,,,0,2.5,6,9.5,0,0,0,0,-0.7,0,-0.2,-0.4
13,Northern Mariana Islands and Guam,1,0,0,-0.1,0,,0.1,0,-5.4,9.1,23.7,0.2,0.1,0.1,0,-0.2,0,-0.2,-0.3
14,Taiwan,-0.7,0.1,0.2,1.2,0.4,-4.9,0,-0.1,0,2.2,4.3,0.1,0,0,0,-4.6,0,-0.1,-0.1
15,Philippines,3.2,-2.8,-3.4,0,0,9.3,0.2,0.1,-8.5,-1.6,5.2,0.1,0.2,0.1,0.1,26.8,0.2,0.1,0.1
16,Australia,1.2,0.1,1.2,0.2,0.2,6,0,0,4.5,2.3,0,0.1,0.1,0.1,0,2.2,0,0,-0.1
17,Papua New Guinea,-1.1,1,1,0,0,-8.1,0,0,0,2.7,5.4,-0.1,0,0,0,-6.2,0,-0.1,-0.2
18,Fiji,-0.3,-1.9,-1.8,0,0,-2.6,0.3,0.3,0.5,6.1,11.5,-0.2,0.2,-1,-2.1,-4.2,0.3,0.3,0.1
