"code","Country/EEZ","Index","FIS","FP","MAR","AO","NP","CS","CP","LIV","LE","ECO","TR","ICO","SP","LSP","CW","HAB","BD","SPP"
NA,"Global (area-weighted average)",70,59,57,26,97,59,74,69,75,78,81,45,60,60,60,68,88,85,83
1,"Cocos Islands",73,34,34,NA,97,NA,93,53,89,94,100,68,66,33,0,94,98,92,87
2,"Christmas Island",72,31,31,NA,97,NA,93,25,89,94,100,68,50,58,66,94,98,91,85
3,"Norfolk Island",80,44,44,NA,97,NA,NA,NA,89,94,100,68,89,70,51,94,100,92,85
4,"Macquarie Island",86,47,47,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,100,100,92,100,93,87
5,"New Caledonia",72,96,71,18,100,100,50,59,100,92,85,68,62,33,5,74,75,77,79
6,"Vanuatu",72,92,91,0,100,49,64,32,100,100,100,100,56,29,2,77,84,82,81
7,"Solomon Islands",67,98,98,0,100,50,49,58,100,100,100,28,54,39,23,76,75,78,81
8,"Palau",71,96,95,3,98,55,64,54,55,74,92,71,60,30,0,82,98,91,84
9,"Micronesia",65,73,73,0,99,8,93,74,71,58,45,68,48,24,0,59,98,89,81
10,"Nauru",75,96,96,0,99,NA,NA,96,73,66,58,69,66,33,0,53,99,89,79
11,"Marshall Islands",70,96,96,NA,100,31,87,80,73,56,38,68,64,32,0,64,97,89,80
12,"Wake Island",69,7,7,NA,100,NA,NA,78,76,69,61,71,37,68,100,74,79,81,83
13,"Northern Mariana Islands and Guam",65,18,18,0,100,NA,93,45,83,53,24,68,57,57,57,62,96,89,81
14,"Taiwan",57,28,29,32,86,38,96,41,87,90,93,8,56,36,16,60,98,91,85
15,"Philippines",56,91,78,13,99,46,62,54,52,46,41,28,53,46,39,22,75,77,79
16,"Australia",78,57,45,14,97,63,91,58,87,93,100,63,73,87,100,88,94,91,87
17,"Papua New Guinea",64,97,97,0,100,26,78,51,100,97,95,8,55,33,12,69,85,82,79
18,"Fiji",74,89,89,0,99,38,56,77,52,60,68,97,51,75,98,71,79,78,77
19,"Tuvalu",74,98,98,0,99,NA,NA,100,100,65,29,31,60,38,17,70,100,90,79
20,"South Korea",66,2,35,56,97,68,NA,NA,87,94,100,31,73,64,55,53,96,87,78
21,"North Korea",55,53,49,14,72,30,NA,95,89,72,55,0,68,34,0,52,100,88,75
24,"Cambodia",57,7,7,9,100,4,51,59,50,74,98,70,43,53,64,69,81,80,78
25,"Thailand",72,70,90,99,99,81,66,38,46,73,100,54,50,67,83,70,83,82,80
26,"Andaman and Nicobar",57,16,16,NA,96,NA,73,52,66,71,77,43,NA,23,23,56,90,85,81
28,"Comoro Islands",63,78,78,NA,100,NA,85,27,96,92,88,18,56,30,4,55,88,83,78
29,"Mayotte",77,87,85,1,99,NA,93,36,100,100,100,54,49,74,100,60,96,91,86
30,"Glorioso Islands",75,NA,NA,NA,99,NA,NA,93,95,96,97,56,NA,0,0,94,96,91,85
31,"Seychelles",88,77,77,0,96,100,100,85,100,81,63,100,61,60,59,94,98,91,84
32,"R_union",76,80,77,0,99,NA,NA,92,60,67,73,10,82,84,86,87,96,91,86
33,"Juan de Nova Island",76,NA,NA,NA,99,NA,NA,93,95,96,97,56,NA,0,0,93,96,91,86
34,"Bassas da India",75,NA,NA,NA,99,NA,NA,93,NA,NA,NA,NA,NA,0,0,93,96,91,86
35,"Ile Europa",80,NA,NA,NA,99,NA,100,94,NA,NA,NA,NA,NA,0,0,94,96,91,85
36,"Ile Tromelin",76,81,81,NA,99,NA,NA,93,NA,NA,NA,NA,NA,0,0,94,93,89,86
37,"Mauritius",76,68,67,1,97,38,91,81,70,69,68,100,56,43,30,80,95,90,85
38,"British Indian Ocean Territory",85,81,81,NA,99,NA,NA,100,51,73,95,86,47,74,100,76,100,94,87
39,"Maldives",66,78,78,NA,98,8,70,63,100,68,36,95,56,28,0,69,91,86,81
40,"Sri Lanka",56,35,31,0,99,50,76,29,49,55,62,30,52,37,23,68,97,89,81
41,"Mozambique",73,76,75,0,100,66,96,69,100,100,100,25,56,47,38,64,93,87,81
42,"Madagascar",65,55,53,1,100,91,65,40,80,90,100,12,53,45,37,73,83,81,79
43,"Kenya",70,63,63,0,100,72,81,58,98,99,100,14,56,57,58,71,82,82,81
44,"Somalia",61,75,75,NA,95,100,46,35,95,92,89,5,53,27,0,68,63,69,75
45,"Eritrea",63,69,69,NA,100,100,85,87,0,3,7,5,47,24,0,78,92,84,76
46,"Djibouti",72,79,79,NA,100,NA,NA,98,95,98,100,5,67,35,4,74,100,90,80
47,"Yemen",60,69,69,NA,99,54,69,31,100,92,83,14,54,27,0,56,90,84,78
48,"Oman",78,84,84,0,90,89,NA,99,100,100,100,29,54,50,45,72,98,90,82
49,"Sudan",58,68,68,NA,98,44,82,30,45,72,99,12,49,25,0,64,95,86,76
50,"Saudi Arabia",61,72,66,20,88,25,82,29,100,100,100,20,50,39,27,76,95,88,81
51,"Kuwait",65,39,39,0,88,NA,87,24,100,100,100,20,41,60,80,75,97,90,82
52,"Bahrain",59,75,75,0,93,0,87,40,76,73,70,49,38,19,0,68,90,85,81
53,"Pakistan",60,63,63,0,99,100,30,30,77,88,99,17,66,51,37,53,58,68,79
54,"United Arab Emirates",77,77,77,0,91,NA,93,33,100,100,100,59,59,74,88,79,98,91,85
55,"Azores",73,43,43,NA,97,NA,NA,NA,70,85,100,76,0,44,87,79,95,87,79
56,"Cape Verde",79,75,75,NA,99,NA,NA,NA,100,98,97,100,67,34,0,58,99,90,81
57,"Madeira",76,61,61,NA,97,NA,NA,NA,70,82,95,76,0,48,95,76,95,88,81
58,"Canary Islands",69,75,75,NA,97,NA,54,54,70,60,49,76,0,48,97,77,76,79,83
59,"Belgium",82,61,61,NA,95,99,100,100,38,69,100,32,51,75,100,93,99,93,87
60,"Gibraltar",79,84,84,NA,97,NA,NA,NA,100,76,51,77,52,76,100,57,100,89,78
61,"Tunisia",68,57,54,2,99,61,NA,NA,68,84,100,54,64,33,1,76,97,87,77
62,"Morocco",79,80,80,0,99,71,NA,NA,100,100,100,82,56,40,24,75,90,84,78
63,"Western Sahara",77,75,75,NA,98,NA,NA,NA,96,98,99,37,58,56,54,87,99,88,76
64,"Mauritania",73,67,67,NA,100,100,NA,NA,98,94,91,3,61,80,100,54,97,90,83
65,"Gambia",70,69,68,0,100,NA,61,60,100,100,100,56,74,59,44,51,76,77,79
66,"Senegal",61,75,75,0,100,88,33,5,100,93,85,20,59,79,100,55,51,66,80
67,"Libya",52,62,61,0,98,0,NA,NA,36,63,89,9,47,24,0,78,100,88,76
68,"Malta",85,79,66,18,96,NA,91,90,79,88,97,100,49,68,86,77,94,87,81
69,"Latvia",78,74,74,NA,98,72,54,100,57,79,100,36,NA,100,100,80,87,91,94
70,"Estonia",84,74,74,0,98,83,100,100,50,64,78,45,NA,100,100,78,100,97,95
71,"Bulgaria",69,88,56,5,98,39,NA,NA,43,72,100,37,53,77,100,79,100,92,85
72,"Romania",66,60,60,NA,98,6,NA,NA,83,92,100,20,53,77,100,79,100,94,87
73,"Russia",69,31,31,2,98,2,100,95,75,88,100,13,73,84,95,87,100,92,85
74,"Georgia",77,94,94,NA,99,100,NA,NA,99,82,64,30,52,47,41,69,100,93,85
75,"Ukraine",78,90,88,0,99,100,85,84,60,80,100,17,52,59,66,76,94,89,84
76,"Turkey",70,66,57,10,98,79,NA,NA,100,100,100,24,48,33,17,81,89,87,85
77,"Syria",72,51,51,NA,94,86,NA,NA,100,100,100,68,46,23,0,65,97,92,87
78,"Lebanon",68,48,48,NA,98,NA,NA,NA,68,84,100,69,45,23,0,64,91,89,87
79,"Israel",71,52,36,1,97,54,91,91,100,100,100,30,42,42,43,77,95,92,89
80,"Greece",77,65,54,32,97,62,NA,NA,64,68,71,96,60,74,88,76,96,91,86
81,"Cyprus",58,47,14,13,97,0,NA,NA,69,69,69,61,47,50,53,79,97,93,90
82,"Albania",65,63,42,4,99,16,NA,NA,100,100,100,41,47,62,78,68,100,90,81
84,"Algeria",67,77,77,0,99,NA,NA,NA,100,100,100,20,48,25,3,66,89,83,76
85,"Ascension",65,45,45,NA,97,NA,NA,NA,90,86,83,48,NA,0,0,84,99,91,83
86,"Saint Helena",73,64,64,NA,97,NA,NA,NA,84,56,28,48,69,71,72,83,99,92,86
88,"Tristan da Cunha",63,35,35,NA,97,NA,NA,NA,90,86,83,47,NA,0,0,85,99,89,79
89,"South Georgia and the South Sandwich Islands",65,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,41,5,100,93,90,88
90,"Prince Edward Islands",94,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,99,89,80
91,"Crozet Islands",86,87,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,76,100,100,NA,83,83
92,"Amsterdam Island and Saint Paul Island",70,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,76,100,100,100,91,82
93,"Kerguelen Islands",89,86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,76,100,100,100,93,85
94,"Heard and McDonald Islands",93,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,94,87
95,"Falkland Islands",63,44,44,0,97,NA,NA,NA,62,40,18,48,76,38,0,85,99,91,83
96,"Sierra Leone",49,79,79,NA,100,NA,24,6,55,77,99,8,54,27,0,52,51,65,80
97,"Liberia",53,56,56,NA,100,NA,23,23,100,100,100,27,51,25,0,56,58,69,80
98,"Togo",72,83,83,NA,100,NA,99,99,100,100,99,6,58,29,0,40,100,88,77
99,"Benin",66,62,62,NA,100,NA,100,100,33,66,100,8,61,30,0,39,100,90,80
100,"R_publique du Congo",59,75,75,NA,99,NA,28,NA,57,65,73,5,61,73,85,60,55,68,81
101,"Namibia",61,35,35,18,99,31,NA,NA,100,65,30,24,58,79,100,66,97,89,80
102,"South Africa",64,49,49,1,99,39,81,23,100,87,74,43,60,77,95,55,90,85,80
103,"Sao Tome and Principe",68,57,57,NA,100,NA,NA,NA,100,100,100,47,52,26,0,57,100,90,81
104,"Equatorial Guinea",61,54,54,NA,90,NA,85,84,7,13,19,13,56,68,79,62,93,84,76
105,"Bouvet Island",55,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,NA,87,87
106,"Ghana",61,80,80,NA,99,75,69,18,89,91,92,11,59,35,12,50,76,78,80
107,"Clipperton Island",67,76,76,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,69,100,90,80
108,"Bermuda",70,18,18,NA,94,NA,NA,55,65,68,71,100,67,82,97,66,83,81,79
110,"Bahamas",69,79,79,0,98,47,68,36,56,75,94,100,58,31,3,77,77,83,88
111,"Turks and Caicos Islands",69,55,55,0,98,2,80,35,93,93,93,100,61,69,76,72,87,88,88
112,"Cuba",59,20,17,2,98,10,100,31,97,88,79,22,54,70,86,67,80,83,87
113,"Cayman Islands",70,8,8,NA,98,NA,92,57,100,100,100,51,60,70,79,71,87,88,90
114,"Haiti",50,1,1,NA,100,72,62,21,100,93,85,5,52,27,3,46,66,74,82
115,"Dominican Republic",65,20,18,0,99,87,58,55,66,78,91,39,56,78,100,55,81,83,85
116,"Puerto Rico and Virgin Islands of the United States",62,28,28,0,97,NA,100,37,53,70,88,23,57,61,66,54,95,90,85
117,"British Virgin Islands",67,10,10,NA,98,NA,74,48,68,71,74,100,59,39,19,82,82,84,86
118,"Anguilla",64,4,4,NA,98,NA,74,39,38,65,91,100,76,38,0,73,82,84,86
119,"Saint Kitts and Nevis",59,12,12,0,98,NA,100,45,35,53,71,31,57,29,0,71,95,93,90
120,"Antigua and Barbuda",70,22,22,NA,98,NA,100,28,100,98,97,62,62,59,55,73,87,86,85
121,"Montserrat",70,1,1,NA,98,NA,74,73,97,89,81,100,59,30,0,70,93,93,93
122,"Saint Lucia",53,11,11,NA,99,0,27,68,48,56,63,100,61,32,3,59,70,81,91
123,"Dominica",51,11,11,NA,99,NA,27,7,81,78,76,55,68,36,5,73,60,73,86
124,"Barbados",55,38,38,NA,98,0,27,28,72,75,77,100,58,31,4,67,82,83,84
125,"Grenada",56,32,32,NA,98,NA,38,38,100,86,71,27,56,28,0,83,57,73,88
126,"Trinidad and Tobago",76,25,25,NA,96,89,86,81,88,78,67,99,54,47,41,69,90,88,85
127,"Saint Vincent and the Grenadines",49,7,7,NA,99,0,NA,73,33,24,16,46,63,32,0,73,92,91,90
129,"Panama",62,93,90,6,98,33,25,30,100,100,100,53,56,56,56,63,63,75,87
130,"Costa Rica",66,56,47,6,98,69,48,64,45,70,96,50,57,63,69,70,85,84,84
131,"Nicaragua",49,53,37,16,99,11,6,9,65,82,100,38,53,74,95,63,60,73,85
132,"Colombia",59,27,19,5,98,59,49,61,59,78,97,20,54,66,78,65,59,71,83
