Region,Status
Colombia,conduct
Ecuador,inform
Peru,plan
Brazil,inform
Fiji,inform
Spain,conduct
China,inform
Canada,conduct
Chile,conduct
Israel,inform
"United States, Pacific Coast",inform
"United States, Hawaii",plan
Baltic,conduct
British Columbia,conduct
