sp_id,species_code,year,reference
248100-248400,KRI,2007,620000
248100-248400,KRI,2008,620000
248100-248400,KRI,2009,620000
248100-248400,KRI,2010,620000
248100-248400,KRI,2011,620000
248100-248400,KRI,2012,620000
248100-248400,KRI,2013,620000
248100-248400,KRI,2014,620000
258410,KRI,2007,440000
258410,KRI,2008,440000
258410,KRI,2009,440000
258410,KRI,2010,440000
258410,KRI,2011,440000
258410,KRI,2012,440000
258410,KRI,2013,440000
258410,KRI,2014,440000
258420,KRI,2007,452000
258420,KRI,2008,452000
258420,KRI,2009,452000
258420,KRI,2010,452000
258420,KRI,2011,452000
258420,KRI,2012,452000
258420,KRI,2013,452000
258420,KRI,2014,452000
288100,TOP-TOA,2009,2700
288100,TOP-TOA,2010,2850
288100,TOP-TOA,2011,2850
288100,TOP-TOA,2012,3282
288100,TOP-TOA,2013,3282
288100,TOP-TOA,2014,3044
288200,TOP-TOA,2009,567
288200,TOP-TOA,2010,575
288200,TOP-TOA,2011,5751
288200,TOP-TOA,2012,5301
288200,TOP-TOA,2013,530
288200,TOP-TOA,2014,390
248600,TOP-TOA,2009,400
248600,TOP-TOA,2010,400
248600,TOP-TOA,2011,400
248600,TOP-TOA,2012,400
248600,TOP-TOA,2013,400
248600,TOP-TOA,2014,538
258410,TOP-TOA,2009,210
258410,TOP-TOA,2010,210
258410,TOP-TOA,2011,210
258410,TOP-TOA,2012,210
258410,TOP-TOA,2013,210
258410,TOP-TOA,2014,724
258420,TOP-TOA,2009,70
258420,TOP-TOA,2010,70
258420,TOP-TOA,2011,70
258420,TOP-TOA,2012,70
258420,TOP-TOA,2013,70
258420,TOP-TOA,2014,35
258431,TOP-TOA,2009,86
258431,TOP-TOA,2010,86
258431,TOP-TOA,2011,86
258431,TOP-TOA,2012,86
258431,TOP-TOA,2013,32
258431,TOP-TOA,2014,32
258432,TOP-TOA,2009,NA
258432,TOP-TOA,2010,NA
258432,TOP-TOA,2011,NA
258432,TOP-TOA,2012,NA
258432,TOP-TOA,2013,NA
258432,TOP-TOA,2014,NA
258441,TOP-TOA,2009,NA
258441,TOP-TOA,2010,NA
258441,TOP-TOA,2011,NA
258441,TOP-TOA,2012,NA
258441,TOP-TOA,2013,NA
258441,TOP-TOA,2014,NA
258442,TOP-TOA,2009,NA
258442,TOP-TOA,2010,NA
258442,TOP-TOA,2011,NA
258442,TOP-TOA,2012,NA
258442,TOP-TOA,2013,NA
258442,TOP-TOA,2014,NA
248300,TOP-TOA,2009,2180
248300,TOP-TOA,2010,2180
248300,TOP-TOA,2011,2180
248300,TOP-TOA,2012,2180
248300,TOP-TOA,2013,2180
248300,TOP-TOA,2014,2180
