"","rgn_id","pressure_score"
"7",1,0.334775497767079
"18",2,0.233026047155404
"29",3,0.437988495011795
"40",4,0
"51",5,0.295302501120669
"62",6,0.334076466619169
"73",7,0.329694061604625
"84",8,0.415533682753553
"95",9,0.538432556005886
"106",10,0.716700638131669
"117",11,0.58095774475547
"128",12,0
"139",13,0.589612200066565
"150",14,0.73239263891172
"161",15,0.645699061236244
"172",16,0.348741422767507
"183",17,0.292225960242893
"194",19,0.606904936281646
"205",20,0.729957297434775
"216",21,0.635656332009753
"227",24,0.490445774422773
"238",25,0.62839336297057
"249",26,0.445642151139831
"260",28,0.668583396021158
"271",29,0.723590171596151
"282",30,0
"293",31,0.576990403200001
"304",32,0.641222781465397
"315",33,0
"326",34,0
"337",35,0
"348",36,0
"359",37,0.711504667224708
"370",38,0
"381",39,0.757473126470223
"392",40,0.651954492630846
"403",41,0.492740835647497
"414",42,0.413705700760885
"425",43,0.533073678829314
"436",44,0.434099007588068
"447",45,0.37503741773259
"458",46,0.435405404244657
"469",47,0.482080446568247
"480",48,0.408332248110274
"491",49,0.385833121459839
"502",50,0.385354377483983
"513",51,0.601037729350993
"524",52,0.776445137864938
"535",53,0.657625040370059
"546",54,0.463653591544983
"557",55,0.504347218065491
"568",56,0.530854576287745
"579",57,0.618090750138457
"590",58,0.60579047049305
"601",59,0.694323800735892
"612",60,0.929758122794196
"623",61,0.585139810069668
"634",62,0.611938912457663
"645",63,0.162299905459303
"656",64,0.411985878972717
"667",65,0.600194671695529
"678",66,0.61324802062744
"689",67,0.445465826886094
"700",68,0.791035037265448
"711",69,0.476030148540513
"722",70,0.407047247079218
"733",71,0.483799605377259
"744",72,0.484619423836726
"755",73,0.425378206168992
"766",74,0.494113330921822
"777",75,0.507787511458062
"788",76,0.597842869275005
"799",77,0.690678427450665
"810",78,0.690561963842787
"821",79,0.74737897005896
"832",80,0.509915874072529
"843",81,0.501093428327985
"854",82,0.571943086724769
"865",84,0.652679957580172
"876",85,0.243324976188085
"887",86,0.424469972684899
"898",88,0.102271164173905
"909",89,0
"920",90,0
"931",91,0
"942",92,0
"953",93,0
"964",94,0
"975",95,0.0213017884262202
"986",96,0.558160159142146
"997",97,0.50809862325764
"1008",98,0.719000608871683
"1019",99,0.728498552009707
"1030",100,0.536367723524368
"1041",101,0.147295139986181
"1052",102,0.529865764633782
"1063",103,0.569851713528839
"1074",104,0.406973164663302
"1085",105,0
"1096",106,0.660148383476324
"1107",107,0
"1118",108,0.753695730451401
"1129",110,0.363119084470792
"1140",111,0.351486627495903
"1151",112,0.518559190937204
"1162",113,0.579605823591707
"1173",114,0.658986335398093
"1184",115,0.606903597081593
"1195",116,0.666101895919187
"1206",117,0.571907364013854
"1217",118,0.573256817190944
"1228",119,0.542980755640871
"1239",120,0.554804903666515
"1250",121,0.442591594568306
"1261",122,0.619521204348285
"1272",123,0.502504664342866
"1283",124,0.714717409159683
"1294",125,0.626475892767224
"1305",126,0.615965209567026
"1316",127,0.620241971237581
"1327",129,0.429522436461434
"1338",130,0.457808821051961
"1349",131,0.500685798197949
"1360",132,0.489677792218591
"1371",133,0.507415140822905
"1382",134,0.691096578088445
"1393",135,0.44567451621492
"1404",136,0.543100596463705
"1415",137,0.532449217361102
"1426",138,0.552931250920099
"1437",139,0.555940411696546
"1448",140,0.630765948096719
"1459",141,0.394385145764045
"1470",143,0.18666064093324
"1481",144,0
"1492",145,0.00949642590916327
"1503",146,0.10153572875942
"1514",147,0.475922632243677
"1525",148,0.289018092317949
