rgn_id,year,a_prot_1km
1,2000,0
1,2001,0
1,2002,0
1,2003,0
1,2004,0
1,2005,0
1,2006,0
1,2007,0
1,2008,0
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,0
1,2014,0
1,2015,0
2,2000,44.25
2,2001,44.25
2,2002,47.75
2,2003,47.75
2,2004,47.75
2,2005,47.75
2,2006,47.75
2,2007,47.75
2,2008,47.75
2,2009,47.75
2,2010,47.75
2,2011,47.75
2,2012,47.75
2,2013,47.75
2,2014,47.75
2,2015,47.75
3,2000,3.5
3,2001,3.5
3,2002,3.5
3,2003,3.5
3,2004,3.5
3,2005,3.5
3,2006,3.5
3,2007,3.5
3,2008,3.5
3,2009,3.5
3,2010,3.5
3,2011,3.5
3,2012,17.5
3,2013,17.5
3,2014,17.5
3,2015,17.5
4,2000,76.25
4,2001,76.25
4,2002,76.25
4,2003,76.25
4,2004,76.25
4,2005,76.25
4,2006,76.25
4,2007,76.25
4,2008,76.25
4,2009,76.25
4,2010,76.25
4,2011,76.25
4,2012,76.25
4,2013,76.25
4,2014,76.25
4,2015,76.25
5,2000,21
5,2001,21
5,2002,21
5,2003,21
5,2004,21
5,2005,21
5,2006,21
5,2007,21
5,2008,21
5,2009,308.75
5,2010,308.75
5,2011,308.75
5,2012,308.75
5,2013,308.75
5,2014,388
5,2015,388
6,2000,14.75
6,2001,14.75
6,2002,14.75
6,2003,14.75
6,2004,35.75
6,2005,35.75
6,2006,111
6,2007,111
6,2008,111
6,2009,111
6,2010,111
6,2011,111
6,2012,111
6,2013,111
6,2014,111
6,2015,111
7,2000,4.75
7,2001,4.75
7,2002,59
7,2003,64.5
7,2004,65.75
7,2005,65.75
7,2006,67
7,2007,161.75
7,2008,161.75
7,2009,161.75
7,2010,161.75
7,2011,161.75
7,2012,161.75
7,2013,161.75
7,2014,161.75
7,2015,161.75
8,2000,40.5
8,2001,40.5
8,2002,40.5
8,2003,40.5
8,2004,40.5
8,2005,40.5
8,2006,40.5
8,2007,40.5
8,2008,40.5
8,2009,40.5
8,2010,40.5
8,2011,40.5
8,2012,40.5
8,2013,40.5
8,2014,40.5
8,2015,40.5
9,2000,1.25
9,2001,1.25
9,2002,1.25
9,2003,1.25
9,2004,1.25
9,2005,1.25
9,2006,1.25
9,2007,1.25
9,2008,1.25
9,2009,1.25
9,2010,1.25
9,2011,1.25
9,2012,1.25
9,2013,1.25
9,2014,1.25
9,2015,1.25
10,2000,0
10,2001,0
10,2002,0
10,2003,0
10,2004,0
10,2005,0
10,2006,0
10,2007,0
10,2008,0
10,2009,0
10,2010,0
10,2011,0
10,2012,0
10,2013,0
