"","sp_id","year","days"
"1",248100,"2008",607789
"2",248200,"2008",2944
"3",248500,"2008",2426
"4",248600,"2008",0
"5",258410,"2008",2484
"6",258420,"2008",768
"7",288100,"2008",2298
"8",288200,"2008",0
"9",288300,"2008",0
"10",248100,"2009",542611
"11",248200,"2009",6405
"12",248500,"2009",3774
"13",248600,"2009",303
"14",258410,"2009",4702
"15",258420,"2009",222
"16",288100,"2009",6548
"17",288200,"2009",360
"18",288300,"2009",0
"19",248100,"2010",596092
"20",248200,"2010",4732
"21",248500,"2010",2885
"22",248600,"2010",312
"23",258410,"2010",441
"24",258420,"2010",0
"25",288100,"2010",3384
"26",288200,"2010",0
"27",288300,"2010",154
"28",248100,"2011",526338
"29",248200,"2011",6101
"30",248500,"2011",2239
"31",248600,"2011",339
"32",258410,"2011",465
"33",258420,"2011",224
"34",288100,"2011",3070
"35",288200,"2011",111
"36",288300,"2011",228
"37",248100,"2012",405018
"38",248200,"2012",4314
"39",248500,"2012",4873
"40",248600,"2012",279
"41",258410,"2012",1149
"42",258420,"2012",684
"43",288100,"2012",2202
"44",288200,"2012",0
"45",288300,"2012",138
"46",248100,"2013",500764
"47",248200,"2013",115
"48",248500,"2013",807
"49",248600,"2013",432
"50",258410,"2013",103
"51",258420,"2013",0
"52",288100,"2013",2475
"53",288200,"2013",0
"54",288300,"2013",374
