"sp_id","sciname","popn_trend"
248100,"Hydrurga leptonyx","Unknown"
248100,"Leptonychotes weddellii","Unknown"
248100,"Lobodon carcinophaga","Unknown"
248100,"Mirounga leonina","Unknown"
248100,"Ommatophoca rossii","Unknown"
248100,"Eubalaena australis","Unknown"
248100,"Eubalaena australis","Increasing"
248100,"Balaenoptera acutorostrata","Stable"
248100,"Balaenoptera borealis","Unknown"
248100,"Balaenoptera musculus","Increasing"
248100,"Balaenoptera physalus","Unknown"
248100,"Balaenoptera physalus","Decreasing"
248100,"Megaptera novaeangliae","Increasing"
248100,"Megaptera novaeangliae","Unknown"
248100,"Lagenorhynchus cruciger","Unknown"
248100,"Physeter macrocephalus","Decreasing"
248100,"Physeter macrocephalus","Unknown"
248100,"Hyperoodon planifrons","Unknown"
248100,"Arctocephalus gazella","Increasing"
248200,"Arctocephalus gazella","Increasing"
248200,"Hydrurga leptonyx","Unknown"
248200,"Leptonychotes weddellii","Unknown"
248200,"Mirounga leonina","Unknown"
248200,"Eubalaena australis","Unknown"
248200,"Eubalaena australis","Increasing"
248200,"Balaenoptera acutorostrata","Stable"
248200,"Balaenoptera borealis","Unknown"
248200,"Balaenoptera musculus","Increasing"
248200,"Balaenoptera physalus","Unknown"
248200,"Balaenoptera physalus","Decreasing"
248200,"Megaptera novaeangliae","Increasing"
248200,"Megaptera novaeangliae","Unknown"
248200,"Lagenorhynchus cruciger","Unknown"
248200,"Physeter macrocephalus","Decreasing"
248200,"Physeter macrocephalus","Unknown"
248200,"Hyperoodon planifrons","Unknown"
248200,"Lobodon carcinophaga","Unknown"
248200,"Ommatophoca rossii","Unknown"
248300,"Mirounga leonina","Unknown"
248300,"Eubalaena australis","Unknown"
248300,"Eubalaena australis","Increasing"
248300,"Balaenoptera acutorostrata","Stable"
248300,"Balaenoptera borealis","Unknown"
248300,"Balaenoptera musculus","Increasing"
248300,"Balaenoptera physalus","Unknown"
248300,"Balaenoptera physalus","Decreasing"
248300,"Megaptera novaeangliae","Increasing"
248300,"Megaptera novaeangliae","Unknown"
248300,"Lagenorhynchus cruciger","Unknown"
248300,"Physeter macrocephalus","Decreasing"
248300,"Physeter macrocephalus","Unknown"
248300,"Hyperoodon planifrons","Unknown"
248300,"Ziphius cavirostris","Unknown"
248300,"Hydrurga leptonyx","Unknown"
248300,"Leptonychotes weddellii","Unknown"
248300,"Arctocephalus gazella","Increasing"
248400,"Hydrurga leptonyx","Unknown"
248400,"Mirounga leonina","Unknown"
248400,"Eubalaena australis","Unknown"
248400,"Eubalaena australis","Increasing"
248400,"Balaenoptera acutorostrata","Stable"
248400,"Balaenoptera borealis","Unknown"
248400,"Balaenoptera musculus","Increasing"
