region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Global average,0,67.17,76.6,77.65,76.27,74.89,82.35,81.1,69.3,86.33,80.79,75.25,55.17,50.3,6.6,62.66,62.76,62.86,77.84,5.15
Macquarie Island,4,91.19,NA,81.23,83.42,85.61,100,NA,97.89,NA,NA,NA,92.9,92.9,NA,63.46,81.73,100,NA,NA
Howland Island and Baker Island,158,89.9,NA,73.72,86.66,99.59,99.18,NA,96.77,NA,NA,NA,87.24,87.24,NA,59.3,79.65,100,NA,NA
Jarvis Island,149,89.24,NA,71.87,84.79,97.72,95.45,NA,99.23,NA,NA,NA,87.06,87.06,NA,59.3,79.65,100,NA,NA
Ile Europa,35,88.85,NA,76.17,86.66,97.16,92.25,100,84.41,NA,NA,NA,94.35,94.35,NA,50.84,75.42,100,NA,NA
Mayotte,29,85.18,80.96,79.62,88.45,97.29,95.68,100,86.98,100,100,100,76.72,76.29,0.03,51.65,75.82,100,62.46,NA
United Arab Emirates,54,84.46,97.34,82.42,82.58,82.73,81.12,87.61,66.66,99,99.5,100,72.49,70.49,1.25,55.89,67.51,79.14,96.92,94.82
Sint Maarten,220,83.55,81.72,85.12,92.56,100,100,100,62.76,80.07,88.22,96.36,74.08,74.08,0,61.42,52.59,43.76,NA,100
Palmyra Atoll,150,83.3,NA,71.7,79.21,86.72,73.56,NA,93.1,NA,NA,NA,90.97,90.97,NA,59.3,79.65,100,NA,NA
Northern Saint-Martin,221,82.72,61.64,86.84,90.52,94.19,92.18,100,84.61,80.34,88.35,96.36,45.44,45.44,0,63.57,81.78,100,100,NA
Iraq,192,81.96,91.49,81.1,87.16,93.22,97.89,96.06,73.28,71.23,85.62,100,71.43,71.43,0,56.31,28.15,0,99.23,89.27
Kuwait,51,81.53,92.17,82.28,75.8,69.32,99.38,95.82,82.48,100,100,100,43.21,43.21,0.01,57.23,59.22,61.21,NA,85.68
Greenland,145,81.31,85.14,80.65,67.93,55.21,83.1,74.92,85.72,99.67,99.83,100,52.91,52.91,0,65.73,82.25,98.77,100,NA
Prince Edward Islands,90,81.09,NA,78.8,80.3,81.79,63.68,NA,88.02,NA,NA,NA,92.07,92.07,NA,62.79,81.39,100,NA,NA
Heard and McDonald Islands,94,80.64,NA,83.14,91.57,100,NA,NA,99.25,NA,NA,NA,46.81,46.81,NA,75.12,87.56,100,78.02,NA
Spain,182,80.6,73.02,68.3,68.35,68.39,97.62,71.93,70.72,100,77.21,54.42,50.91,67.11,82.39,71.86,85.93,100,96.32,97.78
