region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Ascension,85,73.83,77,74.75,87.37,100,NA,NA,80,81.55,83.65,85.75,72.88,72.88,0,67.8,50.77,33.75,65.13,NA
Thailand,25,73.81,84.01,87.13,88.42,89.71,85.25,81.76,57.53,100,85.03,70.06,56.9,41.77,12.79,59.82,48.43,37.04,73.54,92.35
Sint Maarten,220,73.66,83.27,86.88,93.44,100,100,100,47.43,80.07,88.22,96.36,72.43,72.43,0,70.83,57.64,44.45,NA,20.49
Saint Pierre and Miquelon,219,73.63,89.9,78.52,72.08,65.64,NA,68.69,79.43,58.62,79.26,99.9,80.59,80.59,NA,64.14,37.65,11.17,81.42,NA
Ghana,106,73.55,82.56,75.08,78.09,81.11,100,99.88,35.23,98.32,93.84,89.35,51.86,51.85,0,74.42,38.94,3.46,69.01,86.09
Sint Eustatius,249,73.47,83.85,86.44,93.22,100,100,100,50.78,75.24,68.81,62.37,37.02,37.02,0,71.37,54.07,36.76,NA,NA
Mauritania,64,73.4,68.65,77.7,75.36,73.03,61.97,99.92,62.19,90.98,93.69,96.41,15.27,15.27,0,70.08,85.04,100,86.79,85.13
Trinidad and Tobago,126,73.36,71.67,84.58,89.52,94.46,93.47,99.93,63.19,77.76,82.96,88.17,32.67,32.67,0,71.2,46.85,22.51,81.38,71.92
Sweden,222,73.35,92.92,90.8,74.16,57.51,61.51,61.93,60.63,100,100,100,68.77,69.88,89.48,87.27,78.32,69.36,99.81,34.36
Spain,182,73.34,69.71,71.96,70.18,68.39,97.62,71.93,53.87,100,77.21,54.42,51.58,67.92,82.38,76.82,88.41,100,69.9,66.65
Samoa,152,73.33,74.37,78.13,79.89,81.65,99.96,99.97,80.98,76.41,39.88,3.34,65.64,65.64,0,67.68,34.64,1.6,66.36,91.58
France,179,73.29,78.05,76.39,71.32,66.25,98.21,81.89,50.64,100,79.41,58.83,64.43,60.57,54.09,76.27,86.58,96.89,79.6,46.64
Iceland,143,73.2,88.72,79.13,61.89,44.66,62.24,74.93,79.03,38.39,61.71,85.03,49.06,48.66,0.71,71.71,54.85,37.99,99.97,100
Belgium,59,73.02,78.01,84.3,71.83,59.36,61.53,86.78,30.46,100,80.5,60.99,65.04,65.04,0,81.1,88.99,96.87,67.09,100
Yemen,47,72.93,97.9,82.76,88.1,93.44,71.3,68.38,53.52,96.42,98.21,100,59.41,59.41,0.01,60.29,30.16,0.04,98.71,63.6
Crozet Islands,91,72.82,NA,78.56,71.12,63.68,63.68,NA,87.31,NA,NA,NA,67.86,67.86,NA,48.28,74.14,100,NA,NA
Cameroon,197,72.78,77.59,77.67,74.14,70.6,73.51,76.25,33.68,98.61,75.69,52.77,56.06,56.06,0,73.05,73.68,74.31,98.97,88.23
Fiji,18,72.76,89.99,79.89,85.52,91.14,98.02,81.17,76.07,77.73,64.94,52.16,48.71,48.56,0.01,61.34,59.34,57.33,36.15,87.8
Solomon Islands,7,72.61,80.89,81.33,82.44,83.56,78.5,75.7,66.07,100,100,100,87.26,87.18,0.03,62.22,34.53,6.85,63.37,57.41
Canary Islands,58,72.61,76.82,77.14,73.26,69.37,66.08,64.93,64.95,46.37,57.38,68.4,73.87,73.87,0,75.86,87.93,100,95.02,65.89
Bahamas,110,72.53,83.24,82.94,78.3,73.66,61.29,84.03,61.79,94.62,81.12,67.61,82.26,82.23,0,70.72,69.66,68.59,100,23.62
Kerguelen Islands,93,72.52,NA,80.4,74.47,68.54,NA,NA,96.98,NA,NA,NA,44.49,44.49,NA,48.28,74.14,100,NA,NA
Western Sahara,63,72.39,69.89,76.6,77.08,77.55,100,99.97,65.16,100,97.21,94.42,14.2,14.2,0,71.2,35.6,0,92.41,NA
Mexico,135,72.15,84.07,77.32,85.54,93.77,91.97,93.49,65.27,100,72.14,44.29,41.18,37.59,0.4,65.02,82.51,100,73.67,35.24
