goal_code,goal
Index,Index
AO,Artisanal opportunities
SPP,Species condition (Biodiversity)
BD,Biodiversity
HAB,Habitat (Biodiversity)
CP,Coastal protection
CS,Carbon storage
CW,Clean water
ECO,Economies
LE,Livelihoods & economies
LIV,Livelihoods
FIS,Fisheries (Food provision)
FP,Food provision
MAR,Mariculture (Food provision)
ICO,Iconic species (Sense of place)
SP,Sense of place
LSP,Lasting special places (Sense of place)
NP,Natural products
TR,Tourism & recreation
