"scenario","dimension","country","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
2015,"score","eez_weighted_avg",69.97,67.86,85.86,88.27,90.67,87.47,79.38,74.17,87.8,82.26,76.71,58.92,57.95,26.62,58.45,59.22,60.35,52,49.7
2015,"score","Prince Edward Islands",91.81,,88.71,93.66,98.61,,,88.57,,,,85.01,85.01,,,100,100,,
2015,"score","Howland Island and Baker Island",90.11,85.69,84.4,90.66,96.93,100,,97.26,,,,92.5,92.5,,49.15,74.57,100,,
2015,"score","Macquarie Island",86.81,89.01,90.86,95.43,100,,,98.25,,,,51.35,51.35,,,100,100,,
2015,"score","Heard and McDonald Islands",86.56,,92.06,96.03,100,,,99.71,,,,78.16,78.16,,44.66,72.33,100,,
2015,"score","Phoenix Group",86.45,55.96,83.44,89.7,95.96,100,,96.29,68.27,74.31,80.35,,,,,100,100,,88.88
2015,"score","Northern Saint-Martin",86.33,73.53,93.44,94.92,96.39,95.26,100,53.02,85.59,91,96.41,,,,67.65,83.83,100,,99.06
2015,"score","New Caledonia",85.13,62.12,86.06,86.75,87.44,74.71,76.99,86.56,92.61,96.31,100,97,88.63,19.65,60.61,79.45,98.29,99.98,99.77
2015,"score","Glorioso Islands",81.65,47.73,86.88,91.64,96.39,92.79,,88.18,96.71,95.05,93.39,,,,,100,100,,56.15
2015,"score","Jarvis Island",81.31,93.04,83.57,88.18,92.79,,,97.85,,,,52.9,52.9,,49.14,74.57,100,,
2015,"score","Germany",80.31,78.53,92.54,91.93,91.32,95.04,100,50.2,100,91.59,83.18,63.93,60.86,6.16,46.17,73.09,100,66.26,95.59
2015,"score","Australia",80.22,90.16,89.52,92,94.48,89.4,92.92,83.61,100,95.62,91.23,57.47,45.41,12.61,73.82,86.91,100,66.41,59.75
2015,"score","Palmyra Atoll",79.86,93.04,85.11,89.34,93.58,78.74,,91.42,,,,52.07,52.07,,49.07,74.53,100,,
2015,"score","Curacao",79.71,58.66,89.17,93.05,96.93,99.96,91.81,60.87,79.42,71.87,64.32,,,0,67.13,63.35,59.58,,98.1
2015,"score","Norfolk Island",79.04,89.27,87.18,93.59,100,,,79.98,100,96.35,92.69,44.13,44.13,,88.26,94.13,100,,55.83
2015,"score","Madeira",78.72,68.91,80.91,87.89,94.86,,,70.89,94.89,82.85,70.81,60.17,60.17,,,88.35,88.35,,91.98
2015,"score","British Indian Ocean Territory",78.52,50.04,86.95,93.48,100,100,,90.14,96.98,76.98,56.97,83.03,83.03,,44.91,72.45,100,,62.05
2015,"score","Wallis and Futuna",78.25,62.8,88.02,94.01,100,100,,82.8,72.86,81.06,89.27,95.5,95.5,,70.16,35.08,0,,74.72
