"scenario","dimension","country","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
2015,"score","eez_weighted_avg",70,68,86,88,91,87,79,74,88,82,77,59,58,27,58,59,60,52,50
2015,"score","Prince Edward Islands",92,,89,94,99,,,89,,,,85,85,,,100,100,,
2015,"score","Howland Island and Baker Island",90,86,84,91,97,100,,97,,,,92,92,,49,75,100,,
2015,"score","Macquarie Island",87,89,91,95,100,,,98,,,,51,51,,,100,100,,
2015,"score","Heard and McDonald Islands",87,,92,96,100,,,100,,,,78,78,,45,72,100,,
2015,"score","Phoenix Group",86,56,83,90,96,100,,96,68,74,80,,,,,100,100,,89
2015,"score","Northern Saint-Martin",86,74,93,95,96,95,100,53,86,91,96,,,,68,84,100,,99
2015,"score","New Caledonia",85,62,86,87,87,75,77,87,93,96,100,97,89,20,61,79,98,100,100
2015,"score","Glorioso Islands",82,48,87,92,96,93,,88,97,95,93,,,,,100,100,,56
2015,"score","Jarvis Island",81,93,84,88,93,,,98,,,,53,53,,49,75,100,,
2015,"score","Australia",80,90,90,92,94,89,93,84,100,96,91,57,45,13,74,87,100,66,60
2015,"score","Palmyra Atoll",80,93,85,89,94,79,,91,,,,52,52,,49,75,100,,
2015,"score","Germany",80,79,93,92,91,95,100,50,100,92,83,64,61,6,46,73,100,66,96
2015,"score","Curacao",80,59,89,93,97,100,92,61,79,72,64,,,0,67,63,60,,98
2015,"score","Norfolk Island",79,89,87,94,100,,,80,100,96,93,44,44,,88,94,100,,56
2015,"score","British Indian Ocean Territory",79,50,87,93,100,100,,90,97,77,57,83,83,,45,72,100,,62
2015,"score","Madeira",79,69,81,88,95,,,71,95,83,71,60,60,,,88,88,,92
2015,"score","United Arab Emirates",78,65,88,93,98,93,92,68,100,100,100,78,77,1,51,71,91,53,62
2015,"score","Malta",78,69,91,92,94,89,89,51,100,88,77,79,51,29,41,69,98,,100
2015,"score","Bahamas",78,72,91,88,86,55,100,65,96,83,69,81,81,0,64,34,3,100,100
2015,"score","Pitcairn",78,70,86,93,100,100,,87,73,81,89,53,53,,71,64,56,,77
2015,"score","French Polynesia",78,63,88,93,98,100,92,90,46,73,100,60,60,55,61,30,0,99,82
2015,"score","American Samoa",78,83,84,91,98,95,94,59,72,86,99,56,56,,54,66,79,,72
2015,"score","Wallis and Futuna",78,63,88,94,100,100,,83,73,81,89,96,96,,70,35,0,,75
2015,"score","Marshall Islands",77,52,81,89,97,97,87,70,42,59,77,96,96,,58,46,35,89,84
2015,"score","Mayotte",77,48,88,92,96,93,93,51,100,100,100,88,87,1,46,73,100,,55
2015,"score","Estonia",77,78,88,94,99,93,100,67,100,75,51,75,75,0,,100,100,48,38
2015,"score","South Georgia and the South Sandwich Islands",77,,91,94,97,,,99,,,,28,28,,77,88,100,,
2015,"score","Antigua and Barbuda",77,68,88,88,89,81,100,64,88,94,100,20,20,,68,77,87,,100
2015,"score","Cocos Islands",76,88,87,92,98,98,93,92,100,96,93,34,34,,66,33,0,,57
2015,"score","Christmas Island",76,88,86,92,98,93,93,83,100,96,93,31,31,,50,53,56,,56
2015,"score","Vanuatu",76,45,85,90,96,94,88,75,100,100,100,92,91,0,55,28,1,44,100
2015,"score","Tuvalu",76,45,82,91,100,100,,72,100,100,100,98,98,0,56,31,6,,71
2015,"score","Seychelles",76,56,84,91,98,85,100,80,69,84,100,79,79,0,56,61,67,24,100
2015,"score","Maldives",76,48,83,90,97,98,86,62,41,70,100,80,80,,56,30,3,94,98
2015,"score","Johnston Atoll",76,93,83,88,94,78,,70,,,,53,53,,48,74,100,,
2015,"score","Italy",76,72,90,92,93,86,85,51,100,86,73,65,55,23,56,78,100,92,64
2015,"score","Kiribati",76,53,80,87,94,99,87,66,100,90,79,70,70,0,56,28,0,99,84
2015,"score","Palau",75,51,84,88,93,90,64,83,100,83,66,96,96,2,54,77,100,24,92
2015,"score","Azores",75,69,80,87,95,,,69,100,85,71,43,43,,,81,81,,92
2015,"score","Crozet Islands",75,,91,91,,,,98,,,,86,86,,49,24,0,,
2015,"score","Kerguelen Islands",75,,92,96,100,,,99,,,,79,79,,49,24,0,,
2015,"score","Croatia",75,54,89,94,99,,,64,100,80,59,69,63,16,52,76,100,70,100
2015,"score","Saba",75,59,92,96,100,100,100,64,79,72,64,,,,67,66,64,19,100
2015,"score","Thailand",74,70,82,85,88,83,80,54,100,86,71,67,69,78,52,60,69,74,74
2015,"score","Jan Mayen",74,84,83,69,54,,,89,91,88,86,64,64,,57,78,100,,43
2015,"score","Denmark",74,89,93,94,96,100,100,55,72,71,70,64,63,10,72,86,100,47,33
2015,"score","Netherlands",74,78,93,88,83,100,100,45,80,67,53,62,56,32,68,84,100,50,77
2015,"score","Qatar",74,100,89,93,98,95,90,68,83,70,56,81,81,0,48,24,0,,42
2015,"score","Mozambique",73,43,83,89,94,81,99,61,100,100,100,76,76,0,56,75,93,90,13
2015,"score","Gibraltar",73,69,86,93,100,,,20,51,76,100,84,84,,48,74,100,,95
2015,"score","Tristan da Cunha",73,88,85,92,99,,,88,90,88,86,34,34,,57,78,100,,42
2015,"score","Greenland",73,89,88,91,93,95,,94,100,100,100,68,68,,62,81,100,0,42
2015,"score","Samoa",73,71,87,92,96,95,90,84,82,43,3,51,51,0,59,30,1,100,74
2015,"score","Tokelau",73,80,89,84,78,95,56,93,74,82,89,58,58,,58,29,0,,78
2015,"score","United Kingdom",73,81,88,89,89,55,56,64,96,90,84,71,63,15,65,83,100,67,83
2015,"score","Bonaire",73,59,90,94,98,100,97,69,80,72,65,,,0,67,47,28,19,100
2015,"score","Aruba",73,59,91,94,98,100,100,62,100,100,100,3,3,0,79,39,0,,100
2015,"score","Northern Mariana Islands and Guam",72,83,80,88,96,98,94,61,48,63,78,18,15,0,53,54,56,,89
2015,"score","Fiji",72,46,81,84,87,98,67,76,80,66,53,87,87,0,51,62,73,40,98
2015,"score","Cape Verde",72,47,81,90,99,,,66,100,100,100,72,72,,65,32,0,,100
