ds_reference,ds_name,ds_description,ds_years,ds_native_resolution,ds_updated_2016,ds_updated_2017,ds_updated_2018
anderson_stock_2018,Stock assessement methods for data-limited fisheries,Methods: Data-limited stocks assessments,NA,NA,NA,NA,NA
aviso_satellite_2018,Sea level rise,Net change in sea level during the time series,1993-2017,0.25 deg,y,y,y
behrenfeld_photosynthetic_1997,NPP,Net Primary Productivity paper,NA,NA,NA,NA,NA
bridgham_carbon_2006,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n,n
bruno_regional_2007,Coral reefs,Global coral habitat extent and change in condition,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n?,n,n
burke_reefs_2011,Blast and poison fishing practices,Presence of artisanal blast and poison (cyanide) fishing practices,2009,10 km,n,n,n
burke_reefs_2011,Coral reefs,Global coral habitat extent and change in condition,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n?,n,n
cavalieri_sea_1996,Sea ice,"Sea ice change in extent, both edge and shoreline metrics",1979-2017,25 km,y,y,y
center_for_international_earth_science_information_network-ciesin-columbia_university_gridded_2017,Coastal population,Raster data of human population,2005-2020,30 arcsec,y,"y, improved",y
cites_member_2015,CITES signatories,Countries that signed the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),2017,National,n,y,n
claus_marine_2012,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n
convention_on_biological_diversity_3rd_2005,CBD signatories and survey data,"Convention on Biological Diversity: Data from Third National Report for regulation of alien species, habitat, mariculture, tourism, and water to preserve biodiversity",2005,National,n,n,n
crotti_travel_2017,Travel and Tourism Competitiveness Index (TTCI),Sustainability of the travel and tourism industry,2017,National,n,"y, not comparable across years",y
dahl_status_2011,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n,n
edf_france_electricite_2011,Marine jobs: tidal energy,La Rance (France) and Annapolis (Canada) tidal plants employment data,2003-2010,Points (sites),n,n,n
eionet_european_environment_agency_eea_eu_2008,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n,n
eriksen_plastic_2014,Trash pollution,Plastic trash pollution in ocean,2014,0.2 deg,n,n,n
esri_esri_2010,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n
feely_ocean_2009,Ocean acidification,Change in aragonite saturation state (ASS) levels,2005-2020,1 deg,y,y,y
free_mapping_2017,Stock boundaries,Maps of fish stock boundaries for the original RAM Myers stock-recruit database,2017,Stock, ,"y, new datasource",n
government_of_canada_travel_2018,Secondary source for travel warnings,"Travel warnings issued by Canada's Government, Travel Advise and Advisories",2018,National,,,"y, new datasource"
halpern_global_2008,Chemical pollution: land-based inorganic,Modeled pollution from urban runoff from impervious surfaces,2000,1 km,n,n,n
halpern_global_2008,Chemical pollution: land-based organic,Modeled pollution from pesticides,1990-2013,1 km (FAO data is National),y,n,n
halpern_global_2008,Chemical pollution: ocean-based ,Modeled pollution from shipping and ports,2003/2011,1 km,n,n,n
halpern_global_2008,Nutrient pollution,Modeled N input from fertilizer use as a proxy for nutrient pollution,1990-2013,1 km (FAO data is National),y,n,n
halpern_global_2008,Rocky reef,Global rocky reef habitat extent,2005,2 arcmin; Points,n,n,n
halpern_global_2008,Soft-bottom subtidal,Global soft-bottom subtidal habitat extent,2001-2005,0.5 deg,n,n,n
halpern_index_2012,Iconic species list,WWF Priority and Flagship Species Lists,2011,Global; National,n,n,n
halpern_index_2012,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n
halpern_patterns_2015,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n
halpern_spatial_2015,Chemical pollution: ocean-based ,Modeled pollution from shipping and ports,2003/2011,1 km,n,n,n
