"pressure","2012","2013","2014","2015","2016"
"chi",3.263422042,NA,NA,NA,NA
"oa",0.352746608,0.288773046,0.273098374,0.273319383,0.281058964
"slr",0.108758482,0.130621609,0.303711204,0.386943762,0.253829668
"sst",0.094946819,0.068322627,0.021927569,0,0.001031707
"uv",0.25,0.111111111,0.166666667,0.25,0.388888889
