"pressure","score"
"slr_2012",0.10875848229596
"slr_2013",0.130621608542007
"slr_2014",0.303711204414788
"slr_2015",0.386943761911278
"slr_2016",0.253829667570028
"oa_prs_layer_2012",0.352746608282579
"oa_prs_layer_2013",0.288773045614121
"oa_prs_layer_2014",0.273098374468326
"oa_prs_layer_2015",0.273319382841595
"oa_prs_layer_2016",0.281058964083348
"sst_2004.2008_1985.1989",0.0949468187631397
"sst_2005.2009_1985.1989",0.0683226269405997
"sst_2006.2010_1985.1989",0.0219275692762476
"sst_2007.2011_1985.1989",0
"sst_2008.2012_1985.1989",0.00103170714438879
"uv_2008_2012.2005_2009_mol_1km_rescaled",0.25
"uv_2009_2013.2005_2009_mol_1km_rescaled",0.111111111111111
"uv_2010_2014.2005_2009_mol_1km_rescaled",0.166666666666667
"uv_2011_2015.2005_2009_mol_1km_rescaled",0.25
"uv_2012_2016.2005_2009_mol_1km_rescaled",0.388888888888889
"global_cumul_impact_2013_all_layers",3.26342204156376
