"region","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Egypt",15,0,0,12,25,13,50,0,NA,NA,NA,78,54,29,0,0,0,3,0
"South Korea",14,0,0,0,0,NA,NA,0,NA,NA,NA,82,76,41,0,0,0,25,0
"Cambodia",14,0,0,17,33,4,0,0,NA,NA,NA,98,97,50,0,0,0,4,0
"Dominican Republic",14,0,0,12,25,9,34,0,NA,NA,NA,70,70,79,0,0,0,0,0
"Puerto Rico and Virgin Islands of the United States",14,50,0,0,0,0,0,0,NA,NA,NA,60,60,75,0,0,0,NA,0
"Italy",14,0,0,17,33,37,38,0,NA,NA,NA,35,36,39,0,0,0,0,0
"South Georgia and the South Sandwich Islands",13,NA,0,25,50,NA,NA,25,NA,NA,NA,0,0,NA,0,0,0,NA,NA
"Thailand",12,0,0,12,25,8,17,0,NA,NA,NA,75,63,24,0,0,0,7,0
"Mauritius",12,0,0,17,33,2,50,0,NA,NA,NA,30,31,50,0,0,0,6,0
"Mozambique",12,0,0,25,50,29,12,0,NA,NA,NA,45,45,75,0,0,0,0,0
"Lebanon",12,0,0,0,0,NA,NA,0,NA,NA,NA,86,86,50,0,0,0,0,0
"Ecuador",12,0,0,17,33,3,0,0,NA,NA,NA,25,31,38,0,0,0,6,50
"Slovenia",12,50,0,0,0,NA,NA,0,NA,NA,NA,10,27,67,0,0,0,9,0
"Bangladesh",12,0,0,17,33,0,0,0,NA,NA,NA,100,92,40,0,0,0,0,0
"Kenya",11,0,0,12,25,2,10,0,NA,NA,NA,71,71,100,0,0,0,1,0
"Crozet Islands",11,NA,0,0,NA,NA,NA,25,NA,NA,NA,20,20,NA,0,0,0,NA,NA
"Mexico",11,0,0,12,25,19,33,0,NA,NA,NA,26,27,45,0,0,0,6,0
"Russia",10,0,0,12,25,0,50,0,NA,NA,NA,27,27,8,0,0,0,5,0
"Albania",10,0,0,0,0,NA,NA,0,NA,NA,NA,41,46,62,0,0,0,24,0
"El Salvador",10,0,0,0,0,0,0,0,NA,NA,NA,74,74,58,0,0,0,20,0
"Malaysia",10,0,0,12,25,1,3,0,NA,NA,NA,71,70,33,0,0,0,1,0
"China",10,0,0,14,29,9,17,0,NA,NA,NA,47,47,47,0,0,0,3,0
"Seychelles",9,0,0,17,33,50,0,0,NA,NA,NA,9,9,50,0,0,0,2,0
"Pakistan",9,0,0,0,0,0,0,0,NA,NA,NA,56,56,50,0,0,0,25,0
"Cyprus",9,0,0,0,0,NA,NA,0,NA,NA,NA,56,60,62,0,0,0,0,0
"Guyana",9,0,0,0,0,0,0,0,NA,NA,NA,70,70,50,0,0,0,NA,0
"Brazil",9,0,0,25,50,4,2,0,NA,NA,NA,47,49,75,0,0,0,0,0
"Indonesia",9,0,0,12,25,4,14,0,NA,NA,NA,55,52,33,0,0,0,0,0
"Cape Verde",8,0,0,0,0,NA,NA,0,NA,NA,NA,49,49,NA,0,0,0,NA,0
"Trinidad and Tobago",8,0,0,17,33,10,0,0,NA,NA,NA,47,47,NA,0,0,0,0,0
"Venezuela",8,0,0,12,25,5,12,0,NA,NA,NA,46,46,50,0,0,0,0,0
"Australia",7,0,0,0,0,0,0,0,NA,NA,NA,45,47,52,0,0,0,12,0
"Namibia",7,0,0,0,0,NA,NA,0,NA,NA,NA,37,37,40,0,0,0,15,0
"Costa Rica",7,0,0,0,0,0,0,0,NA,NA,NA,58,57,38,0,0,0,2,0
"Suriname",7,0,0,0,0,0,0,0,NA,NA,NA,57,57,50,0,0,0,3,0
"Cameroon",7,0,0,0,0,0,0,0,NA,NA,NA,54,54,NA,0,0,0,NA,0
"Tunisia",6,0,0,0,0,NA,NA,0,NA,NA,NA,39,41,60,0,0,0,0,0
"Panama",6,0,0,12,25,8,20,0,NA,NA,NA,10,12,50,0,0,0,3,0
"New Zealand",6,0,0,0,0,0,0,25,NA,NA,NA,20,21,25,0,0,0,12,0
"Denmark",6,0,0,0,0,0,0,0,NA,NA,NA,45,45,69,0,0,0,11,0
"Germany",6,0,0,0,0,0,0,0,NA,NA,NA,40,41,50,0,0,0,15,0
"Gabon",6,0,0,0,0,0,0,0,NA,NA,NA,45,45,NA,0,0,0,NA,0
"Gambia",5,0,0,0,0,0,0,0,NA,NA,NA,41,41,50,0,0,0,NA,0
"Greece",5,0,0,0,0,NA,NA,0,NA,NA,NA,30,34,39,0,0,0,0,0
"Colombia",5,0,0,0,0,0,0,0,NA,NA,NA,48,47,33,0,0,0,1,0
"Montenegro",5,0,0,0,0,NA,NA,0,NA,NA,NA,29,32,50,0,0,0,0,0
"Japan",5,0,0,8,17,0,2,0,NA,NA,NA,31,32,50,0,0,0,1,0
"Algeria",4,0,0,0,0,NA,NA,0,NA,NA,NA,28,28,50,0,0,0,0,0
"South Africa",4,0,0,12,25,0,0,0,NA,NA,NA,23,23,21,0,0,0,3,0
"Guatemala",4,0,0,0,0,0,0,0,NA,NA,NA,22,30,67,0,0,0,4,0
"Netherlands",4,0,0,0,0,0,0,0,NA,NA,NA,30,29,25,0,0,0,10,0
"France",4,0,0,0,0,0,0,0,NA,NA,NA,22,28,40,0,0,0,3,0
"Spain",4,0,0,0,0,0,0,0,NA,NA,NA,33,34,36,0,0,0,2,0
"Croatia",4,0,0,0,0,NA,NA,0,NA,NA,NA,20,24,57,0,0,0,2,0
"Ivory Coast",4,0,0,0,0,0,0,0,NA,NA,NA,29,29,NA,0,0,0,7,0
"Belgium",3,0,0,0,0,0,0,0,NA,NA,NA,17,17,NA,0,0,0,7,0
"Estonia",3,0,0,0,0,0,0,0,NA,NA,NA,1,1,100,NA,0,0,23,0
"Turkey",3,0,0,0,0,NA,NA,0,NA,NA,NA,11,14,33,0,0,0,8,0
"United States",3,0,0,0,0,0,0,0,NA,NA,NA,22,23,42,0,0,0,8,0
"Poland",3,0,0,12,25,6,6,0,NA,NA,NA,3,3,NA,NA,0,0,3,0
"Portugal",3,0,0,0,0,NA,NA,0,NA,NA,NA,16,16,27,0,0,0,2,0
"Canada",3,0,0,10,20,0,0,0,NA,NA,NA,9,12,36,0,0,0,2,0
"Bulgaria",2,0,0,0,0,NA,NA,0,NA,NA,NA,15,17,50,0,0,0,0,0
"Georgia",2,0,0,0,0,NA,NA,0,NA,NA,NA,10,10,NA,0,0,0,2,0
"Uruguay",2,0,0,0,0,NA,NA,0,NA,NA,NA,13,13,50,0,0,0,3,0
"United Kingdom",2,0,0,0,0,0,0,0,NA,NA,NA,12,16,42,0,0,0,2,0
"Lithuania",2,0,0,0,0,0,NA,0,NA,NA,NA,1,1,NA,NA,0,0,12,0
"Sweden",2,0,0,10,20,0,5,0,NA,NA,NA,1,1,0,0,0,0,0,0
"Norway",2,0,0,0,0,0,NA,0,NA,NA,NA,4,18,43,0,0,0,1,0
"Chile",2,0,0,0,0,NA,NA,0,NA,NA,NA,3,12,42,0,0,0,0,0
"Latvia",1,0,0,0,0,0,0,0,NA,NA,NA,1,1,NA,NA,0,0,9,0
"Romania",1,0,0,0,0,NA,NA,0,NA,NA,NA,3,3,NA,0,0,0,4,0
"Argentina",1,0,0,0,0,NA,NA,0,NA,NA,NA,3,3,0,0,0,0,7,0
"Finland",1,0,0,0,0,0,NA,0,NA,NA,NA,1,4,38,NA,0,0,1,0
"Ireland",1,0,0,0,0,0,0,0,NA,NA,NA,7,9,35,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,NA,NA,NA,2,3,40,0,0,0,2,0
"Iceland",0,0,0,0,0,0,NA,0,NA,NA,NA,1,1,0,0,0,0,0,0
