"rgn_id","habitat","prop_score"
5,"mangrove",0.107
6,"mangrove",0.014
7,"mangrove",0.365
8,"mangrove",0.1
9,"mangrove",0.008
14,"mangrove",0.001
15,"mangrove",0.206
16,"mangrove",0.068
17,"mangrove",0.453
18,"mangrove",0.386
24,"mangrove",1
25,"mangrove",0.67
26,"mangrove",0.394
28,"mangrove",0.001
29,"mangrove",0.004
31,"mangrove",1
39,"mangrove",0
40,"mangrove",0.019
41,"mangrove",0.753
42,"mangrove",0.203
43,"mangrove",0.794
44,"mangrove",1
45,"mangrove",0.08
46,"mangrove",1
47,"mangrove",0
48,"mangrove",1
49,"mangrove",0
50,"mangrove",0
52,"mangrove",0
53,"mangrove",1
54,"mangrove",0
62,"mangrove",1
65,"mangrove",1
66,"mangrove",0.15
96,"mangrove",0.205
97,"mangrove",1
98,"mangrove",0.007
99,"mangrove",0.008
102,"mangrove",0.025
104,"mangrove",1
106,"mangrove",0.015
108,"mangrove",1
110,"mangrove",0.026
111,"mangrove",0
112,"mangrove",0.167
113,"mangrove",0.651
114,"mangrove",0.086
115,"mangrove",0.33
116,"mangrove",0.11
117,"mangrove",0.013
118,"mangrove",0.002
119,"mangrove",0.004
120,"mangrove",0.01
122,"mangrove",0.454
124,"mangrove",0.001
125,"mangrove",0.417
126,"mangrove",1
127,"mangrove",1
129,"mangrove",0.599
130,"mangrove",1
131,"mangrove",0.149
132,"mangrove",0.885
133,"mangrove",0.272
134,"mangrove",1
135,"mangrove",0.35
136,"mangrove",1
137,"mangrove",1
138,"mangrove",1
139,"mangrove",0.769
140,"mangrove",0.042
162,"mangrove",0.194
163,"mangrove",0.04
164,"mangrove",0.095
166,"mangrove",0.093
167,"mangrove",1
168,"mangrove",1
169,"mangrove",1
171,"mangrove",0.969
190,"mangrove",0
191,"mangrove",0
193,"mangrove",0.08
194,"mangrove",0.098
195,"mangrove",1
196,"mangrove",0.339
197,"mangrove",1
198,"mangrove",1
199,"mangrove",1
200,"mangrove",0.359
202,"mangrove",0.952
203,"mangrove",0.151
204,"mangrove",1
205,"mangrove",0.704
206,"mangrove",0.94
207,"mangrove",0.99
208,"mangrove",0.112
209,"mangrove",0.002
210,"mangrove",0.043
214,"mangrove",0
216,"mangrove",0.73
221,"mangrove",0.001
231,"mangrove",0.034
237,"mangrove",1
244,"mangrove",1
245,"mangrove",0.462
247,"mangrove",1
250,"mangrove",0.008
16,"saltmarsh",0.424
59,"saltmarsh",1
69,"saltmarsh",1
70,"saltmarsh",1
153,"saltmarsh",1
154,"saltmarsh",1
156,"saltmarsh",1
162,"saltmarsh",0.806
163,"saltmarsh",0.662
176,"saltmarsh",1
177,"saltmarsh",1
178,"saltmarsh",0.872
179,"saltmarsh",0.832
180,"saltmarsh",1
181,"saltmarsh",1
184,"saltmarsh",0.232
209,"saltmarsh",0.663
218,"saltmarsh",0.997
222,"saltmarsh",0.895
227,"saltmarsh",1
228,"saltmarsh",1
1,"seagrass",1
2,"seagrass",1
5,"seagrass",0.893
6,"seagrass",0.986
7,"seagrass",0.635
8,"seagrass",0.9
9,"seagrass",0.992
11,"seagrass",1
13,"seagrass",1
14,"seagrass",0.999
15,"seagrass",0.794
16,"seagrass",0.508
17,"seagrass",0.547
18,"seagrass",0.614
25,"seagrass",0.33
26,"seagrass",0.606
28,"seagrass",0.999
29,"seagrass",0.996
37,"seagrass",1
39,"seagrass",1
40,"seagrass",0.981
41,"seagrass",0.247
42,"seagrass",0.797
43,"seagrass",0.206
45,"seagrass",0.92
47,"seagrass",1
49,"seagrass",1
50,"seagrass",1
51,"seagrass",1
52,"seagrass",1
54,"seagrass",1
58,"seagrass",1
66,"seagrass",0.85
68,"seagrass",1
73,"seagrass",1
75,"seagrass",1
79,"seagrass",1
96,"seagrass",0.795
98,"seagrass",0.993
99,"seagrass",0.992
102,"seagrass",0.975
106,"seagrass",0.985
110,"seagrass",0.974
111,"seagrass",1
112,"seagrass",0.833
113,"seagrass",0.349
114,"seagrass",0.914
115,"seagrass",0.67
116,"seagrass",0.89
117,"seagrass",0.987
118,"seagrass",0.998
119,"seagrass",0.996
120,"seagrass",0.99
121,"seagrass",1
122,"seagrass",0.546
123,"seagrass",1
124,"seagrass",0.999
125,"seagrass",0.583
129,"seagrass",0.401
131,"seagrass",0.851
132,"seagrass",0.115
133,"seagrass",0.728
135,"seagrass",0.65
139,"seagrass",0.231
140,"seagrass",0.958
147,"seagrass",1
151,"seagrass",1
152,"seagrass",1
155,"seagrass",1
163,"seagrass",0.298
164,"seagrass",0.905
166,"seagrass",0.907
171,"seagrass",0.031
175,"seagrass",1
178,"seagrass",0.128
179,"seagrass",0.168
182,"seagrass",1
184,"seagrass",0.768
190,"seagrass",1
191,"seagrass",1
192,"seagrass",1
193,"seagrass",0.92
194,"seagrass",0.902
196,"seagrass",0.661
200,"seagrass",0.641
202,"seagrass",0.048
203,"seagrass",0.849
205,"seagrass",0.296
206,"seagrass",0.06
207,"seagrass",0.01
208,"seagrass",0.888
209,"seagrass",0.334
210,"seagrass",0.957
212,"seagrass",1
214,"seagrass",1
215,"seagrass",1
216,"seagrass",0.27
218,"seagrass",0.003
220,"seagrass",1
221,"seagrass",0.999
222,"seagrass",0.105
231,"seagrass",0.966
245,"seagrass",0.538
248,"seagrass",1
249,"seagrass",1
250,"seagrass",0.992
255,"seagrass",1
269,"seagrass",1
