"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Howland Island and Baker Island",158,87.55,86.7,88.97,88.78,88.6,100,,96.43,,,,74.66,74.66,,57.48,78.74,100,,
"South Georgia and the South Sandwich Islands",89,87.39,90.53,94.01,95.86,97.7,,,98.89,,,,67.58,67.58,,68.18,84.09,100,,
"Jarvis Island",149,84.16,93.71,90.37,77.87,65.37,,,97.85,,,,72.5,72.5,,57.74,78.87,100,,
"New Caledonia",5,83.75,65.59,89.9,88.86,87.83,76.6,78.61,85.94,92.61,96.31,100,72.34,66.85,11.41,69.29,78.89,88.49,99.98,99.88
"Christmas Island",2,83.73,96.75,96.03,94.61,93.18,93.12,92.76,81.52,100,96.35,92.69,59.63,59.63,,58.86,57.17,55.47,,81.62
"Northern Saint-Martin",221,83.61,87.36,97.7,97.13,96.56,95.26,100,52.66,85.47,90.94,96.41,40.41,40.41,,77.51,88.76,100,,100
"Phoenix Islands (Kiribati)",157,83.06,61.84,88.73,88.58,88.44,100,,96.88,68.57,74.34,80.12,77.83,77.83,,62.13,81.07,100,,83.96
"Macquarie Island",4,82.93,96.75,93.55,95.71,97.88,,,97.48,,,,37.21,37.21,,75.02,87.51,100,,
"Palmyra Atoll",150,82.41,93.71,89.81,91.63,93.45,77.62,,90.23,,,,62.54,62.54,,57.41,78.7,100,,
"Heard and McDonald Islands",94,82.34,90.58,94.49,97.24,100,,,99.71,,,,51.73,51.73,,44.82,72.41,100,,
"Cocos Islands",1,82.32,96.75,96.47,95.73,94.98,97.62,92.76,88.79,100,96.35,92.69,52.74,52.74,,74.94,37.47,0,,82.67
"Germany",176,81.95,97.1,95.39,93.9,92.41,93.59,100,50.25,100,91.85,83.7,40.55,39.45,6.03,90.35,95.17,100,61.56,96.61
"Kerguelen Islands",93,81.34,89.63,92.55,96.27,100,,,98.78,,,,46.08,46.08,,51.91,75.95,100,,
"Norfolk Island",3,81.08,96.75,95.45,97.72,100,,,77.95,100,96.35,92.69,22.56,22.56,,88.81,94.4,100,,81.84
"Aruba",250,80.92,92.92,97.31,97.63,97.95,99.99,99.95,57.17,100,100,100,36.78,36.78,0,87.68,43.84,0,,100
"Antigua and Barbuda",120,80.91,79.76,95.92,92.62,89.31,81.32,99.94,69.13,88.53,94.27,100,32.68,32.68,,77.95,78.51,79.07,,100
"Crozet Islands",91,80.24,89.71,92.01,92.01,,,,96.55,,,,47.01,47.01,,51.9,75.95,100,,
"Madeira",57,80.08,84.2,96.31,98.07,99.82,,,71.09,94.89,83.43,71.98,62.16,62.16,,64.94,82.47,100,,79.15
"Australia",16,79.65,98.07,93.38,93.93,94.48,89.4,92.92,82.89,100,95.62,91.23,42.03,33.13,11.11,85.03,92.52,100,54.8,63.26
"American Samoa",151,79.52,85.19,87.36,92.59,97.82,95.38,93.74,58.48,72.16,85.68,99.2,59.08,59.08,,65.41,66.88,68.34,,78.7
"United Arab Emirates",54,79.35,100,82.87,90.43,98,93.47,92.15,68.12,100,100,100,53.79,53.31,0.36,60.29,70.97,81.66,63.92,61.11
"French Polynesia",147,79.07,65.23,91.93,94.76,97.59,99.57,91.11,92.82,46.14,73.07,100,59.86,57.93,34.58,69.43,34.71,0,97.67,83.79
"Finland",174,79.03,95.16,92.88,95.49,98.11,75.93,,70.17,100,84.58,69.15,96.15,89.84,16.82,95.83,80.93,66.02,96.03,23.11
"Malta",68,78.73,92.2,88.78,92.19,95.61,88.21,88.29,46.72,100,88.76,77.51,44.14,38.61,33.82,54.41,73.6,92.78,,100
