"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"South Georgia and the South Sandwich Islands",89,88.02,90.24,94.01,96.58,99.14,,,98.89,,,,70.79,70.79,,67.23,83.61,100,,
"Howland Island and Baker Island",158,87.55,86.96,89.13,88.51,87.89,100,,96.71,,,,74.3,74.3,,57.63,78.81,100,,
"Macquarie Island",4,83.48,96.84,93.55,96.21,98.87,,,97.47,,,,39.61,39.61,,74.55,87.28,100,,
"Northern Saint-Martin",221,83.47,87.36,97.7,97.17,96.65,95.26,100,52.67,85.47,90.94,96.41,40.59,40.59,,74.47,87.23,100,,100
"Christmas Island",2,82.57,96.84,96,94.74,93.49,93.12,92.76,81.57,100,96.35,92.69,55.88,55.88,,58.86,57.19,55.52,,74.64
"Palmyra Atoll",150,82.28,93.74,89.94,90.76,91.57,78.07,,90.49,,,,61.82,61.82,,57.55,78.77,100,,
"Phoenix Islands (Kiribati)",157,82.14,62.07,88.77,90.46,92.15,100,,96.93,68.53,74.28,80.03,77.86,77.86,,61.38,80.69,100,,74.79
"Jarvis Island",149,81.94,93.74,90.22,67.2,44.18,,,97.85,,,,71.97,71.97,,57.88,78.94,100,,
"Heard and McDonald Islands",94,81.86,90.63,94.49,97.24,100,,,99.71,,,,49.31,49.31,,44.84,72.42,100,,
"Germany",176,81.68,97.27,95.64,93.75,91.86,93.59,100,50.82,100,91.88,83.76,42.7,41.56,5.74,90.55,95.27,100,62.71,89.98
"New Caledonia",5,81.45,65.63,89.81,88.84,87.86,76.75,78.67,79.25,92.61,96.31,100,70.71,65.44,11.14,67.81,78.15,88.49,99.98,85.47
"Kerguelen Islands",93,81.04,89.71,92.46,96.23,100,,,98.78,,,,44.72,44.72,,51.5,75.75,100,,
"Cocos Islands",1,80.6,96.84,96.47,95.77,95.07,97.62,92.76,88.84,100,96.35,92.69,44.55,44.55,,74.42,37.21,0,,75.48
"Aruba",250,80.53,92.92,96.98,97.47,97.95,99.99,99.95,57,100,100,100,35.34,35.34,0,84.23,42.12,0,,100
"Antigua and Barbuda",120,80.3,80.13,95.19,91.95,88.72,80.73,99.94,65.82,87.86,93.93,100,33.41,33.41,,75.07,76.82,78.57,,100
"Norfolk Island",3,79.86,96.84,95.45,97.72,100,,,78,100,96.35,92.69,21.64,21.64,,88.83,94.41,100,,74.06
"Crozet Islands",91,79.86,89.8,91.96,91.96,,,,96.57,,,,45.23,45.23,,51.5,75.75,100,,
"Madeira",57,79.75,85.1,96.15,98.07,100,,,71.88,94.89,83.42,71.96,63.71,63.71,,64.9,82.45,100,,73.62
