"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Howland Island and Baker Island",158,87.42,86.17,88.99,88.12,87.25,100,,96.5,,,,74.96,74.96,,57.51,78.75,100,,
"Estonia",70,86.26,90.09,93.35,96.67,100,100,100,67.37,100,75.36,50.72,97.4,97.4,0,95,97.5,100,92.28,45.97
"Christmas Island",2,85.83,96.46,96.21,95.06,93.9,93.12,92.76,81.6,100,96.35,92.7,65.76,65.76,,58.94,57.23,55.53,,94.15
"Jarvis Island",149,85.05,93.58,90.43,82.81,75.19,,,97.85,,,,72.13,72.13,,57.78,78.89,100,,
"Cocos Islands",1,85,96.46,96.47,95.77,95.06,97.62,92.76,88.87,100,96.35,92.7,65.23,65.23,,75.64,37.82,0,,94.15
"South Georgia and the South Sandwich Islands",89,84.6,90.21,94.01,93.97,93.92,,,98.89,,,,55.48,55.48,,68.96,84.48,100,,
"Phoenix Islands (Kiribati)",157,84.11,60.58,88.7,87.57,86.43,100,,96.98,68.65,74.45,80.26,76.78,76.78,,62.06,81.03,100,,95.53
"Northern Saint-Martin",221,83.79,86.92,97.7,97.17,96.65,95.26,100,52.75,85.47,90.92,96.37,42.16,42.16,,77.79,88.9,100,,100
"Norfolk Island",3,83.4,96.46,95.45,97.72,100,,,78.02,100,96.35,92.7,26.67,26.67,,88.92,94.46,100,,94.15
"Ile Europa",35,83.38,53.35,91.62,92.2,92.79,92.79,,89.79,,,,88.7,88.7,,66.85,83.42,100,,
"Heard and McDonald Islands",94,83.11,90.48,94.49,97.24,100,,,99.71,,,,55.66,55.66,,44.9,72.45,100,,
"Sint Maarten",220,82.76,93.1,96.72,96.89,97.06,100,100,43.63,84.83,90.6,96.37,58.1,58.1,,76.84,67.32,57.79,77.95,100
"Palmyra Atoll",150,82.56,93.58,89.87,91.72,93.58,77.72,,90.29,,,,63.36,63.36,,57.44,78.72,100,,
"Germany",176,82.12,96.84,95.24,94.35,93.46,94.57,100,51.17,100,91.8,83.59,39.49,36.41,10.58,90.03,95.02,100,61.08,100
"Kerguelen Islands",93,82,89.27,92.59,96.3,100,,,98.78,,,,49.61,49.61,,52.08,76.04,100,,
"New Caledonia",5,81.95,64.94,88.6,88.12,87.63,76.47,78.11,92.03,92.61,96.31,100,68.08,63.31,10.73,68.12,64.15,60.18,96.69,99.36
"Saba",248,81.8,77.65,97.32,98.66,100,100,100,65.56,79.99,72.68,65.36,55.05,55.05,,78.95,70.56,62.18,77.86,100
"Crozet Islands",91,81.64,89.36,92.05,92.05,,,,96.57,,,,54.18,54.18,,52.06,76.03,100,,
"Aruba",250,81.63,92.92,97.31,97.63,97.95,99.99,99.95,62.26,100,100,100,38.74,38.74,0,86.28,43.14,0,,100
"Finland",174,81.32,95.55,92.94,96.47,100,100,,72.45,100,84.52,69.04,95.95,90.35,14.33,95.83,81.54,67.25,87.61,23.38
"Macquarie Island",4,81.22,96.46,93.55,95.53,97.52,,,98.55,,,,27.99,27.99,,75.15,87.58,100,,
"Australia",16,80.9,97.82,93.47,93.97,94.48,89.4,92.92,83.57,100,95.62,91.23,44.27,35.89,12.59,85.13,92.56,100,57.5,69.73
"Bonaire",245,80.19,77.89,96.43,97.19,97.95,99.59,97.16,70.75,80.11,72.86,65.62,44.13,44.13,0,79.17,64.67,50.17,77.63,100
"Norway",223,79.82,100,94.24,93.03,91.83,70.4,,79.25,78.41,81.75,85.09,62.93,74.56,100,63.5,75.51,87.53,55.64,88.22
"Antigua and Barbuda",120,79.68,77.55,95.95,92.62,89.29,81.21,99.94,60.18,88.5,94.25,100,32.71,32.71,,78.32,78.69,79.07,,100
"Bahamas",110,79.39,87.14,96.97,91.46,85.94,55.97,99.71,65.37,96.38,83.32,70.26,68.92,68.92,0,74.16,64.13,54.1,77.86,100
"Malta",68,79.33,89.16,88.69,91.95,95.22,88.53,88.51,55.36,100,88.84,77.68,46.24,38.79,21.2,52,72.86,93.73,,100
"Madeira",57,79.15,83.42,96.23,98.12,100,,,69.75,94.89,83.38,71.88,60.78,60.78,,63.4,81.7,100,,76.91
"Sint Eustatius",249,78.57,77.55,96.74,96.51,96.27,100,100,56.78,79.84,72.51,65.17,36.83,36.83,,78.32,67.76,57.19,77.79,100
"United Arab Emirates",54,78.06,100,82.66,90.33,98,93.47,91.97,66.82,100,100,100,53.35,53.06,0.19,58.93,64.85,70.77,59.5,60.63
"Curacao",244,78.05,77.67,96.56,96.75,96.93,99.96,90.87,61.31,80.1,72.85,65.59,41.2,41.2,0,77.34,63.46,49.57,,98.43
"American Samoa",151,77.73,85.22,87.33,92.57,97.82,95.24,93.66,58.63,72.15,85.68,99.2,60.28,60.28,,65.31,66.82,68.33,,61.43
"Seychelles",31,77.72,75.76,88.35,92.97,97.6,86.57,100,79.47,69.55,84.77,100,41.7,41.7,0,64.78,62.3,59.83,53.68,100
"French Polynesia",147,77.68,65.32,91.94,94.76,97.59,99.57,91.22,92.78,46.15,73.08,100,61.94,60.25,42.9,68.4,34.2,0,98.84,66.74
"Marshall Islands",11,77.5,55.04,83.91,90.03,96.14,97.85,86.94,68.9,41.67,59.51,77.36,75.35,75.35,,66.46,52.99,39.51,94.06,94.34
"Italy",184,77.5,93.48,89.03,91.27,93.5,85.65,85.04,52.95,100,86.97,73.93,44.77,38.19,18.96,70.18,85.09,100,85.91,70.47
"New Zealand",162,77.49,95.09,94.95,92.72,90.49,68.79,64.73,83.52,100,100,100,45.52,53.75,100,62.47,63.61,64.75,52.67,100
"South Africa",102,77.38,77.73,91.65,92.11,92.58,99.63,99.82,57.59,100,100,100,83.71,83.49,0.96,71.77,82.45,93.13,31.17,49.82
"Cayman Islands",113,76.95,99.97,96.97,91.94,86.9,63.62,91.93,64.85,100,100,100,38.68,38.68,,74.83,53.17,31.5,,88.39
"Croatia",187,76.67,69.2,89.18,94.59,100,,,66.71,100,79.97,59.94,52.77,49.52,14.61,60.78,79.82,98.85,73.55,100
"Azores",55,76.41,82.81,96.45,98.22,100,,,67.58,100,85.91,71.83,55.47,55.47,,63.37,67.91,72.45,,76.95
"Mayotte",29,75.8,53.13,90.18,93.28,96.39,92.81,92.78,51.38,100,100,100,79.91,79.11,0.62,54.48,77.22,99.96,59.92,58.32
"Sweden",222,75.13,96.56,95.22,94.48,93.75,96.09,61.5,65.38,100,100,100,87.62,86.28,3.4,89.84,84.36,78.89,25.69,40.97
