"region_id","region_name","2012","2013","2014","2015","2016","2017","average"
0,"Global average",70.63,71.1,70.97,70.6,69.85,69.97,70.52
1,"Cocos Islands",83.5,85,84.45,82.32,80.61,80.47,82.725
2,"Christmas Island",84.88,85.83,84.82,83.73,82.59,82.7,84.0916666666667
3,"Norfolk Island",83.54,83.4,81.65,81.08,79.87,80.37,81.6516666666667
4,"Macquarie Island",81.45,81.22,82.53,82.93,83.49,83.82,82.5733333333333
5,"New Caledonia",81.95,81.95,83.6,83.75,81.47,81.8,82.42
6,"Vanuatu",69.5,69.49,69.51,72.12,75.43,75.29,71.89
7,"Solomon Islands",64.88,66.01,67.72,69.38,69.3,70.4,67.9483333333333
8,"Palau",72.31,71.63,70.98,68.66,67.88,68,69.91
9,"Micronesia",68.42,68.56,68.36,68.61,68.82,68.73,68.5833333333333
10,"Nauru",72.34,73.08,73.04,72.13,70.49,70.73,71.9683333333333
11,"Marshall Islands",77.56,77.5,76.76,75.71,72.86,72.92,75.5516666666667
12,"Wake Island",73.07,73.59,73.11,71.84,70.77,70.71,72.1816666666667
13,"Northern Mariana Islands and Guam",73.96,74.29,73.97,73.07,72.26,72.49,73.34
14,"Taiwan",67.97,68.15,68.48,67.94,66.56,66.68,67.63
15,"Philippines",56.42,56.38,58.54,60.75,61.52,61.7,59.2183333333333
16,"Australia",81.53,80.9,80.43,79.65,79.09,78.41,80.0016666666667
17,"Papua New Guinea",64.2,63.54,62.07,61.3,61.53,61.62,62.3766666666667
18,"Fiji",70.07,71.39,70.39,70.56,70.58,70.77,70.6266666666667
19,"Tuvalu",68.71,73.38,74.87,76.07,75.49,75.41,73.9883333333333
20,"South Korea",71.47,71.07,73.31,74.47,74.3,74.25,73.145
21,"North Korea",58.13,54.02,53.18,52,51.09,50.84,53.21
24,"Cambodia",62.31,64.44,64.65,65.02,64.45,64.25,64.1866666666667
25,"Thailand",70.78,71.17,71.3,71.94,70.23,70.91,71.055
26,"Andaman and Nicobar",65.34,66.38,66.72,66.97,66.29,66.59,66.3816666666667
28,"Comoro Islands",62.97,63.8,63.93,61.08,59.6,59.05,61.7383333333333
29,"Mayotte",78.89,75.8,71.75,68.71,67.3,67.38,71.6383333333333
30,"Glorioso Islands",73.68,73.82,74.07,73.38,72.05,72.34,73.2233333333333
31,"Seychelles",75.95,77.72,78.21,76.48,75.75,75.95,76.6766666666667
32,"R_union",64.01,65.88,65.8,64.63,63.92,63.76,64.6666666666667
33,"Juan de Nova Island",71.23,71.62,71.99,71.12,69.68,69.97,70.935
34,"Bassas da India",66.51,67.59,67.92,66.93,66.27,65.94,66.86
35,"Ile Europa",79.24,83.38,83.34,78.65,75.73,74.23,79.095
36,"Ile Tromelin",70.57,72.77,72.82,70.52,69.44,68.83,70.825
37,"Mauritius",64.72,66.49,68.03,67.01,66.04,66.77,66.51
38,"British Indian Ocean Territory",73.25,71.47,70.79,71.41,71.14,70.71,71.4616666666667
39,"Maldives",70.76,74.12,77.24,74.89,73.37,71.43,73.635
40,"Sri Lanka",61.26,62.16,63.04,64.13,63.05,63.47,62.8516666666667
41,"Mozambique",64.51,63.68,64.26,65.85,66.68,67.68,65.4433333333333
42,"Madagascar",62.33,62.09,62.26,62.22,61.11,61.78,61.965
43,"Kenya",64.35,64.86,64.56,64.04,60.99,61.28,63.3466666666667
44,"Somalia",57.04,57.57,56.17,50.77,50.44,50.59,53.7633333333333
45,"Eritrea",68.73,60.63,60.75,54.04,50.09,48.48,57.12
46,"Djibouti",68.39,68.41,68.53,66.9,67.66,68.24,68.0216666666667
47,"Yemen",57.14,59.9,61.13,63.57,63.49,63.07,61.3833333333333
48,"Oman",70.74,72.59,71.59,71.05,69.29,70.33,70.9316666666667
49,"Sudan",53.6,53.14,54.09,53.34,52.67,52.41,53.2083333333333
50,"Saudi Arabia",75.96,70.08,67.63,65.94,64.95,65.19,68.2916666666667
51,"Kuwait",71.79,70.34,69.16,70.15,69.16,69.66,70.0433333333333
52,"Bahrain",58.83,57.96,57.44,57.59,57.4,57.57,57.7983333333333
53,"Pakistan",57.35,57.02,51.84,52.32,51.12,51.47,53.52
54,"United Arab Emirates",78.55,78.06,78.93,79.35,76.02,76.55,77.91
55,"Azores",76.07,76.41,75.76,76.37,76.16,76.4,76.195
56,"Cape Verde",67.89,68.22,67.73,67.24,67.33,67.23,67.6066666666667
57,"Madeira",79.09,79.15,78.7,80.08,79.8,80.36,79.53
58,"Canary Islands",66.87,67.05,66.84,66.95,65.89,65.8,66.5666666666667
59,"Belgium",72.71,73.8,74.2,74.11,72.99,72.95,73.46
60,"Gibraltar",68.63,69.55,68.85,70.89,69.78,70.48,69.6966666666667
61,"Tunisia",69.01,67.48,66.95,66.69,63.23,62.28,65.94
62,"Morocco",69.1,69.1,67.74,66.9,65.59,65.61,67.34
63,"Western Sahara",62.99,60.34,60.15,60.19,61.69,61.11,61.0783333333333
64,"Mauritania",53.51,54.07,54.42,55.03,55.51,54.48,54.5033333333333
65,"Gambia",66.24,67.04,67.77,68.16,66.72,66.07,67
66,"Senegal",51.16,51.83,51.99,49.44,49.74,49.89,50.675
67,"Libya",41.94,44.18,43.94,43.81,44.48,43.55,43.65
68,"Malta",79.03,79.34,78.9,78.73,79.57,79.44,79.1683333333333
69,"Latvia",71.69,74.65,76.29,77.44,74.98,73.88,74.8216666666667
70,"Estonia",84.58,86.27,81.32,77.2,73.69,71.69,79.125
71,"Bulgaria",57.87,61.04,63.91,63.94,62.83,60.71,61.7166666666667
72,"Romania",64.79,59.86,60.5,61.29,61.98,63.07,61.915
73,"Russia",72.19,72.92,73.11,73.5,73.12,72.52,72.8933333333333
74,"Georgia",58.78,66.1,69.05,67.33,68.27,68.28,66.3016666666667
75,"Ukraine",69,68.59,65.78,62.02,60.45,60.65,64.415
76,"Turkey",59.25,63.46,62.46,60.74,57.03,56.66,59.9333333333333
77,"Syria",59.44,59.66,58.27,57.89,54.27,54.05,57.2633333333333
78,"Lebanon",49.16,51.41,54.96,52.79,49.18,48.74,51.04
79,"Israel",64.57,64.2,64.22,64.7,63.82,63.3,64.135
80,"Greece",72.88,72.92,72.17,70.3,68.7,68.45,70.9033333333333
81,"Cyprus",55.42,55.36,56.29,58.51,57.21,57.26,56.675
82,"Albania",59.05,58.06,57.55,57.39,57.22,58.03,57.8833333333333
84,"Algeria",53.14,52.89,51.97,51.98,52.24,52.37,52.4316666666667
85,"Ascension",70.68,71.11,73.51,72.77,71.85,71.41,71.8883333333333
86,"Saint Helena",63.01,61.72,61.38,61.18,60.58,60.62,61.415
88,"Tristan da Cunha",71.86,72.7,72.24,71.16,70.66,70.32,71.49
89,"South Georgia and the South Sandwich Islands",82.5,84.61,86.51,87.39,88.04,91.98,86.8383333333333
90,"Prince Edward Islands",69.52,74.29,73.34,72.32,72.59,72.97,72.505
91,"Crozet Islands",81.1,81.64,81.54,80.24,79.89,88.08,82.0816666666667
92,"Amsterdam Island and Saint Paul Island",69.56,70,70.5,70.44,70.7,70.45,70.275
93,"Kerguelen Islands",81.54,82,82.38,81.34,81.06,87.32,82.6066666666667
94,"Heard and McDonald Islands",83.22,83.11,83.14,82.34,81.87,87.35,83.505
95,"Falkland Islands",68.06,67.78,66.9,66.06,65.02,65.17,66.4983333333333
96,"Sierra Leone",44.84,44.96,44.73,44.78,45.68,46.1,45.1816666666667
97,"Liberia",47.37,47.7,47.71,47.66,50.57,50.75,48.6266666666667
98,"Togo",61.06,61.7,61.42,61.17,60.72,60.63,61.1166666666667
99,"Benin",56.9,57.14,57.17,57.05,56.9,57.12,57.0466666666667
100,"Republique du Congo",55.96,49.49,49.37,48.97,49.48,49.49,50.46
101,"Namibia",62.12,63.98,63.79,63.59,62.72,62.52,63.12
102,"South Africa",75.59,77.38,76.77,75.42,74.2,73.69,75.5083333333333
103,"Sao Tome and Principe",61.15,55.91,49.61,53.46,56.75,58.04,55.82
104,"Equatorial Guinea",65.61,64.59,63.41,57.79,54.21,54.11,59.9533333333333
105,"Bouvet Island",60.55,60.33,61.05,62.67,62.55,62.78,61.655
106,"Ghana",62.53,64.97,66.65,65.86,65.61,64.35,64.995
107,"Clipperton Island",74.54,74.67,74.59,73.78,74.42,74.89,74.4816666666667
108,"Bermuda",75.07,72.54,72.86,72.34,69.51,68.79,71.8516666666667
110,"Bahamas",79.39,79.38,77.53,75.68,75.69,75.77,77.24
111,"Turks and Caicos Islands",66.31,66.92,67.3,67.83,70.48,70.47,68.2183333333333
112,"Cuba",69.51,67.38,65.16,64.72,63.63,63.32,65.62
113,"Cayman Islands",76.6,76.95,77.57,77.43,75.95,77.11,76.935
114,"Haiti",57.89,58.78,58.4,58.59,57.81,57.09,58.0933333333333
115,"Dominican Republic",73,73.4,73.91,74.39,71.39,71.38,72.9116666666667
116,"Puerto Rico and Virgin Islands of the United States",71.95,71.56,70.3,70.23,70.01,70.3,70.725
117,"British Virgin Islands",69.97,70.86,71.08,70.82,70.86,70.53,70.6866666666667
118,"Anguilla",71.32,69.92,69.84,69.7,69.08,68.78,69.7733333333333
119,"Saint Kitts and Nevis",66.11,66.4,66.31,66.26,65.75,64.36,65.865
120,"Antigua and Barbuda",79.97,79.68,79.8,80.91,80.34,80.07,80.1283333333333
121,"Montserrat",71.29,72.88,72.64,72.7,72.03,72,72.2566666666667
122,"Saint Lucia",60.59,61.03,60.96,60.41,59.95,59.65,60.4316666666667
123,"Dominica",51.3,53.08,49.58,50.21,50.76,51.59,51.0866666666667
124,"Barbados",56.46,56.14,55.9,55.88,55.21,55.24,55.805
125,"Grenada",60.34,59.37,59.35,58.9,59.17,58.47,59.2666666666667
126,"Trinidad and Tobago",71.49,72.24,72.82,72.31,71.83,71.4,72.015
127,"Saint Vincent and the Grenadines",55.66,56.49,56.09,55.23,55.64,55.83,55.8233333333333
129,"Panama",60.6,61.85,63.02,64.66,65.36,64.05,63.2566666666667
130,"Costa Rica",67.44,65.9,63.96,63.62,62.6,62.9,64.4033333333333
131,"Nicaragua",53.87,50.93,48.44,48.07,47.77,47.79,49.4783333333333
132,"Colombia",63.81,63.02,62.11,61.92,60.56,60.24,61.9433333333333
133,"Honduras",66.17,65.5,66.36,67.14,66.83,67.82,66.6366666666667
134,"El Salvador",55.65,56.81,53.66,53.36,53.08,53.02,54.2633333333333
135,"Mexico",69.78,69.47,68.24,67.3,65.71,66.37,67.8116666666667
136,"Guatemala",66.5,65.91,63.49,63.14,62.19,62.25,63.9133333333333
137,"Ecuador",69.23,71.14,70.73,71.18,70.8,70.48,70.5933333333333
138,"Peru",63.08,61.86,61.47,61.6,61.61,61.33,61.825
139,"Venezuela",59.54,61.39,61.32,61.52,61.6,59.46,60.805
140,"Guadeloupe and Martinique",72.03,72.91,73.02,72.06,71.54,71.64,72.2
141,"Faeroe Islands",59.46,59.97,59.75,59.9,60,60.07,59.8583333333333
143,"Iceland",59.65,60.6,61.01,60.69,59.39,59.83,60.195
144,"Jan Mayen",68.67,68.45,68.31,68.35,68.04,66.79,68.1016666666667
145,"Greenland",74.81,73.49,73.75,73.54,72.96,72.96,73.585
146,"Pitcairn",70.48,71.9,73.43,74.08,78.04,77.9,74.305
147,"French Polynesia",75.68,77.68,78.91,79.07,78.6,78.46,78.0666666666667
148,"Line Islands (Kiribati)",73.44,73.76,75.39,73.87,72.73,73.01,73.7
149,"Jarvis Island",83.8,85.05,84.26,84.16,81.99,83.9,83.86
150,"Palmyra Atoll",82.46,82.56,82.9,82.41,82.3,82.3,82.4883333333333
151,"American Samoa",76.22,77.73,79.19,79.52,78.97,79.07,78.45
152,"Samoa",63.72,66.46,67.91,68.23,72.69,72.94,68.6583333333333
153,"Cook Islands",65.2,67.15,68.34,66.33,65.59,65.35,66.3266666666667
154,"Niue",65.99,66.43,67.44,67.99,67.58,67.23,67.11
155,"Tonga",64.79,64.83,66.29,68.26,70.77,71.11,67.675
156,"Tokelau",67.74,69.07,70.54,71.33,70.96,71.07,70.1183333333333
157,"Phoenix Islands (Kiribati)",83.69,84.11,84.47,83.07,82.17,82.74,83.375
158,"Howland Island and Baker Island",87.2,87.42,87.63,87.55,87.58,87.69,87.5116666666667
159,"Johnston Atoll",71.2,71.79,71.17,71.13,71.07,70.93,71.215
161,"Wallis and Futuna",72.71,74.28,75.92,76.68,75.89,75.89,75.2283333333333
162,"New Zealand",77.78,77.49,76.03,74.99,73.76,76.62,76.1116666666667
163,"United States",72.55,73.46,73.48,71.38,68.9,68.05,71.3033333333333
164,"Belize",67.49,66.17,65.7,66.1,66.47,66.5,66.405
166,"Jamaica",60.5,60.63,58.63,58.59,58.54,58.93,59.3033333333333
167,"Guyana",64.87,65.75,64.16,63.79,63.11,63.07,64.125
168,"Suriname",73.61,74.7,74.69,75.53,75.29,75.26,74.8466666666667
169,"French Guiana",71.39,71.86,71.67,71.42,71.24,71.38,71.4933333333333
171,"Brazil",68.31,68.99,68.06,67.2,66.23,66.12,67.485
172,"Argentina",72.54,70.35,69.3,68.28,66.82,66.38,68.945
173,"Uruguay",64.03,62.64,61.93,61.27,60.76,61.02,61.9416666666667
174,"Finland",79.42,81.32,81.66,79.03,76.03,74.33,78.6316666666667
175,"Denmark",73.54,74.21,73.93,74.17,74.26,74.19,74.05
176,"Germany",82.1,82.13,82.01,81.95,81.67,81.6,81.91
177,"Netherlands",72.66,72.62,72.01,72.1,71.17,71.81,72.0616666666667
178,"Poland",68,68.96,69.17,71.05,71.31,70.95,69.9066666666667
179,"France",72.4,73.05,71.68,71.08,69.6,70.23,71.34
180,"United Kingdom",67.88,68.99,69.36,72.67,71.06,72.19,70.3583333333333
181,"Ireland",67.08,67.63,67.1,68.3,68.55,68.26,67.82
182,"Spain",65.95,65.35,65.81,65.89,65.42,65.74,65.6933333333333
183,"Portugal",72.19,71.75,70.87,70.65,70.07,70.7,71.0383333333333
184,"Italy",75.79,77.5,78,78.35,77.65,77.71,77.5
185,"Monaco",67.23,67.43,66.42,66.09,63.92,63.93,65.8366666666667
186,"Montenegro",51.52,51.24,51.92,53.8,53.36,54.27,52.685
187,"Croatia",72.56,76.67,76.05,76.22,74.81,74.68,75.165
188,"Slovenia",71.27,70.92,71.07,70.11,68.79,68.33,70.0816666666667
189,"Lithuania",70.25,70.91,70.82,64.52,64.57,63.96,67.505
190,"Qatar",64.41,68.08,70.08,71.26,70.84,71.63,69.3833333333333
191,"Iran",67.52,70.03,70.05,69.85,69.48,69.95,69.48
192,"Iraq",53.96,56.09,56.19,56.3,55.21,55.3,55.5083333333333
193,"Guinea Bissau",47.95,49.26,48.88,49.05,48.75,48.88,48.795
194,"Guinea",47.43,47.25,46.48,46.4,46.44,46.79,46.7983333333333
195,"Ivory Coast",43.55,42.54,42.58,42.54,41.61,41.83,42.4416666666667
196,"Nigeria",53.65,55.71,53.87,53.83,54.32,54.83,54.3683333333333
197,"Cameroon",63.36,63.56,62.66,62.36,62.38,62.51,62.805
198,"Gabon",59.48,61.86,61.03,60.51,60.84,60.98,60.7833333333333
199,"Democratic Republic of the Congo",46.41,46.62,46.65,46.91,46.65,46.31,46.5916666666667
200,"Angola",52.46,52.64,52.87,53.1,53,53.25,52.8866666666667
202,"Tanzania",67.9,68.43,68.85,69.39,68.96,69.67,68.8666666666667
203,"India",63.18,65.06,65.34,65.5,65.04,64.6,64.7866666666667
204,"Bangladesh",67.36,68.18,68.88,68.64,68.73,68.76,68.425
205,"Myanmar",55.8,60.98,61.59,63.98,64.28,64.92,61.925
206,"Malaysia",68.1,66.2,66.54,66.65,65.26,65.28,66.3383333333333
207,"Vietnam",60.76,62.62,64.47,64.72,64.02,63.26,63.3083333333333
208,"Singapore",58.56,59.34,59.81,60.31,58.95,58.95,59.32
209,"China",62.97,64.02,64.52,63.91,62.61,62.44,63.4116666666667
210,"Japan",72.76,73.32,72.85,72.43,71.3,71.46,72.3533333333333
212,"Gilbert Islands (Kiribati)",74.54,73.2,72.53,71.4,67.49,67.81,71.1616666666667
213,"Antarctica",NA,NA,NA,NA,NA,NA,NA
214,"Egypt",69.76,69.96,70.57,70.21,69.33,67.89,69.62
215,"Jordan",66.98,68.08,67.51,64.83,63.79,61.77,65.4933333333333
216,"Indonesia",62.92,63.93,63.96,64.21,63.6,63.57,63.6983333333333
218,"Canada",70.48,69.89,69.1,68.96,68.12,68.23,69.13
219,"Saint Pierre and Miquelon",70.93,69.89,69.16,68.2,68.91,68.52,69.2683333333333
220,"Sint Maarten",84.31,82.76,76.12,75.02,74.07,73.62,77.65
221,"Northern Saint-Martin",83.36,83.79,83.75,83.61,83.5,83.2,83.535
222,"Sweden",75.01,75.13,74.93,71.88,70.01,68.88,72.64
223,"Norway",79.4,79.82,77.54,76.28,75.19,74.98,77.2016666666667
224,"Chile",72.55,72.74,70.92,71.18,70.95,71.26,71.6
227,"Jersey",68.38,68.34,67.96,67.61,67.15,67.62,67.8433333333333
228,"Guernsey",61.4,61.92,61.87,63.01,62.4,62.72,62.22
231,"East Timor",60.61,60.44,60.71,61.04,60.66,60.92,60.73
232,"Bosnia and Herzegovina",48.13,49.65,49.26,48.82,48.18,48.83,48.8116666666667
237,"Oecussi Ambeno",61.01,61.89,62.28,62.43,62.73,63.02,62.2266666666667
244,"Curacao",75.05,78.05,78.2,77.98,77.87,77.14,77.3816666666667
245,"Bonaire",81.31,80.19,74.24,73.09,72.24,72.21,75.5466666666667
247,"Brunei",67.69,63.68,63.33,63.45,63.28,63.42,64.1416666666667
248,"Saba",82.83,81.8,75.73,74.51,73.54,73.45,76.9766666666667
249,"Sint Eustatius",78.96,78.57,72.42,71,70.11,70,73.51
250,"Aruba",81.54,81.63,81.6,80.92,80.55,80.67,81.1516666666667
