"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,-0.19,0.16,0.03,0.07,0.12,-0.22,0.01,-0.11,0.92,0.51,0.09,-0.46,-0.39,0.31,-0.06,0.05,0.15,-1.4,-1.23
"Bouvet Island",105,2.42,0.22,0,2.34,4.68,,,0,,,,0.21,0.22,,0.01,0,0,,
"Macquarie Island",4,2.08,0.15,0,0.25,0.51,,,-0.28,,,,2.65,2.87,,-0.09,-0.04,0,,
"Prince Edward Islands",90,1.92,0.33,0.14,-0.05,-0.25,,,-2.28,,,,0.4,0,,0.09,3.21,6.32,,
"Samoa",152,1.86,0.1,0.1,0.05,0,0,0.15,0.62,1.79,0.91,0.04,-1.23,-1.23,0,-0.19,-0.1,0,14.63,3.46
"South Georgia and the South Sandwich Islands",89,1.74,0.08,0,1.45,2.89,,,0,,,,7.12,5.31,,-0.53,-0.26,0,,
"Myanmar",205,1.65,0.46,0.17,0.12,0.07,0.21,0.24,-1.31,2.74,1.37,0,0.81,0.8,-0.62,0.59,0.44,0.28,10.66,3.55
"Pitcairn",146,1.6,0.24,0.25,0.12,0,0,,0.03,2.87,1.46,0.04,-0.24,-0.24,,-0.65,7.8,16.25,,3.43
"Georgia",74,1.49,0.43,0.13,0.06,0,,,-0.58,4.95,2.48,0,-2.52,-2.52,,0.09,0.06,0.03,7.74,4.28
"Tonga",155,1.47,0.03,0.1,0.07,0.04,0.05,0.04,1.66,3.49,1.74,0,-0.13,-0.14,0.01,0.24,0.12,0,7.82,3.27
"Vanuatu",6,1.41,-0.05,-0.07,-0.02,0.02,-0.09,-0.05,-0.3,0,0,0,0.32,0.32,-0.02,-0.6,-0.3,0,14.61,0
"Qatar",190,1.3,0,-0.04,-0.02,0,0,-0.13,-0.25,5.9,2.96,0.01,0.5,0.5,0,-0.49,-0.24,0,,8.89
"Philippines",15,1.26,0.4,0.11,0.4,0.69,0.17,0.14,0.24,0.81,-0.18,-1.16,0.55,0.3,-0.18,0.04,0.17,0.29,10.24,0.68
"Yemen",47,1.22,-0.43,-0.07,-0.04,0,0,-0.14,1.72,2,1,0,-0.35,-0.35,-0.01,-0.3,-0.15,0,10.62,0
"Tuvalu",19,1.17,0.06,0.01,0,0,0,,1.09,10.03,5.02,0,0.02,0.02,-0.01,-0.15,-0.07,0,,3.26
"Kerguelen Islands",93,1.12,0.16,0,0,0,,,0,,,,3.28,-1.24,,0.27,0.13,0,,
"Solomon Islands",7,1.12,0.03,0.06,0.14,0.22,0.15,0.09,3.05,0,0,0,0.38,0.38,0,0.14,0.07,0.01,10.69,-3.41
"Turks and Caicos Islands",111,0.91,0.13,-0.03,0.14,0.32,-0.08,-0.08,-0.09,0.33,0.24,0.15,-0.03,-0.03,0,-0.14,-0.09,-0.04,9,0
"United Kingdom",180,0.89,0.2,0.23,1.27,2.31,8.99,0.01,0.5,0.77,-0.15,-1.08,-0.84,-0.8,-0.32,0.33,0.16,0,1.06,-2.38
"Crozet Islands",91,0.88,0.16,0,0,,,,0.01,,,,3.75,-2.34,,0.27,0.13,0,,
"Heard and McDonald Islands",94,0.84,0.05,0,0,0,,,0,,,,2.26,-1.78,,-0.02,-0.01,0,,
"Panama",129,0.84,1.03,0.04,0.1,0.15,-0.04,0,0.6,0.06,0.03,0,1.4,1.04,0.87,-0.14,-0.07,0.01,0.55,5.17
"Mozambique",41,0.76,-0.01,-0.11,-0.16,-0.2,-0.16,0,0.23,0,0,0,0.62,0.66,-0.02,-0.18,-0.74,-1.29,7.52,0.22
"Liberia",97,0.73,-0.01,0,0,0,-0.01,-0.01,0.27,0,0,0,0.58,0.58,,-0.35,-0.18,-0.01,,5.92
"South Korea",20,0.71,0.23,-0.01,0,0,,,-0.74,0,0.16,0.31,0.72,0.39,-0.67,0.31,-0.1,-0.51,7.01,-1.29
"Poland",178,0.67,0.51,0.02,-2.23,-4.49,0,0.01,0.01,0,0.19,0.38,0.2,0.2,,0,0,0,8.09,-0.03
"Tokelau",156,0.66,0.07,0.07,0.07,0.07,0.11,0,0.63,2.89,1.47,0.04,0.33,0.33,,-0.26,-0.13,0,,3.4
"Montenegro",186,0.63,0.37,0,0,0,,,0.18,-0.35,-0.18,-0.02,-0.18,-0.06,-0.18,0.96,0.54,0.11,0.09,4.09
"Wallis and Futuna",161,0.61,0.03,0,-0.03,-0.06,0,,0.19,2.88,1.46,0.04,0.25,0.25,,-0.89,-0.44,0,,3.45
"Bulgaria",71,0.56,0.48,-0.04,-0.03,-0.02,,,-0.03,0,-0.01,-0.02,-0.76,-0.79,3.99,-0.03,-0.01,0,6.46,-1.6
"American Samoa",151,0.52,0.07,0.06,0.03,0,0.17,0.12,-0.01,2.93,1.46,0,-0.4,-0.4,,-0.18,-0.07,0.05,,3.33
"Cyprus",81,0.48,-0.19,-0.07,-0.03,0,,,0.74,0,-0.34,-0.67,-0.22,0.35,0.09,0.84,0.41,-0.01,0,2.92
"French Polynesia",147,0.48,0.03,0,0,0,0,-0.04,-0.15,4.99,2.5,0,-0.51,-0.55,-2.99,0.13,0.06,0,-0.53,3.48
"Vietnam",207,0.48,0.32,0.04,-0.05,-0.14,0.03,0.04,0.52,2.01,1.04,0.08,1.01,0.64,3.12,-0.33,-0.12,0.09,4.5,-2.07
"Sri Lanka",40,0.42,0.5,0.04,0.02,0,0,0.02,0.86,3.79,-1.73,-7.25,0.68,0.65,0.04,0.61,0.25,-0.11,-0.35,4.02
"Latvia",69,0.38,1.24,0.1,-1.03,-2.16,-10.55,0.03,-0.37,0,1.73,3.46,0.19,0.19,,0,0,0,14.87,-2.35
"Honduras",133,0.37,0.13,0.01,-0.01,-0.03,0,0.07,-0.65,0,0.21,0.42,-0.89,-0.02,1.1,-0.23,0.82,1.86,4.21,-1.03
"Oecussi Ambeno",237,0.36,0.34,0.02,-0.29,-0.6,-0.05,0.04,1.64,2.07,0.88,-0.31,1.08,1.08,,-0.14,-0.06,0.03,,-0.3
"Gibraltar",60,0.34,0.47,0.03,0.75,1.47,,,0.2,-0.02,-0.01,0,0.67,0.67,,0.15,0.07,0,,0.23
"Suriname",168,0.31,-0.57,-0.05,-0.02,0,0,0,2.32,2.52,1.04,-0.43,0.56,0.56,0.02,0.09,0.04,0,0.01,-0.3
"Tanzania",202,0.31,0.05,-0.05,0.06,0.18,-0.13,-0.06,1.31,0,0,0,0.99,0.98,0,-0.05,-0.03,0,-0.63,1.56
"Italy",184,0.3,-0.21,0,0,0,0,0,-0.45,0,0.29,0.58,-0.34,-0.39,0.23,0.62,0.31,0,3.46,-0.05
