"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Howland Island and Baker Island",158,87.63,86.46,89.03,88.3,87.57,100,,96.55,,,,75.68,75.68,,57.53,78.77,100,,
"South Georgia and the South Sandwich Islands",89,86.51,90.39,94.01,94.43,94.86,,,98.89,,,,64.51,64.51,,68.66,84.33,100,,
"Christmas Island",2,84.82,96.59,96.15,94.86,93.56,93.12,92.76,81.57,100,96.35,92.69,67.09,67.09,,58.9,57.21,55.51,,83.82
"Phoenix Islands (Kiribati)",157,84.46,61.13,88.71,88.01,87.32,100,,96.79,68.63,74.43,80.22,79.95,79.95,,62.09,81.05,100,,94.35
"Cocos Islands",1,84.45,96.59,96.47,96.01,95.54,97.62,92.76,88.84,100,96.35,92.69,69.09,69.09,,75.37,37.69,0,,85.13
"Jarvis Island",149,84.26,93.63,90.47,77.03,63.58,,,97.85,,,,73.9,73.9,,57.8,78.9,100,,
"Northern Saint-Martin",221,83.75,87.21,97.7,97.17,96.65,95.26,100,52.75,85.52,90.97,96.41,41.51,41.51,,77.74,88.87,100,,100
"New Caledonia",5,83.6,65.45,89.92,88.91,87.9,76.78,78.67,89.69,92.61,96.31,100,72.86,67.26,11.89,68.65,78.57,88.49,97.25,97.09
"Ile Europa",35,83.34,53.69,91.61,92.2,92.79,92.79,,89.78,,,,88.15,88.15,,66.84,83.42,100,,
"Heard and McDonald Islands",94,83.14,90.52,94.49,97.24,100,,,99.71,,,,55.8,55.8,,44.88,72.44,100,,
"Palmyra Atoll",150,82.9,93.63,89.9,91.64,93.37,77.65,,90.34,,,,65.39,65.39,,57.47,78.73,100,,
"Macquarie Island",4,82.53,96.59,93.55,95.61,97.67,,,98.57,,,,34.35,34.35,,75.06,87.53,100,,
"Kerguelen Islands",93,82.38,89.49,92.57,96.28,100,,,98.78,,,,51.31,51.31,,52.1,76.05,100,,
"Germany",176,82,96.88,95.3,93.34,91.37,93.26,100,51.28,100,91.85,83.69,40.35,39.25,10.04,90.17,95.09,100,61.5,97.6
"Finland",174,81.66,95.34,92.95,96.47,100,96.62,,71.48,100,84.59,69.19,96,89.71,15.15,95.83,81.42,67,96,23.29
"Norfolk Island",3,81.65,96.59,95.45,97.72,100,,,78,100,96.35,92.69,24.48,24.48,,88.87,94.44,100,,84
"Aruba",250,81.6,92.92,97.31,97.63,97.95,99.99,99.95,62.33,100,100,100,38.4,38.4,0,86.32,43.16,0,,100
