"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,72.31,76.97,82.15,86.38,90.63,86.84,79.34,70.29,87.92,82.5,77.08,58.04,53.1,6.85,68.79,63.26,57.73,72.03,52.92
"Howland Island and Baker Island",158,93.65,,75.83,86.88,97.93,100,,97.91,,,,93.9,93.9,,70.78,85.39,100,97.82,
"Heard and McDonald Islands",94,91.36,,91.3,95.47,99.64,,,99.71,,,,90.45,90.45,,83.75,91.87,100,79.31,
"Germany",176,87.77,98.37,86.65,88.72,90.79,100,100,51.04,100,91.94,83.88,63.44,65.42,70.13,92.78,96.39,100,92.75,93.06
"Kerguelen Islands",93,86.55,,89.49,94.7,99.9,,,98.78,,,,82.79,82.79,,55.88,77.94,100,78.54,
"Jan Mayen",144,86.28,,80.94,60.99,41.03,,,92.58,90.64,88.19,85.75,86.96,86.96,,81.3,90.65,100,98.32,
"Jarvis Island",149,86.03,,74.64,83.48,92.32,98.21,,98.38,,,,72.69,72.69,,71.11,85.55,100,77.88,
"Greenland",145,85.98,97.29,87.24,90.27,93.31,94.69,,94.44,100,100,100,74.25,74.25,0,70.51,84.95,99.39,95.61,42.35
"Seychelles",31,85.86,76.18,84.27,90.91,97.56,87.6,100,78.73,69.97,84.98,100,81.11,81.11,0,67.44,74.82,82.21,84.23,100
"Clipperton Island",107,85.24,,71.74,85.76,99.78,100,,86.17,,,,96.9,96.9,,70.27,70.18,70.09,72.43,
"South Georgia and the South Sandwich Islands",89,85.19,,90.66,95.31,99.97,,,98.89,,,,66.84,66.84,,72.13,86.07,100,78.83,
"Estonia",70,84.1,92.47,92.6,93.68,94.76,100,100,66.12,100,75.71,51.42,81.04,81.04,0,95.45,97.73,100,94.9,39.31
"Glorioso Islands",30,83.96,,86.47,90.52,94.57,92.79,,92.25,96.7,95.05,93.4,55.35,55.35,,55.57,77.78,100,,
"Saba",248,83.93,76.47,92.94,96.46,99.98,100,100,68.37,80.23,72.9,65.57,44.68,44.68,0,76.19,83.1,90.01,97.34,100
"Aruba",250,83.66,91.7,85.78,91.87,97.95,99.99,99.95,56.85,100,100,100,51.39,51.39,,80.96,46.4,11.84,98.48,100
"Ile Europa",35,82.98,,80.98,86.88,92.79,92.79,,93.78,,,,63.89,63.89,,55.08,77.54,100,,
"United Arab Emirates",54,82.2,100,89.82,93.85,97.88,93.21,91.74,68.3,100,100,100,73.3,69.44,0.41,63.31,71.37,79.44,77.52,56.53
"Norway",223,81.7,100,81.92,87.26,92.59,53.41,,77.06,78.96,82.3,85.63,83.14,90.67,100,70.75,80.08,89.41,99.6,64.94
"Northern Saint-Martin",221,81.46,86.24,94.24,95.43,96.61,94.21,100,45.17,85.98,91.17,96.36,40.06,40.06,0,76.46,88.23,100,77.07,97.07
"New Caledonia",5,81.07,67.04,86.81,87.47,88.12,76.82,78.83,78.52,92.61,96.3,100,85.28,61.3,0.15,68.45,75.98,83.52,99.99,88.43
"Madeira",57,80.95,87.69,76.79,76.93,77.07,,,71.53,94.88,83.46,72.04,66.3,66.3,0,72.63,86.31,100,92.58,82.76
"Curacao",244,80.92,77.02,83.5,90.21,96.93,99.96,90.1,67.93,80.41,73.12,65.82,56.13,56.13,,72.38,56.2,40.02,98.55,100
"Christmas Island",2,80.74,96.91,80.55,88.84,97.12,93.39,92.76,80.47,100,96.35,92.7,52.75,52.75,0,71.79,63.71,55.62,54.28,87.91
"Netherlands",177,80.48,99.27,84.85,80.35,75.84,100,100,45.5,80.5,67.11,53.72,66.76,81.52,100,81.42,90.71,100,73.94,66.36
"Pitcairn",146,80.42,73.43,79.63,89.82,100,100,,82.61,72.67,80.98,89.28,97.8,97.8,0,76.74,73.87,71,39.3,85.96
"Bahamas",110,79.98,92.95,87.34,86.45,85.56,54.62,99.71,62.32,96.38,83.25,70.11,78.47,78.41,0,74.26,83.16,92.06,58.98,100
"Denmark",175,79.72,99.44,87.12,91.38,95.64,100,100,52.6,71.92,71.25,70.59,64.17,67.28,92.78,93,96.5,100,91.31,27.39
"Turks and Caicos Islands",111,79.67,85.75,83.03,85.18,87.33,68.81,73.82,62.87,95.47,95.12,94.78,71.26,71.23,0,76.4,68.54,60.68,86.61,98.83
"Crozet Islands",91,79.61,,87.91,87.91,,,,96.69,,,,96.3,96.3,,55.84,77.92,100,39.24,
"Italy",184,79.52,94.03,70.62,81.91,93.2,85.65,85.04,50.03,100,87.16,74.32,49.35,62.93,78.05,76.55,87.75,98.96,74.73,85.92
"New Zealand",162,79.38,95.95,86.59,87.97,89.35,68.87,64.88,78.51,100,100,100,73.48,57.34,2.18,62.61,63.9,65.19,76.43,100
"Malta",68,79.3,93.94,67.48,81.36,95.23,88.62,88.72,41.13,100,88.9,77.79,56.9,63.95,70.83,67.81,83.9,100,62.52,100
"Bouvet Island",105,79.24,,90.51,95.25,100,,,98.91,,,,77.79,77.79,,90,45,0,,
"Slovenia",188,79.21,91.95,84.15,91.4,98.65,,,28.41,100,100,100,42.37,99.65,100,74.18,87.09,100,93.71,41.52
"Cocos Islands",1,78.92,96.91,79.32,88.36,97.39,97.74,92.76,83.32,100,96.35,92.7,60.76,60.76,0,73.6,36.8,0,47.7,88.51
"Greece",80,78.81,85.31,71.49,85.35,99.2,,,58.68,66.58,64.69,62.79,53.74,75.44,90.79,76.62,87.52,98.41,73.47,100
"Mayotte",29,78.77,54.93,85.95,91.13,96.32,92.8,92.78,52.69,100,100,100,85.88,81.48,0.14,63.23,79.93,96.63,86.71,55.24
"Finland",174,78.72,96.23,92.7,90.66,88.62,,,70.07,100,84.56,69.13,70.2,84.41,100,96.15,82.66,69.16,96.75,24.39
"Australia",16,78.69,97.86,92.05,93.26,94.46,89.39,92.92,80.5,100,95.62,91.23,40.52,27.94,0.14,87.97,93.99,100,57.32,58.06
"Prince Edward Islands",90,78.68,,84.83,91.85,98.86,,,84.78,,,,54.7,54.7,,66.81,83.4,100,,
"Uruguay",173,78.65,84.23,75.48,86.86,98.25,,,57.27,100,100,100,39.2,39.2,0,67.72,83.16,98.59,94.69,83.81
"Saint Kitts and Nevis",119,78.58,86.57,88.43,91.18,93.93,80.74,99.82,56.17,82.06,58.59,35.11,34.46,34.46,0,74.1,85.56,97.02,92.72,100
"Iceland",143,78.56,99.35,82.2,69.89,57.58,,,79.43,43.87,64.45,85.03,75.39,73.24,1.06,75.5,57.8,40.09,95.93,88.37
"Johnston Atoll",159,78.05,,74.66,82.75,90.84,75.54,,75.24,,,,79.15,79.15,,70.32,85.16,100,70.48,
"Croatia",187,77.97,75.37,77.89,88.69,99.49,,,64.27,100,80.32,60.63,41.9,38.35,30.5,70.28,84.48,98.68,92.29,100
"South Korea",20,77.95,95.83,90.55,94.78,99.01,,,59.9,100,94.78,89.56,24.97,91.64,100,69.12,82.58,96.05,89.53,14.53
"Tonga",155,77.81,71.51,76.99,87.25,97.52,95.58,87.55,67.11,99.63,99.81,100,42.23,41.42,0.03,63.04,46.45,29.87,95.73,85.66
"Portugal",183,77.38,90.66,75.72,86.66,97.6,,,52.28,100,93.38,86.77,56.23,53.41,27.33,67.86,83.93,100,63.44,95.31
"Antigua and Barbuda",120,77.36,77.86,82.96,85.95,88.93,78.23,99.94,61.97,88.21,94.1,100,38.44,38.44,0,75.72,77.24,78.77,68.44,91.44
"American Samoa",151,77.33,85.57,75.49,86.66,97.82,95.34,93.96,56.12,72.58,85.89,99.2,56.88,56.88,0,62.25,65.45,68.65,60.97,86.41
"Belgium",59,77.32,97.48,86.84,92.91,98.98,100,100,32.01,100,81.73,63.46,66.84,66.84,0,80.25,90.12,100,86.75,25.34
"Wake Island",12,77.31,,74.14,76.46,78.79,76.25,,71.1,69.19,73.21,77.24,86.15,86.15,,70.25,85.13,100,72.85,
"Amsterdam Island and Saint Paul Island",92,77.16,,79.41,89.7,99.98,,,90.85,,,,88.38,88.38,,55.52,77.76,100,39.1,
"Sweden",222,77.07,97.97,91.26,89.17,87.08,58.13,61.5,63.5,100,100,100,76.24,75.91,72.45,93.33,89.46,85.59,94.61,40.44
"Qatar",190,77.01,100,89.06,93.4,97.74,95.26,90.31,62.29,81.38,68.29,55.19,69.32,69.32,0,67.5,71.63,75.76,58.87,60.76
"Oman",48,76.95,73.99,82.71,89.96,97.21,99.23,91.25,69.24,100,100,100,65.26,65.23,0.01,61.1,38.79,16.48,94.59,47.24
"Norfolk Island",3,76.83,96.91,83.57,91.7,99.83,,,75.72,100,96.35,92.7,40.54,40.54,0,77.72,88.86,100,37.24,87.35
"Tuvalu",19,76.75,47.54,74.06,86.97,99.88,100,,52.55,100,100,100,91.21,91.19,0,59.2,31.46,3.71,96.14,84.88
"Georgia",74,76.47,77.25,90.35,95.09,99.83,,,55.23,100,99.53,99.06,71.2,71.2,0,67.03,44.71,22.4,83.32,85.42
"Juan de Nova Island",33,75.96,,83.68,89.7,95.73,92.79,,91.93,96.7,95.05,93.4,58.79,58.79,,55.02,27.51,0,,
"Sint Eustatius",249,75.89,75.84,91.57,94.46,97.36,100,100,55.67,80.16,72.82,65.49,35.56,35.56,0,75.1,66.16,57.23,58.36,100
"Canada",218,75.8,97.23,87.67,90.69,93.71,97.34,54.93,94.13,100,90.6,81.21,62.53,48.8,1.16,65.9,54.4,42.9,78.48,51.39
