"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.58,77.05,83.97,87.58,91.21,86,79.24,70.17,87.88,82.45,77.01,54.94,51.53,6.12,66.35,64.07,61.79,50.96,52.36
"Heard and McDonald Islands",94,95.41,,91.47,95.73,100,,,99.71,,,,91.2,91.2,,90,95,100,,
"Howland Island and Baker Island",158,92.85,,78.67,89.33,100,100,,97.9,,,,94.65,94.65,,64.77,82.38,100,,
"Kerguelen Islands",93,90.49,,90.05,95.02,100,,,98.78,,,,90.6,90.6,,55.14,77.57,100,,
"Crozet Islands",91,87.87,,88.39,88.39,,,,96.77,,,,88.75,88.75,,55.09,77.55,100,,
"Amsterdam Island and Saint Paul Island",92,86.71,,81.03,90.51,100,,,90.92,,,,88.02,88.02,,54.81,77.4,100,,
"Germany",176,86.44,96.86,84.81,88.04,91.26,100,100,50.96,100,91.93,83.85,65.89,69.21,96.4,93.24,96.62,100,77.8,93
"Glorioso Islands",30,85.38,,88.87,91.38,93.9,92.79,,92.32,96.7,95.05,93.4,63.3,63.3,,54.85,77.43,100,,
"Clipperton Island",107,85.02,,75.63,87.81,100,,,86.23,,,,96.7,96.7,,68.56,69.34,70.13,,
"Seychelles",31,84.32,77.34,86.2,91.9,97.6,86.31,100,78.44,69.61,84.81,100,81.07,81.07,0,62.52,61.21,59.9,82.11,100
"Greenland",145,83.73,96.84,85.9,89.71,93.52,93.86,,94.44,100,100,100,68.29,68.29,0,67.03,83.18,99.34,,43.54
"Bahamas",110,83.51,89.27,90.6,87.91,85.21,55.23,99.71,61.77,96.38,83.05,69.73,78.16,78.12,0,71.75,80.11,88.47,99.95,100
"Jarvis Island",149,83.28,,77.6,84.49,91.39,,,98.38,,,,67.72,67.72,,65.07,82.53,100,,
"Christmas Island",2,83.19,96.52,83.93,89.3,94.68,93.12,92.76,80.23,100,96.35,92.7,54.21,54.21,0,62.54,59,55.46,,87.18
"Pitcairn",146,83.16,73.15,81.8,90.9,100,100,,82.1,72.37,80.83,89.28,80.13,80.13,0,76.52,73.67,70.83,,84.5
"South Georgia and the South Sandwich Islands",89,83.12,,90.97,95.18,99.39,,,98.89,,,,52,52,,72.79,86.39,100,,
"Ile Europa",35,83.02,,85.02,88.9,92.79,92.79,,93.78,,,,62.41,62.41,,54.42,77.21,100,,
"Norfolk Island",3,82.48,96.52,86.26,93.13,100,,,75.49,100,96.35,92.7,41.19,41.19,0,75.53,87.76,100,,86.89
"Palmyra Atoll",150,81.82,,76.24,84.45,92.65,76.28,,92.87,,,,73.21,73.21,,64.61,82.31,100,,
"United Arab Emirates",54,81.8,100,89.04,93.52,98,93.13,91.71,68.27,100,100,100,63.46,59.59,0.29,61.83,70.22,78.6,81.67,59.88
"New Caledonia",5,81.22,66.11,88.59,88.3,88.02,76.83,78.71,78.35,92.61,96.3,100,87.22,64.39,0.07,66.74,74.11,81.47,95.67,93.44
"Cocos Islands",1,80.92,96.52,83.77,90.68,97.59,97.62,92.76,83.03,100,96.35,92.7,50.63,50.63,0,66.09,33.05,0,,87.63
"Italy",184,80.7,92.64,72.16,82.83,93.5,85.65,85.04,49.98,100,87.06,74.13,48.87,62.59,87.03,69.61,84.8,100,93.1,83.27
"Northern Saint-Martin",221,80.21,87.13,94.78,95.72,96.65,95.26,100,45.03,85.52,90.94,96.36,21.6,21.6,0,72.36,86.18,100,,100
"Johnston Atoll",159,80.19,,76.85,84.68,92.51,76.05,,75.24,,,,82.82,82.82,,64.33,82.17,100,,
"Portugal",183,79.87,88.75,78.61,87.91,97.21,,,52.3,100,93.38,86.77,57.4,55.39,23.63,67.37,83.69,100,81.72,95.83
"French Polynesia",147,79.86,65.41,81.29,89.44,97.59,99.57,91.06,84.47,46.14,73.07,100,83.18,78.65,0.3,62.97,31.49,0,97.84,87.58
"Antigua and Barbuda",120,79.61,82.57,87.53,88.14,88.76,80.97,99.94,61.63,87.84,93.92,100,34.47,34.47,0,71.5,75,78.5,,99.84
"British Indian Ocean Territory",38,79.57,58.64,89.27,94.63,100,100,,93.27,96.98,77.04,57.1,89.08,89.08,0,67.67,83.83,100,,40.09
"American Samoa",151,79.33,85.33,77.91,87.87,97.82,95.13,93.73,55.58,72.41,85.81,99.2,66.4,66.4,0,58.13,63.32,68.51,,80.76
