"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,0.1,0.19,-0.24,-0.12,0.01,-0.28,0.02,0.14,0.44,0.24,0.05,-0.41,-0.36,0.09,-0.22,0.26,0.74,0.54,0.41
"Norfolk Island",3,1.6,0.15,0.08,0.03,-0.02,,,-0.01,0.02,0.14,0.25,0.06,0.06,0,-0.59,5.86,12.32,5.04,1.55
"Papua New Guinea",17,1.51,0.16,-0.24,-0.12,0,0.04,0.04,0.63,0.25,0.13,0,-0.36,-0.36,0,-0.49,-0.24,0,14.49,0.36
"Madagascar",42,1.28,0.08,-0.17,0.05,0.27,0.03,0.07,-0.61,0,-0.58,-1.15,-0.08,-0.12,0.01,0.02,1.74,3.47,11.69,0.49
"Indonesia",216,1.07,0.51,-0.2,0.13,0.47,0.17,0.16,0.26,2.07,0.53,-1.01,-0.39,-0.62,0.46,-0.36,0.77,1.89,7.28,1.51
"Saint Kitts and Nevis",119,0.95,0.46,-0.4,-0.21,-0.01,-0.1,0.04,0.09,0.65,-0.14,-0.93,-0.27,-0.27,0,-0.65,5.73,12.12,3.88,0
"Pitcairn",146,0.93,0.25,-0.15,-0.07,0,0,,-0.13,1.3,0.66,0.02,-0.09,-0.09,0,-0.83,4.94,10.71,-0.23,3.06
"Solomon Islands",7,0.87,0.04,-0.24,-0.17,-0.11,0.07,0.08,2.02,0,0,0,-0.32,-0.32,0,-0.47,-0.23,0.01,4.82,2.39
"New Caledonia",5,0.84,0.21,-0.13,-0.01,0.12,0.02,0.09,-1.95,0.12,0.06,0,-0.29,-0.94,0,-0.09,0.86,1.82,9.9,0.19
"Cook Islands",153,0.83,0.46,-0.06,0.27,0.6,0.36,0.26,1.7,1,0.57,0.14,-0.05,-0.11,0.01,-0.66,7.98,16.61,-6.4,3.27
"Bassas da India",34,0.79,,-0.23,-0.12,-0.01,0,,0.03,,,,-0.93,-0.93,,0.69,0.34,0,10.39,
"Wallis and Futuna",161,0.79,0.12,-0.38,-0.19,0,0,,1.37,1.38,0.7,0.02,-0.36,-0.36,0,-0.98,-0.49,0,2.73,3.2
"Oecussi Ambeno",237,0.78,0.38,-0.2,0.18,0.56,0.08,0.08,1.31,1.07,0.5,-0.07,-0.28,-0.28,0,-0.44,2.55,5.54,2.01,1.03
"Croatia",187,0.77,1.17,-0.35,-0.18,0,,,-0.24,0,0,-0.01,3.42,2.84,1.67,-0.28,2.03,4.35,-0.53,1.09
"Cambodia",24,0.72,0.22,-0.2,0.02,0.24,0.07,0.08,0.62,0.15,0.07,-0.01,-0.02,-0.22,0.13,-0.87,-0.41,0.04,5.47,1.3
"Clipperton Island",107,0.71,,-0.4,-0.2,-0.01,0,,0.03,,,,-0.14,-0.14,,-0.65,4.96,10.57,-0.36,
"Guernsey",228,0.68,0.24,-0.33,0.07,0.48,-0.03,-0.03,0.63,0.37,0.06,-0.25,0.55,0.55,0,-0.57,0.71,1.98,3.69,0.92
"South Korea",20,0.68,0.24,-0.29,-0.13,0.04,,,-0.38,0,0.07,0.15,-2.48,0.37,0,0.22,0.17,0.12,4.43,0.67
"Tuvalu",19,0.67,0.17,-0.39,-0.39,-0.4,0,,0.08,4.68,2.34,0,-0.29,-0.28,0,-0.79,-0.39,0,1.46,3.03
"Ascension",85,0.62,0.19,-0.13,-0.16,-0.19,,,-0.08,0.39,0.07,-0.25,1,1,0,-0.58,5.33,11.25,-2.14,0.77
"Tonga",155,0.61,0.13,-0.22,-0.1,0.02,0.07,0.08,1.18,1.62,0.81,0,-0.19,0.71,-0.03,-0.38,-0.17,0.03,0.32,3.1
