"","rgn_id","taxa_code","taxa_group","family","production_year","tonnes","rgn_name","sustainability_year","sust_coeff","potential_mar_tonnes","gentry_year"
"53",5,"Pacific cupped oyster_2","BI","Ostreidae",2004,69,"New Caledonia",2021,0.87012987012987,762739.666,2019
"54",5,"Pacific cupped oyster_2","BI","Ostreidae",2005,84,"New Caledonia",2021,0.87012987012987,762739.666,2019
"55",5,"Pacific cupped oyster_2","BI","Ostreidae",2006,87,"New Caledonia",2021,0.87012987012987,762739.666,2019
"56",5,"Pacific cupped oyster_2","BI","Ostreidae",2007,80,"New Caledonia",2021,0.87012987012987,762739.666,2019
"57",5,"Pacific cupped oyster_2","BI","Ostreidae",2008,67,"New Caledonia",2021,0.87012987012987,762739.666,2019
"58",5,"Pacific cupped oyster_2","BI","Ostreidae",2009,60,"New Caledonia",2021,0.87012987012987,762739.666,2019
"59",5,"Pacific cupped oyster_2","BI","Ostreidae",2010,64,"New Caledonia",2021,0.87012987012987,762739.666,2019
"60",5,"Pacific cupped oyster_2","BI","Ostreidae",2011,22,"New Caledonia",2021,0.87012987012987,762739.666,2019
"61",5,"Pacific cupped oyster_2","BI","Ostreidae",2012,20,"New Caledonia",2021,0.87012987012987,762739.666,2019
"62",5,"Pacific cupped oyster_2","BI","Ostreidae",2013,20,"New Caledonia",2021,0.87012987012987,762739.666,2019
"63",5,"Pacific cupped oyster_2","BI","Ostreidae",2014,20,"New Caledonia",2021,0.87012987012987,762739.666,2019
"64",5,"Pacific cupped oyster_2","BI","Ostreidae",2015,0,"New Caledonia",2021,0.87012987012987,762739.666,2019
"65",5,"Pacific cupped oyster_2","BI","Ostreidae",2016,0,"New Caledonia",2021,0.87012987012987,762739.666,2019
"66",5,"Pacific cupped oyster_2","BI","Ostreidae",2017,0,"New Caledonia",2021,0.87012987012987,762739.666,2019
"67",5,"Pacific cupped oyster_2","BI","Ostreidae",2018,0,"New Caledonia",2021,0.87012987012987,762739.666,2019
"68",5,"Pacific cupped oyster_2","BI","Ostreidae",2019,0,"New Caledonia",2021,0.87012987012987,762739.666,2019
"69",5,"Snappers nei_3","F","Lutjanidae",2015,1,"New Caledonia",2021,0.753246753246753,762739.666,2019
"70",5,"Snappers nei_3","F","Lutjanidae",2016,1.25,"New Caledonia",2021,0.753246753246753,762739.666,2019
"71",5,"Snappers nei_3","F","Lutjanidae",2017,8.5,"New Caledonia",2021,0.753246753246753,762739.666,2019
"72",5,"Snappers nei_3","F","Lutjanidae",2018,12.3,"New Caledonia",2021,0.753246753246753,762739.666,2019
"73",5,"Snappers nei_3","F","Lutjanidae",2019,6.92,"New Caledonia",2021,0.753246753246753,762739.666,2019
