"country","HAB"
"Macquarie Island",100
"Heard and McDonald Islands",100
"Norfolk Island",100
"British Indian Ocean Territory",100
"Pitcairn",100
"Wallis and Futuna",100
"Tuvalu",100
"Kerguelen Islands",100
"Saba",100
"Gibraltar",100
"Saint Pierre and Miquelon",100
"Sint Eustatius",100
"Russia",100
"French Guiana",100
"Bulgaria",100
"Clipperton Island",100
"Bangladesh",100
"Sint Maarten",100
"Georgia",100
"Suriname",100
"Romania",100
"Albania",100
"Amsterdam Island and Saint Paul Island",100
"Sao Tome and Principe",100
"North Korea",100
"Libya",100
"Prince Edward Islands",99
"Estonia",99
"Croatia",99
"Tristan da Cunha",99
"Cape Verde",99
"Nauru",99
"Belgium",99
"Western Sahara",99
"Ascension",99
"Saint Helena",99
"Guatemala",99
"Slovenia",99
"Falkland Islands",99
"Montenegro",99
"United Arab Emirates",98
"French Polynesia",98
"American Samoa",98
"Cocos Islands",98
"Christmas Island",98
"Seychelles",98
"Qatar",98
"Bonaire",98
"Aruba",98
"Djibouti",98
"Finland",98
"Egypt",98
"Micronesia",98
"Tonga",98
"Equatorial Guinea",98
"Howland Island and Baker Island",97
"Curacao",97
"Marshall Islands",97
"South Georgia and the South Sandwich Islands",97
"Maldives",97
"Morocco",97
"Oman",97
"Kuwait",97
"Saudi Arabia",97
"Tunisia",97
"Namibia",97
"Mauritania",97
"Sri Lanka",97
"Cyprus",97
"Phoenix Group",96
"Northern Saint-Martin",96
"Glorioso Islands",96
"Mayotte",96
"Vanuatu",96
"Denmark",96
"Samoa",96
"Northern Mariana Islands and Guam",96
"Line Group",96
"Greece",96
"Argentina",96
"R_union",96
"Juan de Nova Island",96
"Guadeloupe and Martinique",96
"South Korea",96
"Bassas da India",96
"Brunei",96
"Guyana",96
"Uruguay",96
"Madeira",95
"Azores",95
"South Africa",95
"Mauritius",95
"Portugal",95
"Japan",95
"Yemen",95
"Taiwan",95
"Israel",95
"Faeroe Islands",95
"Andaman and Nicobar",95
"Eritrea",95
"Sudan",95
"Australia",94
"Palmyra Atoll",94
"Malta",94
"Johnston Atoll",94
"Kiribati",94
"Mozambique",94
"Brazil",94
"Puerto Rico and Virgin Islands of the United States",94
"Costa Rica",94
"Sweden",94
"India",94
"Saint Kitts and Nevis",94
"Syria",94
"Jarvis Island",93
"Italy",93
"Palau",93
"Greenland",93
"Norway",93
"Canada",93
"Ecuador",93
"Ukraine",93
"Ile Tromelin",93
"Montserrat",93
"Trinidad and Tobago",93
"Ile Europa",93
"Myanmar",93
"Saint Vincent and the Grenadines",93
"Papua New Guinea",92
"Germany",91
"Dominican Republic",91
"Cambodia",91
"Chile",90
"Mexico",90
"Republique du Congo",90
"Togo",90
"Bermuda",90
"Comoro Islands",90
"Ghana",90
"Cameroon",90
"Iraq",90
"Lebanon",90
"Antigua and Barbuda",89
"United Kingdom",89
"Iran",89
"Honduras",89
"Vietnam",89
"Turkey",89
"Algeria",89
"Thailand",88
"Gambia",88
"New Zealand",88
"Turks and Caicos Islands",88
"Malaysia",88
"British Virgin Islands",88
"Anguilla",88
"New Caledonia",87
"Fiji",87
"Cayman Islands",87
"Jordan",87
"Bahamas",86
"Kenya",86
"Madagascar",86
"East Timor",86
"Benin",86
"France",85
"Oecussi Ambeno",85
"Barbados",85
"Angola",85
"Solomon Islands",84
"Venezuela",84
"Bahrain",84
"El Salvador",84
"Netherlands",83
"Cook Islands",82
"Philippines",82
"Niue",81
"Indonesia",81
"Latvia",80
"Tanzania",80
"Haiti",80
"Ireland",79
"Cuba",79
"Jersey",79
"Jamaica",79
"Guernsey",79
"Tokelau",78
"Wake Island",78
"United States",77
"Peru",77
"Saint Lucia",76
"Somalia",76
"Canary Islands",75
"China",75
"Spain",74
"Lithuania",74
"Singapore",74
"Guinea",73
"Bosnia and Herzegovina",71
"Panama",70
"Pakistan",69
"Liberia",69
"Guinea Bissau",68
"Nicaragua",68
"Ivory Coast",68
"Poland",67
"Gabon",67
"Grenada",67
"Nigeria",66
"Colombia",65
"Democratic Republic of the Congo",65
"Belize",62
"Senegal",61
"Sierra Leone",60
"Dominica",60
"Iceland",58
"Jan Mayen",54
"Crozet Islands",NA
"Monaco",NA
"Bouvet Island",NA
