"country","CP"
"Howland Island and Baker Island",100
"Phoenix Group",100
"Curacao",100
"British Indian Ocean Territory",100
"Pitcairn",100
"French Polynesia",100
"Wallis and Futuna",100
"Tuvalu",100
"Saba",100
"Denmark",100
"Netherlands",100
"Bonaire",100
"Aruba",100
"Belgium",100
"South Africa",100
"Line Group",100
"Sint Eustatius",100
"French Guiana",100
"Japan",100
"Bangladesh",100
"Sint Maarten",100
"Ghana",100
"Suriname",100
"Benin",100
"Kiribati",99
"Oman",99
"Cocos Islands",98
"Maldives",98
"Northern Mariana Islands and Guam",98
"Fiji",98
"Djibouti",98
"Canada",98
"Micronesia",98
"Togo",98
"Taiwan",98
"Marshall Islands",97
"Nauru",97
"Brazil",97
"Guatemala",97
"India",97
"Brunei",97
"Andaman and Nicobar",97
"Nigeria",97
"Egypt",96
"Dominican Republic",96
"Guadeloupe and Martinique",96
"Eritrea",96
"Northern Saint-Martin",95
"Germany",95
"American Samoa",95
"Qatar",95
"Greenland",95
"Samoa",95
"Tokelau",95
"Yemen",95
"North Korea",95
"Vanuatu",94
"Malaysia",94
"Honduras",94
"Equatorial Guinea",94
"Sri Lanka",94
"Glorioso Islands",93
"United Arab Emirates",93
"Mayotte",93
"Estonia",93
"Christmas Island",93
"Russia",93
"Tonga",93
"Juan de Nova Island",93
"Ile Tromelin",93
"Bassas da India",93
"Ile Europa",93
"R_union",92
"Saudi Arabia",92
"Cameroon",92
"Israel",91
"Philippines",91
"Palau",90
"Latvia",90
"Mauritius",90
"United States",90
"Jordan",90
"Myanmar",90
"Australia",89
"Malta",89
"Cook Islands",89
"Guyana",89
"Kuwait",88
"Trinidad and Tobago",88
"Papua New Guinea",88
"Vietnam",88
"Angola",88
"Italy",86
"Iran",86
"Indonesia",86
"Sudan",86
"Seychelles",85
"Gambia",85
"East Timor",85
"Niue",84
"Bahrain",84
"Thailand",83
"Ukraine",83
"Singapore",83
"Mexico",82
"Puerto Rico and Virgin Islands of the United States",82
"Comoro Islands",82
"Antigua and Barbuda",81
"Mozambique",81
"Ecuador",81
"Colombia",81
"Venezuela",81
"Iraq",81
"Cambodia",80
"Palmyra Atoll",79
"Solomon Islands",79
"Saint Kitts and Nevis",79
"Johnston Atoll",78
"Finland",78
"Costa Rica",78
"Madagascar",78
"Wake Island",77
"Oecussi Ambeno",77
"New Caledonia",75
"Saint Lucia",74
"Saint Vincent and the Grenadines",74
"Montserrat",73
"Kenya",72
"China",72
"Turks and Caicos Islands",71
"Gabon",71
"New Zealand",69
"Tanzania",69
"Barbados",69
"France",67
"Panama",66
"Cuba",66
"Haiti",65
"Cayman Islands",64
"El Salvador",63
"Anguilla",61
"Poland",60
"Grenada",59
"Norway",57
"British Virgin Islands",57
"Peru",57
"Ireland",56
"Sweden",56
"Bermuda",56
"Bahamas",55
"United Kingdom",55
"Jersey",55
"Somalia",55
"Guernsey",55
"Canary Islands",54
"Spain",53
"Jamaica",51
"Pakistan",46
"Iceland",44
"Lithuania",36
"Liberia",35
"Ivory Coast",33
"Sierra Leone",32
"Senegal",31
"Guinea",31
"Democratic Republic of the Congo",31
"Guinea Bissau",30
"Nicaragua",30
"Dominica",26
"Belize",24
"Prince Edward Islands",NA
"Macquarie Island",NA
"Heard and McDonald Islands",NA
"Jarvis Island",NA
"Norfolk Island",NA
"Madeira",NA
"South Georgia and the South Sandwich Islands",NA
"Azores",NA
"Crozet Islands",NA
"Kerguelen Islands",NA
"Croatia",NA
"Jan Mayen",NA
"Gibraltar",NA
"Tristan da Cunha",NA
"Cape Verde",NA
"Morocco",NA
"Saint Pierre and Miquelon",NA
"Chile",NA
"Greece",NA
"Portugal",NA
"Western Sahara",NA
"Ascension",NA
"Saint Helena",NA
"Argentina",NA
"Bulgaria",NA
"Clipperton Island",NA
"Monaco",NA
"Republique du Congo",NA
"Tunisia",NA
"Namibia",NA
"Slovenia",NA
"South Korea",NA
"Georgia",NA
"Mauritania",NA
"Falkland Islands",NA
"Faeroe Islands",NA
"Bouvet Island",NA
"Romania",NA
"Turkey",NA
"Cyprus",NA
"Uruguay",NA
"Montenegro",NA
"Bosnia and Herzegovina",NA
"Albania",NA
"Amsterdam Island and Saint Paul Island",NA
"Syria",NA
"Sao Tome and Principe",NA
"Algeria",NA
"Lebanon",NA
"Libya",NA
