"targets","layer","layer_old","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"FIS","FAOregions","FAOregions","Translates FAO regions to OHI regions",,"fao_id",,"/Volumes/data_edit/model/GL-HS-AQ-Fisheries_v2013/HighSeas/data/FAOregions_lyr.csv",TRUE,"FAOregions.csv","highseas2014/layers/FAOregions.csv"
"FIS","fis_b_bmsy","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method",,"b_bmsy","b_bmsy","/Volumes/data_edit/model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/fnk_fis_b_bmsy_lyr.csv",TRUE,"fis_b_bmsy.csv","highseas2014/layers/fis_b_bmsy.csv"
"FIS","fis_meancatch","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Reported data includes years 2006-2011","mean_catch","metric tons","/Volumes/data_edit/model/GL-HS-AQ-Fisheries_v2013/HighSeas/data/cnk_fis_meancatch.csv",TRUE,"fis_meancatch.csv","highseas2014/layers/fis_meancatch.csv"
"FP","fp_wildcaught_weight","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","w_fis","value","/Volumes/data_edit/git-annex/Global/NCEAS-HighSeas-Other_v2014/data/fp_wildcaught_weight_highseas.csv",TRUE,"fp_wildcaught_weight.csv","highseas2014/layers/fp_wildcaught_weight.csv"
"ICO","ico_spp_extinction_status","rnk_ico_spp_extinction_status","Species lists and IUCN threat categories as a proxy for iconic species status","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","status score","/Volumes/data_edit/model/GL-HS-AQ-Iconics_v2013/data/rgn_ico_score_2013_HS.csv",TRUE,"ico_spp_extinction_status.csv","highseas2014/layers/ico_spp_extinction_status.csv"
"ICO","ico_spp_popn_trend","rnk_ico_spp_popn_trend","Species lists and IUCN threat categories as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","trend score","/Volumes/data_edit/model/GL-HS-AQ-Iconics_v2013/data/rgn_ico_trend_2013_HS.csv",TRUE,"ico_spp_popn_trend.csv","highseas2014/layers/ico_spp_popn_trend.csv"
"pressures","cc_acid","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","pressure_score","pressure score","/Volumes/data_edit/model/GL-HS-AQ-PressuresSummary_v2013/data/cc_acid_2013_HS.csv",TRUE,"cc_acid.csv","highseas2014/layers/cc_acid.csv"
"pressures","cc_sst","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","/Volumes/data_edit/model/GL-HS-AQ-PressuresSummary_v2013/data/cc_sst_2013_HS.csv",TRUE,"cc_sst.csv","highseas2014/layers/cc_sst.csv"
"pressures","cc_uv","cc_uv","UV radiation","Modeled UV radiation after Halpern et al. 2008","pressure_score","pressure score","/Volumes/data_edit/model/GL-HS-AQ-PressuresSummary_v2013/data/cc_uv_2013_HS.csv",TRUE,"cc_uv.csv","highseas2014/layers/cc_uv.csv"
"pressures","fp_com_hb","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","/Volumes/data_edit/model/GL-HS-AQ-PressuresSummary_v2013/data/fp_com_hb_2013_HS.csv",TRUE,"fp_com_hb.csv","highseas2014/layers/fp_com_hb.csv"
