"rgn_id","habitat","year","health"
188,"beaches",2025,0
189,"beaches",2025,0.0017395786353972
190,"beaches",2025,0.00945493202757553
191,"beaches",2025,0.0224373429547066
192,"beaches",2025,4.83216287610335e-05
193,"beaches",2025,0.0111622962437987
194,"beaches",2025,0.00557309451710586
195,"beaches",2025,0.00966432575220668
196,"beaches",2025,0.0145609174666581
197,"beaches",2025,0.0052187359061916
198,"beaches",2025,0.0151890986405515
199,"beaches",2025,0.000789253269763546
200,"beaches",2025,0.0264158237226982
202,"beaches",2025,0.0291862637716642
203,"beaches",2025,0.0820340184266478
204,"beaches",2025,0.00768313897300431
205,"beaches",2025,0.0340828554861156
206,"beaches",2025,0.0284453321306616
207,"beaches",2025,0.0372398685651697
208,"beaches",2025,0
209,"beaches",2025,0.0729495522195733
210,"beaches",2025,0.126554345725146
212,"beaches",2025,0
214,"beaches",2025,0.0517041427743058
215,"beaches",2025,0.000225500934218156
216,"beaches",2025,0.178403453385735
218,"beaches",2025,0.208072933445011
219,"beaches",2025,0
220,"beaches",2025,0
221,"beaches",2025,0
222,"beaches",2025,0.100154629212035
223,"beaches",2025,0.0410572772372914
224,"beaches",2025,0.0602248566458347
227,"beaches",2025,0
228,"beaches",2025,0
231,"beaches",2025,0.0085207138715289
232,"beaches",2025,0
237,"beaches",2025,0.0010147542039817
244,"beaches",2025,0
245,"beaches",2025,0
247,"beaches",2025,0.00199729398878937
248,"beaches",2025,0
249,"beaches",2025,0
250,"beaches",2025,0
